data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
rician,42,43,2000,2,500,1.0,1.0,75.0,25.0,750,41972.00517018525,722745119.3797227,78552353.78761882,78.95159203019007,120591181.80584414,0.6513938466420434,34.860615335795664,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,44,2000,2,500,1.0,1.0,75.0,25.0,750,36605.63222942466,553076846.5015414,58469716.51349923,77.66930988194707,101470747.44530644,0.5762223890684839,42.37776109315161,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,45,2000,2,500,1.0,1.0,75.0,25.0,750,42793.86990251452,750988464.7987092,82310658.32573228,79.15456075216477,118945196.58309317,0.692004895449741,30.799510455025903,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,46,2000,2,500,1.0,1.0,75.0,25.0,750,44873.14768756628,818306070.3658314,94047154.97128548,79.73345662204737,156054061.2854346,0.6026575290422347,39.73424709577653,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,47,2000,2,500,1.0,1.0,75.0,25.0,750,38868.49381271559,640864166.1071339,57163566.10325229,77.57119314077207,105689626.35529764,0.5408625999971377,45.91374000028623,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,48,2000,2,500,1.0,1.0,75.0,25.0,750,39340.86447720736,631104230.5985409,71067495.53952292,78.51671010918292,100586125.81709456,0.7065337785128715,29.346622148712854,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,49,2000,2,500,1.0,1.0,75.0,25.0,750,32111.364564626158,420150471.3769936,47270690.98476456,76.74591950698874,70176388.23073846,0.6735982312076184,32.64017687923816,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,50,2000,2,500,1.0,1.0,75.0,25.0,750,39961.141393592035,662051661.7603738,67877234.11307064,78.31724137212163,121411424.38318898,0.5590679333341974,44.093206666580265,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,51,2000,2,500,1.0,1.0,75.0,25.0,750,36575.945523534225,542591013.8992885,62516188.86083684,77.95992494504563,86613467.97069582,0.7217836939861144,27.82163060138856,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,52,2000,2,500,1.0,1.0,75.0,25.0,750,41834.149077673246,714150238.0823915,80390483.73616405,79.05204641963907,128437618.13458398,0.6259107331928757,37.408926680712426,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,53,2000,2,500,1.0,1.0,75.0,25.0,750,33987.952453008984,475768209.5162719,50735312.66231367,77.05310341109488,87600551.39155751,0.5791665903509744,42.08334096490256,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,54,2000,2,500,1.0,1.0,75.0,25.0,750,36760.89096868592,573458229.3187844,50935237.139119886,77.07018332443353,87904936.82258485,0.5794354558484072,42.05645441515928,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,55,2000,2,500,1.0,1.0,75.0,25.0,750,38842.609470250136,609397695.4982948,70097140.84012106,78.45700304091027,107147972.36339565,0.6542087479022417,34.57912520977583,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,56,2000,2,500,1.0,1.0,75.0,25.0,750,31427.252279472264,415451597.578642,38965982.1685922,75.90685627451221,60361626.507792346,0.6455422827872591,35.44577172127409,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,57,2000,2,500,1.0,1.0,75.0,25.0,750,37657.252189954466,583528574.7251277,62779344.81193916,77.97816778932608,107247460.18415044,0.5853690586624912,41.46309413375088,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,58,2000,2,500,1.0,1.0,75.0,25.0,750,36642.1197195818,542613833.9609278,64305182.80851523,78.08245977192183,88365222.89342147,0.7277204844045333,27.22795155954667,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,59,2000,2,500,1.0,1.0,75.0,25.0,750,37949.43783558184,585335157.2008806,67372901.82873729,78.28485253320727,112204920.4190598,0.6004451638761906,39.95548361238094,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,60,2000,2,500,1.0,1.0,75.0,25.0,750,33836.815468950954,473159652.8224859,49686149.93613084,76.96235345582849,74630150.93973877,0.6657651004384363,33.423489956156374,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,61,2000,2,500,1.0,1.0,75.0,25.0,750,31564.052638484438,398557370.913366,49579992.64074243,76.95306457968609,67771015.60223947,0.7315810778421339,26.84189221578661,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,62,2000,2,500,1.0,1.0,75.0,25.0,750,29550.099861051996,369153045.9493134,33752852.2676525,75.28310478552585,58920860.89552151,0.5728506297201439,42.71493702798561,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,63,2000,2,500,1.0,1.0,75.0,25.0,750,39418.898832108476,643882731.6112968,66492184.86169762,78.22770603635544,99439855.52393104,0.6686673518516498,33.133264814835016,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,64,2000,2,500,1.0,1.0,75.0,25.0,750,32659.813629083867,440949655.6898999,46222394.99530168,76.64852444524661,68756851.00102094,0.6722587541802248,32.77412458197752,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
