data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_label,formula_T,u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best,active_pct_actual,T_over_N,T_over_K
gaussian,42,49,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.327640665271262,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,50,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.153489258145268,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,51,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.8770794921418053,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,52,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.351506016645958,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,53,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.4080522125593435,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,54,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.7710972965402734,0.9897140974925664,1.0285902507433553,False,25.0,0.0,0.0
gaussian,42,55,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.500680383662104,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,56,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.87535120632666,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,57,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.445418403799833,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,58,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.576403238318335,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,59,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.989153573125966,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,60,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.963131454462033,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,61,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.175188029036896,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,62,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.4785058839984333,0.8690185642578832,13.098143574211685,False,25.0,0.0,0.0
gaussian,42,63,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.7476124230470096,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,64,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.8421603905156743,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,65,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.706805194618356,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,66,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.5508478302969326,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,67,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.632132092753833,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,68,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.878499035463262,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,69,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.71474014682937,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,70,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.6596883762324204,0.8698506000916364,13.01493999083636,False,25.0,0.0,0.0
gaussian,42,71,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.085536144763027,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,72,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.438480990303749,0.9976099109334944,0.2390089066505729,False,25.0,0.0,0.0
gaussian,42,73,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.710710893092485,0.9673795513141143,3.262044868588554,False,25.0,0.0,0.0
gaussian,42,74,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.1319382492019248,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,75,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.8398996115731165,0.9245002370519146,7.549976294808536,False,25.0,0.0,0.0
gaussian,42,76,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.842397380386189,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,77,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.6046116210193127,0.8490445822566428,15.095541774335718,False,25.0,0.0,0.0
gaussian,42,78,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.4647637648353555,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,79,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.858426800512111,0.9934440604199828,0.65559395800171,False,25.0,0.0,0.0
gaussian,42,80,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.87100006840178,0.9542081988317292,4.579180116827086,False,25.0,0.0,0.0
gaussian,42,81,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.1687982957985374,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,82,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.28242620548229,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,83,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,4.318346634291029,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,84,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,2.9761756606579,0.9527909101808996,4.720908981910055,False,25.0,0.0,0.0
gaussian,42,85,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.461428606369892,0.918874312575336,8.112568742466387,False,25.0,0.0,0.0
gaussian,42,86,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.864008751206113,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,87,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.4993966933363327,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,88,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.94822877408688,1.0,0.0,True,25.0,0.0,0.0
gaussian,42,89,8,2,2,75.0,25.0,1.0,1.0,T_0p05N,T=0.05N,0.0,3.725086570200834,1.0,0.0,True,25.0,0.0,0.0
