L,K,sample,heuristic,u_bf,u_i,u_g,time
8,750,0,Frame-Int,14450.627073539003,815.328606877476,1.1301884326860228e+26,2.6079617999785114
8,750,1,Frame-BF,19763.383660462547,1810095.4770517126,1.1923977394506003e+27,0.03702380001777783
8,750,1,Frame-Gen,19815.417182308774,1789916.653052248,1.2211155234697322e+27,0.09103740000864491
8,750,1,Frame-Int,11542.859371785486,644.8974089380354,1.8715151426955783e+25,2.449710300017614
8,750,2,Frame-BF,20595.641566575592,1727186.4325719774,1.6992819886758523e+27,0.045664000004762784
8,750,2,Frame-Gen,20584.00106194808,1634116.1288872212,1.7037179456611516e+27,0.10352109998348169
8,750,2,Frame-Int,13724.547471722397,719.3445876985788,7.497159418049861e+25,2.5019518999906722
8,750,3,Frame-BF,21074.711108896343,1280631.5576337948,2.1136246580617107e+27,0.03802539999014698
8,750,3,Frame-Gen,21112.930207304114,1207783.304036975,2.156227287132726e+27,0.07531779998680577
8,750,3,Frame-Int,12994.712705200302,783.3578114397824,4.8330347289689655e+25,2.3693828000104986
8,750,4,Frame-BF,21211.063536199043,1926226.830130726,2.113085774721756e+27,0.04241569997975603
8,750,4,Frame-Gen,21211.063536199043,1926226.830130726,2.113085774721756e+27,0.07945330001530237
8,750,4,Frame-Int,15672.200516466035,939.2519346885383,2.1741506078675212e+26,2.381785300007323
