N,L,K,active_limit_fraction,required_turned_off_fraction,seed,heuristic,valid,active_count,actual_active_fraction,actual_turned_off_fraction,u_bf,u_i,u_g,log2_u_g,log2_u_g_per_active,u_bf_per_active,elapsed_seconds
1000,7,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,10155.040694014127,467759.17207313515,1.212059307673299e+22,73.35987838104634,0.14671975676209267,20.310081388028255,0.3961711249999986
1000,7,500,0.5,0.5,42,MISO-EE,True,478,0.478,0.522,9509.603118911915,423670.98593043536,7.618996827577671e+21,72.69009104715717,0.15207132018233718,19.894567194376393,0.5811518329999998
1000,7,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,8050.692404440193,730.2697848137468,2.670196725975708e+21,71.17743602860523,0.14235487205721045,16.101384808880386,0.35082562500000236
1000,8,500,0.5,0.5,42,H1,True,500,0.5,0.5,9806.442516909627,602612.7488822918,4.0742448651220144e+24,81.75280696724244,0.16350561393448487,19.612885033819254,0.007150791000000822
1000,8,500,0.5,0.5,42,H2,True,500,0.5,0.5,8597.199388869813,1184.9908151421696,1.7769449675123493e+24,80.55567327868216,0.16111134655736434,17.194398777739625,0.20132100000000008
1000,8,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,10205.473810979192,383310.7321832571,6.209536334914362e+24,82.36075982395607,0.16472151964791215,20.410947621958385,0.4526872080000004
1000,8,500,0.5,0.5,42,MISO-EE,True,485,0.485,0.515,9749.937785955794,340693.71616451815,4.3147167965965115e+24,81.83554014619008,0.16873307246637131,20.102964507125346,0.6645237500000007
1000,8,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,8597.199388869813,1184.9908151421696,1.7769449675123493e+24,80.55567327868216,0.16111134655736434,17.194398777739625,0.4131856670000005
1000,9,500,0.5,0.5,42,H1,True,500,0.5,0.5,6996.580301296761,338232.51115372963,7.857080486320368e+25,86.0221957113414,0.1720443914226828,13.993160602593521,0.007166665999999822
1000,9,500,0.5,0.5,42,H2,True,500,0.5,0.5,5892.7959914625535,780.5777907795273,2.2182999088178357e+25,84.19765679977316,0.16839531359954632,11.785591982925107,0.22259433299999998
1000,9,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,8676.815249372134,376464.176147623,5.89855111700288e+26,88.930491090526,0.177860982181052,17.353630498744266,0.5699806669999994
1000,9,500,0.5,0.5,42,MISO-EE,True,435,0.435,0.565,6999.915031867725,283934.4627545392,8.292522266693875e+25,86.10001335305996,0.1979310651794482,16.091758693948794,0.8079024169999975
1000,9,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,5892.7959914625535,780.5777907795273,2.2182999088178357e+25,84.19765679977316,0.16839531359954632,11.785591982925107,0.48914549999999934
1000,10,500,0.5,0.5,42,H1,True,500,0.5,0.5,6086.69357024419,211143.61521576066,5.248746383501418e+27,92.08403145097166,0.18416806290194332,12.17338714048838,0.00710145800000106
1000,10,500,0.5,0.5,42,H2,True,500,0.5,0.5,5598.7193596339375,1125.7089517014101,2.997963185018973e+27,91.27604122906155,0.1825520824581231,11.197438719267875,0.24949200000000005
1000,10,500,0.5,0.5,42,Coutino,True,500,0.5,0.5,6688.203050412451,198649.9527308289,1.4338040797008722e+28,93.53383455916038,0.18706766911832076,13.376406100824903,0.6567040409999976
1000,10,500,0.5,0.5,42,MISO-EE,True,471,0.471,0.529,6090.732367164763,173172.9284388651,5.577806580835908e+27,92.17175646948618,0.19569375046600038,12.931491225402894,0.921027125000002
1000,10,500,0.5,0.5,42,Pareto-H2,True,500,0.5,0.5,5598.7193596339375,1125.7089517014101,2.997963185018973e+27,91.27604122906155,0.1825520824581231,11.197438719267875,0.5647498750000004
