config,L,K,sample,u_bf,u_i,u_g,time
h3_120_50,4,500,2,6130.339673380857,20.367218155413866,5491822958283.01,1.2076271999976598
h3_120_50,4,500,3,5894.049207655862,17.098217697814107,4720842276151.093,1.151955800014548
h3_120_50,4,500,4,6971.280031004566,18.756474940106273,9216327332084.256,1.1871930999914184
h3_120_50,4,750,0,19768.471243297965,34.39908492565155,596063916844811.8,0.9163759000075515
h3_120_50,4,750,1,13239.933398069239,47.33448093384504,119690090605928.38,0.9496615999960341
h3_120_50,4,750,2,12102.197467250233,20.74534223973751,83293626135088.52,0.9181720000051428
h3_120_50,4,750,3,13125.168006691882,33.15428602695465,115824172058758.34,0.9371776999905705
h3_120_50,4,750,4,14559.090039177749,45.74612686783075,175444177016819.53,0.9233901999832597
h3_120_50,8,500,0,6223.230075564419,550.8979207808152,1.3474695794269549e+23,3.4531417999824043
h3_120_50,8,500,1,4632.681197618504,320.2280341126025,1.2668042936775348e+22,3.509099899994908
h3_120_50,8,500,2,5718.257683256249,454.0919504612684,6.796751938761956e+22,2.3201414000068326
h3_120_50,8,500,3,6072.086352729396,448.9974728990346,1.1013772928816183e+23,2.2657524999813177
h3_120_50,8,500,4,5756.16642007396,359.569499110803,7.22493608940855e+22,2.1662265000049956
h3_120_50,8,750,0,14450.627073539003,815.328606877476,1.1301884326860228e+26,1.8275018999993335
h3_120_50,8,750,1,11542.859371785486,644.8974089380354,1.8715151426955783e+25,1.7423896999971475
h3_120_50,8,750,2,13724.547471722397,719.3445876985788,7.497159418049861e+25,2.359929399972316
h3_120_50,8,750,3,12979.724259308052,1106.7476658038795,4.791472120316936e+25,1.7277951999858487
h3_120_50,8,750,4,15672.200516466035,939.2519346885383,2.1741506078675212e+26,2.183145400020294
h3_80_40,4,500,0,8856.264280259791,33.01888673007488,23773887939577.664,1.1567896999767981
h3_80_40,4,500,1,6210.402138611123,20.307320034131408,5707428591762.068,1.1991017000109423
h3_80_40,4,500,2,6126.8348443263685,21.550032956525683,5481300067535.934,1.1711705999914557
h3_80_40,4,500,3,5894.049207655862,17.098217697814107,4720842276151.093,1.187690399994608
h3_80_40,4,500,4,6951.2612421217045,30.677945291623473,9115285240391.713,1.179239899996901
h3_80_40,4,750,0,19768.471243297965,34.39908492565155,596063916844811.8,0.9283910999947693
h3_80_40,4,750,1,13239.933398069239,47.33448093384504,119690090605928.38,0.9179199999780394
h3_80_40,4,750,2,12109.601344093653,25.505727358162403,83501275354926.44,0.9487678000004962
h3_80_40,4,750,3,13118.722866266971,23.146134465932846,115592068160241.11,0.9047906999767292
h3_80_40,4,750,4,14585.554865622027,47.515825033187866,176747655278525.84,0.8998551999975462
h3_80_40,8,500,0,6253.738033721379,694.3868078421801,1.4011370656161163e+23,2.931730400014203
h3_80_40,8,500,1,4623.153065181686,206.5287735890597,1.2442281884707761e+22,2.2379913000040688
h3_80_40,8,500,2,5734.234093051413,370.4533993322402,6.953103319691068e+22,2.23771429999033
h3_80_40,8,500,3,6106.5608156884655,334.7532239817083,1.150350952436481e+23,3.602990300016245
h3_80_40,8,500,4,5771.057503477045,337.49956528423354,7.3830343383292515e+22,2.276050100015709
h3_80_40,8,750,0,14450.627073539003,815.328606877476,1.1301884326860228e+26,2.163139400014188
h3_80_40,8,750,1,11542.859371785486,644.8974089380354,1.8715151426955783e+25,2.271072899980936
h3_80_40,8,750,2,13724.547471722397,719.3445876985788,7.497159418049861e+25,2.1582055000180844
h3_80_40,8,750,3,12987.838048831596,1064.5841450579464,4.819581099225086e+25,2.191968699975405
h3_80_40,8,750,4,15672.200516466035,939.2519346885383,2.1741506078675212e+26,2.240162700007204
h3_50_30,4,500,0,8835.30510644182,47.133854657411575,23580217905458.523,1.2595660999941174
h3_50_30,4,500,1,6211.571721094895,22.555364007130265,5706786208285.915,1.2358051000046544
h3_50_30,4,500,2,6117.475466612972,11.108607856556773,5445385273262.213,1.1619982999982312
h3_50_30,4,500,3,5886.059337390135,18.341928493231535,4695558825522.088,1.1994174999999814
h3_50_30,4,500,4,6958.9976770303965,30.98221848346293,9145839569650.16,1.1497522999998182
h3_50_30,4,750,0,19748.992864640662,68.54253900051117,593716303724676.2,0.9304164000204764
h3_50_30,4,750,1,13223.852507020518,55.42889093607664,119141337740523.3,0.9026437999855261
h3_50_30,4,750,2,12099.947280022632,24.17721290886402,83246299494901.97,0.9326762999990024
h3_50_30,4,750,3,13122.653466071903,49.0826371461153,115667495705317.81,0.9652058999927249
h3_50_30,4,750,4,14585.554865622027,47.515825033187866,176747655278525.84,0.8985433999914676
h3_50_30,8,500,0,6233.277902420489,419.8301929263398,1.3660864482881758e+23,3.4642067000095267
h3_50_30,8,500,1,4630.5606395200775,499.9030897160992,1.2622657511639084e+22,3.5311228999926243
h3_50_30,8,500,2,5755.928995083575,590.2676942134276,7.203968257121316e+22,2.167658200021833
h3_50_30,8,500,3,6139.94118786615,515.522113179788,1.19971174434446e+23,2.7215271000168286
h3_50_30,8,500,4,5780.2655257234455,599.9238900234923,7.487798231298772e+22,3.371815799997421
h3_50_30,8,750,0,14450.627073539003,815.328606877476,1.1301884326860228e+26,2.4353311999875586
h3_50_30,8,750,1,11542.859371785486,644.8974089380354,1.8715151426955783e+25,2.1641254000132903
h3_50_30,8,750,2,13724.547471722397,719.3445876985788,7.497159418049861e+25,2.310849400004372
h3_50_30,8,750,3,16426.271942898966,1248.9067744389176,3.1559192013373145e+26,2.3557452999812085
h3_50_30,8,750,4,15672.200516466035,939.2519346885383,2.1741506078675212e+26,2.14432819999638
