N,L,K,active_limit_fraction,required_turned_off_fraction,objective,objective_label,candidate,baseline_winner,winner,baseline_best_mean,candidate_mean,candidate_vs_best_h12_relative_delta
1000,5,750,0.75,0.25,u_g,General objective,Coutino,H1,Coutino,3.6340852994249363e+17,6.473847807151103e+17,0.7814242852735281
1000,5,750,0.75,0.25,u_g,General objective,MISO-EE,H1,Coutino,3.6340852994249363e+17,3.8328421665282496e+17,0.05469240557858256
1000,5,750,0.75,0.25,u_g,General objective,Pareto-H2,H1,Coutino,3.6340852994249363e+17,2.6151458149047165e+17,-0.28038403079901797
1000,6,500,0.5,0.5,u_bf,BF gain,Coutino,H1,Coutino,9722.576817161236,10759.310940571739,0.10663162070168189
1000,6,500,0.5,0.5,u_bf,BF gain,MISO-EE,H1,Coutino,9722.576817161236,9773.806977542774,0.005269195743571985
1000,6,500,0.5,0.5,u_bf,BF gain,Pareto-H2,H1,Coutino,9722.576817161236,8738.361942415631,-0.10122983785619218
1000,6,500,0.5,0.5,u_i,Interference,Coutino,H2,Pareto-H2,591.3257286306471,565528.1716869622,-955.373356181499
1000,6,500,0.5,0.5,u_i,Interference,MISO-EE,H2,Pareto-H2,591.3257286306471,476056.22641293705,-804.0659786364387
1000,6,500,0.5,0.5,u_i,Interference,Pareto-H2,H2,Pareto-H2,591.3257286306471,481.35906939953566,0.18596630233858572
1000,6,500,0.5,0.5,u_g,General objective,Coutino,H1,Coutino,1.616409086919374e+19,3.045500664812003e+19,0.8841150358887531
1000,6,500,0.5,0.5,u_g,General objective,MISO-EE,H1,Coutino,1.616409086919374e+19,1.711909391099673e+19,0.05908176646192195
1000,6,500,0.5,0.5,u_g,General objective,Pareto-H2,H1,Coutino,1.616409086919374e+19,9.403641666717823e+18,-0.4182387526266812
1000,6,750,0.75,0.25,u_bf,BF gain,Coutino,H1,Coutino,16554.11598109972,18369.04621548493,0.10963619177595259
1000,6,750,0.75,0.25,u_bf,BF gain,MISO-EE,H1,Coutino,16554.11598109972,16687.759642445704,0.008073137913167284
1000,6,750,0.75,0.25,u_bf,BF gain,Pareto-H2,H1,Coutino,16554.11598109972,14820.323589073672,-0.10473482208325499
1000,6,750,0.75,0.25,u_i,Interference,Coutino,H2,H2,328.06026086583734,1287790.7732941061,-3924.4701861642357
1000,6,750,0.75,0.25,u_i,Interference,MISO-EE,H2,H2,328.06026086583734,1135801.3121664003,-3461.172800718751
