L,K,sample,heuristic,u_bf,u_i,u_g,time
8,750,0,Frame-BF,21293.127111425478,2390972.4330300167,2.1091542815514646e+27,0.0269308999995701
8,750,0,Frame-Gen,21287.79134964833,2370453.575246729,2.1096420473217266e+27,0.10313079998013563
8,750,0,Frame-Int,14450.627073539003,815.328606877476,1.1301884326860228e+26,2.432612499978859
8,750,1,Frame-BF,19763.383660462547,1810095.4770517126,1.1923977394506003e+27,0.02817579999100417
8,750,1,Frame-Gen,19815.417182308774,1789916.653052248,1.2211155234697322e+27,0.10106359998462722
8,750,1,Frame-Int,11542.859371785486,644.8974089380354,1.8715151426955783e+25,2.518150899995817
8,750,2,Frame-BF,20595.641566575592,1727186.4325719774,1.6992819886758523e+27,0.028773699974408373
8,750,2,Frame-Gen,20584.00106194808,1634116.1288872212,1.7037179456611516e+27,0.11651779999374412
8,750,2,Frame-Int,13724.547471722397,719.3445876985788,7.497159418049861e+25,3.0901965999801178
8,750,3,Frame-BF,21074.711108896343,1280631.5576337948,2.1136246580617107e+27,0.03076679998775944
8,750,3,Frame-Gen,21112.930207304114,1207783.304036975,2.156227287132726e+27,0.09650980000151321
8,750,3,Frame-Int,12994.712705200302,783.3578114397824,4.8330347289689655e+25,2.648160499986261
8,750,4,Frame-BF,21211.063536199043,1926226.830130726,2.113085774721756e+27,0.029108599992468953
8,750,4,Frame-Gen,21211.063536199043,1926226.830130726,2.113085774721756e+27,0.0916752000048291
8,750,4,Frame-Int,15672.200516466035,939.2519346885383,2.1741506078675212e+26,2.2317042000067886
