data_profile,N,L,K,off_pct,active_pct,best_fixed_T,best_fixed_u_g_mean,recommended_band_low,recommended_band_high,recommended_band_width,best_tested_T_median,best_tested_T_p05,best_tested_T_p95,best_tested_T_std,best_tested_T_cv,best_tested_T_over_N_mean,best_tested_T_over_K_mean,best_formula,best_formula_T,best_formula_fraction
thin_tail,5000,6,2500,50.0,50.0,311,1.7501574374567155e+25,285,373,89,330.5,234.7,432.1,61.72304629912918,0.1855049027714037,0.0665459999999999,0.1330919999999999,T_0p075N,375,0.948662580766823
twdp,5000,6,1250,75.0,25.0,229,9.995621465022883e+25,177,284,108,218.0,164.9,307.05,44.70009038926074,0.1971164192320886,0.045354,0.181416,T_0p05N,250,0.980221667525378
twdp,5000,6,2500,50.0,50.0,311,1.2340672416429378e+29,241,380,140,307.5,220.0,402.35,56.33648547752687,0.1815666026734784,0.062056,0.124112,T_0p075NL_over_Lp2,281,0.9821775686850206
gaussian,5000,8,1250,75.0,25.0,242,7.067271491808233e+31,194,291,98,242.0,154.0,330.1,55.454318264147965,0.228658742636269,0.048504,0.194016,T_0p05N,250,0.9623242805133444
gaussian,5000,8,2500,50.0,50.0,386,6.726613224038391e+35,281,412,132,326.0,229.8,444.05,63.16035308657008,0.1886002958779601,0.066978,0.133956,T_0p075N,375,0.9679330195088012
lognormal,5000,8,1250,75.0,25.0,217,1.5926808547278566e+22,217,218,2,198.0,127.75,283.05,47.84812990445432,0.2374950608252063,0.0402939999999999,0.1611759999999999,T_0p05NL_over_Lp2,200,0.8666490916838886
lognormal,5000,8,2500,50.0,50.0,311,2.074190248059668e+24,310,313,4,295.0,215.85,417.25,60.40306618078592,0.2002953416479952,0.060314,0.120628,T_0p075NL_over_Lp2,300,0.882908626317817
nakagami,5000,8,1250,75.0,25.0,256,4.329319406205832e+32,206,312,107,263.0,185.5,371.15,55.00622095212817,0.207531488217801,0.0530099999999999,0.2120399999999999,T_0p05N,250,0.9755015333545652
nakagami,5000,8,2500,50.0,50.0,358,7.104375683040708e+36,300,438,139,360.0,267.0,446.35,59.402550705361385,0.1663657388264196,0.071412,0.142824,T_0p075N,375,0.9792188108396448
rayleigh,5000,8,1250,75.0,25.0,251,6.3776849748233725e+31,210,287,78,244.0,158.4,326.4,52.20191083618966,0.2152922457878898,0.0484939999999999,0.1939759999999999,T_0p05N,250,0.9661956183072328
rayleigh,5000,8,2500,50.0,50.0,343,6.003274166953193e+35,287,400,114,336.5,246.4,443.25,61.79950884051824,0.1817365353345632,0.06801,0.13602,T_0p075N,375,0.96916839435325
rician,5000,8,1250,75.0,25.0,745,1.242808972255128e+27,524,829,306,773.0,344.8,1219.45,268.84442649340093,0.3393386344046158,0.158452,0.633808,T_0p15NL_over_Lp2,600,0.9043649612579008
rician,5000,8,2500,50.0,50.0,816,3.3757748249137367e+31,710,969,260,812.0,551.55,1124.35,178.357798095329,0.2177830666511948,0.163794,0.3275880000000001,T_0p15NL_over_Lp2,600,0.932171215338354
thin_tail,5000,8,1250,75.0,25.0,236,5.657881663876832e+28,222,255,34,226.0,151.85,309.1,49.97351217587092,0.2192205306890284,0.045592,0.182368,T_0p05N,250,0.9245700872226452
thin_tail,5000,8,2500,50.0,50.0,319,9.982455059427414e+31,296,388,93,325.0,250.5,454.2,63.312050650533806,0.1888671638044681,0.067044,0.134088,T_0p075NL_over_Lp2,300,0.9369901340517244
twdp,5000,8,1250,75.0,25.0,223,8.141638162627931e+32,171,288,118,223.0,162.85,322.65,50.15903898520377,0.2176191547798332,0.046098,0.184392,T_0p05N,250,0.976414035147954
twdp,5000,8,2500,50.0,50.0,319,1.3293114666301518e+37,269,389,121,306.0,231.45,415.35,59.17692698061202,0.1887500860570682,0.062704,0.125408,T_0p075NL_over_Lp2,300,0.9813575208714268
