data_profile,N,L,K,off_pct,active_pct,best_fixed_T,best_fixed_u_g_mean,recommended_band_low,recommended_band_high,recommended_band_width,best_tested_T_median,best_tested_T_p05,best_tested_T_p95,best_tested_T_std,best_tested_T_cv,best_tested_T_over_N_mean,best_tested_T_over_K_mean,best_formula,best_formula_T,best_formula_fraction
nakagami,2000,10,1000,50.0,50.0,164,4.973205240239957e+36,126,183,58,153.0,100.95,204.4,34.469044815675566,0.2324121422404124,0.074155,0.14831,T_0p10NL_over_Lp2,167,0.9580718173913606
rayleigh,2000,10,500,75.0,25.0,103,2.98485777300368e+30,84,118,35,95.5,53.85,152.14999999999998,30.03253959197314,0.3086274749971548,0.048655,0.19462,T_0p05N,100,0.9313931972769482
rayleigh,2000,10,1000,50.0,50.0,144,3.778845430212177e+35,130,168,39,139.5,86.9,189.05,32.452574565966195,0.2345008639783669,0.0691949999999999,0.1383899999999999,T_0p075N,150,0.9433113410345354
rician,2000,10,500,75.0,25.0,307,9.524690133108695e+23,271,329,59,309.5,149.75,490.15,111.46622942860452,0.3473875071792455,0.160435,0.64174,T_0p15NL_over_Lp2,250,0.8314809351434083
rician,2000,10,1000,50.0,50.0,321,3.9172863817069925e+29,293,378,86,358.5,206.85,570.9499999999999,106.95768775406924,0.2910017351491477,0.183775,0.36755,T_0p15NL_over_Lp2,250,0.8902892794787161
thin_tail,2000,10,500,75.0,25.0,84,8.965570526551905e+26,83,86,4,80.0,39.9,135.2,28.20058026482305,0.3294460311311104,0.0427999999999999,0.1711999999999999,T_0p05NL_over_Lp2,83,0.8663746930592012
thin_tail,2000,10,1000,50.0,50.0,135,1.1990159498321907e+31,133,136,4,132.5,83.9,174.0,29.82983896921492,0.2291606281725045,0.0650849999999999,0.1301699999999999,T_0p075N,150,0.8758852090218237
twdp,2000,10,500,75.0,25.0,103,3.702011252614177e+31,85,121,37,94.5,55.8,136.0,25.82735805773452,0.2706986485455877,0.0477049999999999,0.1908199999999999,T_0p05N,100,0.9552325445091552
twdp,2000,10,1000,50.0,50.0,132,8.661147757458579e+36,110,148,39,127.0,84.9,176.1,26.69979003435772,0.2064948958573683,0.0646499999999999,0.1292999999999999,T_0p075NL_over_Lp2,125,0.9661596531444944
gaussian,2000,2,500,75.0,25.0,79,185066725.15878803,56,99,44,73.5,38.0,114.1,22.697608114984583,0.3045841131908827,0.03726,0.14904,T_0p075NL_over_Lp2,75,0.97031527299163
gaussian,2000,2,1000,50.0,50.0,97,1178884908.4907477,77,139,63,97.5,52.9,148.2,28.691117127435135,0.2884689033524547,0.04973,0.09946,T_0p05N,100,0.9732824248610684
lognormal,2000,2,500,75.0,25.0,79,1909751.81117582,76,86,11,73.0,34.9,109.05,21.655372347645088,0.2921663835354167,0.03706,0.14824,T_0p075NL_over_Lp2,75,0.930991096156736
lognormal,2000,2,1000,50.0,50.0,99,5591656.430720291,92,117,26,105.5,60.85,151.45,27.826475293732894,0.2637080676055051,0.05276,0.10552,T_0p05N,100,0.9397823983404922
nakagami,2000,2,500,75.0,25.0,92,373684524.36270666,65,121,57,89.5,53.9,138.05,25.67735118029824,0.2817661711872955,0.0455649999999999,0.1822599999999999,T_0p05N,100,0.9811764040522892
nakagami,2000,2,1000,50.0,50.0,129,3050958494.5600176,89,159,71,116.5,80.7,171.14999999999998,28.030149712930413,0.2321529709535399,0.06037,0.12074,T_0p125NL_over_Lp2,125,0.9825325021435292
rayleigh,2000,2,500,75.0,25.0,80,181816144.88952827,59,103,45,76.0,43.95,118.1,22.19430038764389,0.2815463705143206,0.039415,0.15766,T_0p075NL_over_Lp2,75,0.9735129929196332
rayleigh,2000,2,1000,50.0,50.0,105,1157933625.4502358,79,135,57,106.5,66.95,150.29999999999998,29.04488167500689,0.2701095664001385,0.053765,0.10753,T_0p05N,100,0.975033001462122
rician,2000,2,500,75.0,25.0,143,97942861.25355989,113,195,83,144.0,69.75,253.35,53.56029265692028,0.3646285836811239,0.073445,0.29378,T_0p075N,150,0.9633764385768698
rician,2000,2,1000,50.0,50.0,165,900464270.1031244,132,216,85,176.5,115.75,257.25,45.88470839665938,0.2552837899001857,0.08987,0.17974,T_0p075N,150,0.9758297353672016
thin_tail,2000,2,500,75.0,25.0,89,43519380.66046462,75,109,35,82.0,48.85,124.1,25.324980680439747,0.3076033120422659,0.041165,0.16466,T_0p05N,100,0.9611190120764532
thin_tail,2000,2,1000,50.0,50.0,123,219714382.19042748,98,149,52,121.0,76.9,168.05,29.8470850310124,0.2430544383632931,0.0614,0.1228,T_0p125NL_over_Lp2,125,0.9673445256578264
twdp,2000,2,500,75.0,25.0,83,591933822.5768226,45,108,64,71.5,38.9,108.15,22.156785220630077,0.313435920506862,0.035345,0.14138,T_0p075NL_over_Lp2,75,0.9800889651281794
twdp,2000,2,1000,50.0,50.0,92,4918695447.38457,66,131,66,90.0,54.9,133.1,24.361801528979207,0.268420025660855,0.04538,0.09076,T_0p05N,100,0.9838626459093336
gaussian,2000,4,500,75.0,25.0,82,602202575766513.2,70,116,47,83.0,45.0,128.29999999999998,25.65713321570601,0.2953169108621779,0.04344,0.17376,T_0p05N,100,0.9607447295940952
gaussian,2000,4,1000,50.0,50.0,129,4.090014823203458e+16,107,146,40,124.0,88.7,173.29999999999998,26.372667209775653,0.2089089607871962,0.06312,0.12624,T_0p10NL_over_Lp2,133,0.9650425271022928
lognormal,2000,4,500,75.0,25.0,90,35645562756.07243,88,93,6,79.5,39.0,124.2,28.370583356709464,0.3538802963291688,0.040085,0.16034,T_0p05N,100,0.8722586197042083
lognormal,2000,4,1000,50.0,50.0,106,375907300551.2973,96,114,19,108.5,63.75,170.14999999999998,32.18916782479046,0.2856942205093677,0.0563349999999999,0.1126699999999999,T_0p05N,100,0.8871738887398664
nakagami,2000,4,500,75.0,25.0,92,1698751398153266.2,73,131,59,93.0,57.8,152.0,28.80646672628432,0.2974645469463477,0.04842,0.19368,T_0p05N,100,0.9705321279842154
nakagami,2000,4,1000,50.0,50.0,135,1.6687117002040352e+17,112,174,63,138.0,89.9,179.1,28.912300342779904,0.2081369256553157,0.0694549999999999,0.1389099999999999,T_0p10NL_over_Lp2,133,0.9772956512621
rayleigh,2000,4,500,75.0,25.0,81,560771129322192.5,71,106,36,82.0,47.95,130.0,25.553230241156903,0.2940871244234883,0.043445,0.17378,T_0p15K,75,0.9561075842372604
rayleigh,2000,4,1000,50.0,50.0,123,3.792276379575175e+16,104,149,46,124.0,75.95,171.25,28.821377798117464,0.2383310824288221,0.060465,0.12093,T_0p10NL_over_Lp2,133,0.965992416200486
rician,2000,4,500,75.0,25.0,284,13040300842442.855,243,301,59,247.5,124.25,442.3,99.54303419408944,0.3918245786029892,0.127025,0.5081,T_0p10N,200,0.9114810728098074
rician,2000,4,1000,50.0,50.0,280,1696640720680954.5,210,310,101,266.5,171.6,384.3,70.51428969014047,0.2628776084481825,0.13412,0.26824,T_0p10N,200,0.9484242895431848
thin_tail,2000,4,500,75.0,25.0,85,23650983818998.47,78,91,14,85.0,50.85,134.2,25.956332794160502,0.294322857400618,0.0440949999999999,0.1763799999999999,T_0p05N,100,0.929612435604485
thin_tail,2000,4,1000,50.0,50.0,135,819014189034633.9,120,146,27,129.0,83.95,174.1,30.3211497343376,0.2369580316844139,0.06398,0.12796,T_0p10NL_over_Lp2,133,0.9470693962962602
twdp,2000,4,500,75.0,25.0,78,2954081257070026.0,63,108,46,80.5,45.9,125.05,24.101793805575237,0.294823165817434,0.040875,0.1635,T_0p15K,75,0.9729300807264012
twdp,2000,4,1000,50.0,50.0,118,2.907551555043039e+17,88,144,57,117.0,70.9,165.34999999999997,29.350332539888203,0.2548214320184772,0.05759,0.11518,T_0p05N,100,0.9742144585744076
gaussian,2000,6,500,75.0,25.0,93,3.176726967639496e+20,80,115,36,93.0,52.0,147.05,27.24110641636787,0.2906338036527032,0.046865,0.18746,T_0p05N,100,0.9488253194270506
gaussian,2000,6,1000,50.0,50.0,135,2.4926278417363103e+23,107,150,44,128.0,84.0,194.25,30.77792072314834,0.2401148441500104,0.06409,0.12818,T_0p075NL_over_Lp2,112,0.9545060084465198
lognormal,2000,6,500,75.0,25.0,77,103168043861486.2,77,78,2,75.0,44.9,120.05,22.97046632596568,0.2952881646222609,0.038895,0.15558,T_0p05NL_over_Lp2,75,0.8220245380613861
lognormal,2000,6,1000,50.0,50.0,121,3769963877461817.5,120,126,7,111.5,61.9,166.2,32.33277725232531,0.2882736916220159,0.05608,0.11216,T_0p05N,100,0.840829522186739
nakagami,2000,6,500,75.0,25.0,95,1.2515002585401367e+21,81,125,45,96.0,57.9,139.05,25.6289293612125,0.2639980362712453,0.04854,0.19416,T_0p075NL_over_Lp2,112,0.9652728155198392
nakagami,2000,6,1000,50.0,50.0,140,1.5635328310541833e+24,111,172,62,134.0,95.75,188.2,30.759470907430288,0.2235751628683695,0.06879,0.13758,T_0p075N,150,0.9719044436280336
rayleigh,2000,6,500,75.0,25.0,87,2.851384894239432e+20,70,112,43,91.0,50.0,128.2,24.64836339763389,0.2721771576593848,0.04528,0.18112,T_0p075NL_over_Lp2,112,0.9453422873355568
rayleigh,2000,6,1000,50.0,50.0,126,2.231521788799428e+23,110,152,43,127.0,78.95,186.05,31.42649593041908,0.2408898967531739,0.06523,0.13046,T_0p075NL_over_Lp2,112,0.9530536295529656
rician,2000,6,500,75.0,25.0,317,1.855890589783337e+17,270,338,69,286.5,97.0,487.2,122.22596188034584,0.4210187795127479,0.145155,0.58062,T_0p15NL_over_Lp2,225,0.8675312634283088
rician,2000,6,1000,50.0,50.0,333,3.5124211013281337e+20,272,358,87,311.5,189.5,460.6,82.49107695852793,0.2594875022287761,0.15895,0.3179,T_0p15NL_over_Lp2,225,0.9194963243873876
thin_tail,2000,6,500,75.0,25.0,87,2.271089882767104e+18,83,94,12,88.0,51.95,143.2,28.087964279629404,0.3031293360633434,0.04633,0.18532,T_0p05N,100,0.897301180976953
thin_tail,2000,6,1000,50.0,50.0,157,5.584012838593419e+20,149,162,14,133.5,78.8,196.15,36.97316936002718,0.2730057547074295,0.067715,0.13543,T_0p075N,150,0.9055628563092256
twdp,2000,6,500,75.0,25.0,97,2.1849664382667928e+21,68,115,48,87.0,53.95,123.1,23.005805152332112,0.2560753022298765,0.0449199999999999,0.1796799999999999,T_0p05N,100,0.9661396646807994
twdp,2000,6,1000,50.0,50.0,114,2.738417048079729e+24,97,148,52,119.5,76.95,167.05,26.604038198830803,0.2203597962298583,0.060365,0.12073,T_0p075NL_over_Lp2,112,0.9733214301396595
