data_profile,N,L,K,off_pct,active_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
twdp,5000,4,1250,75.0,25.0,100,105,141.9,174.0,201.5,233.25,287.74999999999994,331,206.63,45.435858886206525,59.25,0.2198899428263394,0.041326,0.165304
twdp,5000,4,2500,50.0,50.0,100,158,212.9,245.0,274.0,313.75,369.25,398,279.8,49.76145114646497,68.75,0.1778465015956575,0.05596,0.11192
gaussian,5000,6,1250,75.0,25.0,100,151,161.95,192.5,224.5,259.25,322.54999999999995,406,229.21,47.824657644230754,66.75,0.208649961363949,0.0458419999999999,0.1833679999999999
gaussian,5000,6,2500,50.0,50.0,100,205,233.9,288.0,319.5,361.0,439.05,520,327.29,60.38751877865512,73.0,0.1845076805849708,0.065458,0.130916
lognormal,5000,6,1250,75.0,25.0,100,104,132.0,164.25,195.0,229.0,304.4,337,202.58,50.99141936134793,64.75,0.251710037325244,0.0405159999999999,0.1620639999999999
lognormal,5000,6,2500,50.0,50.0,100,155,185.85,239.75,294.0,337.0,389.65,450,291.63,65.47443868573538,97.25,0.2245120141471569,0.0583259999999999,0.1166519999999999
nakagami,5000,6,1250,75.0,25.0,100,155,178.85,229.5,256.5,296.0,339.05,381,258.42,49.65134602018521,66.5,0.1921343008288259,0.051684,0.206736
nakagami,5000,6,2500,50.0,50.0,100,166,263.1,309.5,347.5,391.25,450.65,475,349.14,60.165599755503095,81.75,0.1723251410766543,0.0698279999999999,0.1396559999999999
rayleigh,5000,6,1250,75.0,25.0,100,128,161.8,199.0,232.5,269.0,318.05,388,235.41,50.810023468293,70.0,0.2158363003623168,0.047082,0.188328
rayleigh,5000,6,2500,50.0,50.0,100,219,238.8,270.5,309.5,351.5,390.05,436,311.97,51.50805664155753,81.0,0.1651058006909559,0.0623939999999999,0.1247879999999999
rician,5000,6,1250,75.0,25.0,100,321,384.15,536.75,692.5,883.5,1222.0,1248,723.6,251.00529190767384,346.75,0.3468840407789854,0.14472,0.57888
rician,5000,6,2500,50.0,50.0,100,452,524.9,647.25,756.0,871.75,1045.15,1353,772.93,167.30352595800184,224.5,0.2164536581035822,0.154586,0.309172
thin_tail,5000,6,1250,75.0,25.0,100,114,144.95,175.75,207.0,258.25,303.45,343,216.82,52.467282734822064,82.5,0.2419854383120656,0.0433639999999999,0.1734559999999999
thin_tail,5000,6,2500,50.0,50.0,100,210,234.7,289.75,330.5,364.0,432.1,537,332.73,61.72304629912918,74.25,0.1855049027714037,0.0665459999999999,0.1330919999999999
twdp,5000,6,1250,75.0,25.0,100,122,164.9,192.25,218.0,253.5,307.05,339,226.77,44.70009038926074,61.25,0.1971164192320886,0.045354,0.181416
twdp,5000,6,2500,50.0,50.0,100,200,220.0,272.75,307.5,351.75,402.35,478,310.28,56.33648547752687,79.0,0.1815666026734784,0.062056,0.124112
gaussian,5000,8,1250,75.0,25.0,100,88,154.0,203.0,242.0,284.25,330.1,369,242.52,55.454318264147965,81.25,0.228658742636269,0.048504,0.194016
gaussian,5000,8,2500,50.0,50.0,100,185,229.8,297.0,326.0,382.0,444.05,519,334.89,63.16035308657008,85.0,0.1886002958779601,0.066978,0.133956
lognormal,5000,8,1250,75.0,25.0,100,117,127.75,166.75,198.0,233.0,283.05,329,201.47,47.84812990445432,66.25,0.2374950608252063,0.0402939999999999,0.1611759999999999
lognormal,5000,8,2500,50.0,50.0,100,157,215.85,259.75,295.0,338.0,417.25,456,301.57,60.40306618078592,78.25,0.2002953416479952,0.060314,0.120628
nakagami,5000,8,1250,75.0,25.0,100,155,185.5,224.0,263.0,296.0,371.15,426,265.05,55.00622095212817,72.0,0.207531488217801,0.0530099999999999,0.2120399999999999
nakagami,5000,8,2500,50.0,50.0,100,191,267.0,311.5,360.0,400.0,446.35,511,357.06,59.402550705361385,88.5,0.1663657388264196,0.071412,0.142824
rayleigh,5000,8,1250,75.0,25.0,100,141,158.4,203.25,244.0,280.25,326.4,351,242.47,52.20191083618966,77.0,0.2152922457878898,0.0484939999999999,0.1939759999999999
rayleigh,5000,8,2500,50.0,50.0,100,197,246.4,301.0,336.5,385.5,443.25,489,340.05,61.79950884051824,84.5,0.1817365353345632,0.06801,0.13602
rician,5000,8,1250,75.0,25.0,100,280,344.8,579.0,773.0,1009.25,1219.45,1250,792.26,268.84442649340093,430.25,0.3393386344046158,0.158452,0.633808
rician,5000,8,2500,50.0,50.0,100,492,551.55,687.0,812.0,908.25,1124.35,1291,818.97,178.357798095329,221.25,0.2177830666511948,0.163794,0.3275880000000001
thin_tail,5000,8,1250,75.0,25.0,100,130,151.85,189.75,226.0,268.5,309.1,333,227.96,49.97351217587092,78.75,0.2192205306890284,0.045592,0.182368
thin_tail,5000,8,2500,50.0,50.0,100,200,250.5,291.75,325.0,378.75,454.2,513,335.22,63.312050650533806,87.0,0.1888671638044681,0.067044,0.134088
twdp,5000,8,1250,75.0,25.0,100,144,162.85,191.0,223.0,263.5,322.65,380,230.49,50.15903898520377,72.5,0.2176191547798332,0.046098,0.184392
twdp,5000,8,2500,50.0,50.0,100,167,231.45,271.75,306.0,347.5,415.35,476,313.52,59.17692698061202,75.75,0.1887500860570682,0.062704,0.125408
