data_profile,N,L,K,off_pct,active_pct,cases,T_min,T_max,T_mean,outside_dense_rate,u_g_mean,u_g_p05,u_g_p50,u_g_p95,fraction_mean,fraction_p05,fraction_p50,fraction_p95,gap_pct_mean,winner_rate
lognormal,1000,6,500,50.0,50.0,100,250,250,250.0,0.0,485141975288.165,769423402.0411252,87174840659.38058,2237858752950.312,0.06910838470856752,0.03384056837684825,0.06844896535851519,0.10889865794394404,93.08916152914324,0.0
lognormal,1000,8,250,75.0,25.0,100,375,375,375.0,1.0,13164645535.447903,21640246.57237707,1292947235.6954014,45700343142.6949,0.000915449560339683,0.00025800475579288,0.00081488130545525,0.0019258131563709845,99.90845504396603,0.0
lognormal,1000,8,500,50.0,50.0,100,250,250,250.0,0.0,71593532169844.92,86995195652.60513,7781039258617.153,221402224951981.3,0.03558768215758695,0.012959463914478905,0.031837636650844894,0.07032371060153313,96.4412317842413,0.0
lognormal,1000,10,250,75.0,25.0,100,375,375,375.0,1.0,105567998058.99652,23473327.312543616,3858048298.6714144,614712682810.9773,0.0002516762283656682,6.440298348579214e-05,0.0001908644578988,0.000648329467969375,99.97483237716344,0.0
lognormal,1000,10,500,50.0,50.0,100,250,250,250.0,0.0,5071394803634590.0,285825774937.97217,110452273645043.4,3.3975824867926308e+16,0.01753762406797772,0.005754331809416595,0.015115366186596299,0.03217410651524588,98.24623759320222,0.0
lognormal,2000,2,500,75.0,25.0,100,750,750,750.0,1.0,234355.88566904864,38419.21413822572,207009.4335859367,572524.0965812588,0.11630585782507726,0.09601701382774724,0.11586302663024431,0.13771633190370952,88.36941421749226,0.0
lognormal,2000,2,1000,50.0,50.0,100,500,500,500.0,0.0,2101051.998101898,329876.646662173,1855293.2016981523,5226148.14096435,0.3548946288153945,0.3040813966452811,0.3578556870447094,0.39927418767864875,64.51053711846055,0.0
lognormal,2000,4,500,75.0,25.0,100,750,750,750.0,1.0,846970034.6072779,11988302.834641363,267320749.61152112,2945408560.8097367,0.02132449298551932,0.01502011252401849,0.0206431678519678,0.028729618988375415,97.86755070144807,0.0
lognormal,2000,4,1000,50.0,50.0,100,500,500,500.0,0.0,69668448021.26512,1004559878.6795146,20575568291.393368,296364859971.66925,0.16787202459571254,0.12644132879937056,0.16793978799827347,0.21971521072023628,83.21279754042875,0.0
lognormal,2000,6,500,75.0,25.0,100,750,750,750.0,1.0,395397637083.26764,1249862501.3889163,106142609790.7586,1743192880962.687,0.003621483329792955,0.0022500220272422948,0.0034550161665704996,0.005543615883931874,99.6378516670207,0.0
