data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_family,formula_label,formula_T,rule_note,u_bf,u_i,u_g,u_g_db,exact_completed,exact_u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p025N,N,T_0p025N,1,,34.298114852305396,69.61532135978136,289.6624256631952,24.618921631862353,True,290.90053201256245,0.9957438842039871,0.4256115796012927,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p05N,N,T_0p05N,1,,34.298114852305396,69.61532135978136,289.6624256631952,24.618921631862353,True,290.90053201256245,0.9957438842039871,0.4256115796012927,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p075N,N,T_0p075N,2,,30.94155046657477,7.449328626037341,252.4162672588501,24.02117340085173,True,290.90053201256245,0.8677064476731503,13.22935523268497,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p10N,N,T_0p10N,3,,28.40843333213242,0.3118495298860178,210.0498199219372,23.223223135486478,True,290.90053201256245,0.7220675000789145,27.79324999210855,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p10K,K,T_0p10K,1,,34.298114852305396,69.61532135978136,289.6624256631952,24.618921631862353,True,290.90053201256245,0.9957438842039871,0.4256115796012927,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p20K,K,T_0p20K,3,,28.40843333213242,0.3118495298860178,210.0498199219372,23.223223135486478,True,290.90053201256245,0.7220675000789145,27.79324999210855,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,legacy_T25,legacy,legacy_T25,14,,7.314616174042837,2.2036108683946307,18.84669300582283,12.75235156381602,True,290.90053201256245,0.06478741333140271,93.52125866685974,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,legacy_T50,legacy,legacy_T50,14,,7.314616174042837,2.2036108683946307,18.84669300582283,12.75235156381602,True,290.90053201256245,0.06478741333140271,93.52125866685974,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,legacy_T100,legacy,legacy_T100,14,,7.314616174042837,2.2036108683946307,18.84669300582283,12.75235156381602,True,290.90053201256245,0.06478741333140271,93.52125866685974,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p05K,K,T_0p05K,1,,34.298114852305396,69.61532135978136,289.6624256631952,24.618921631862353,True,290.90053201256245,0.9957438842039871,0.4256115796012927,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p15K,K,T_0p15K,2,,30.94155046657477,7.449328626037341,252.4162672588501,24.02117340085173,True,290.90053201256245,0.8677064476731503,13.22935523268497,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p05NL_over_Lp2,N_L,T_0p05NL_over_Lp2,1,,34.298114852305396,69.61532135978136,289.6624256631952,24.618921631862353,True,290.90053201256245,0.9957438842039871,0.4256115796012927,False
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,T_0p075NL_over_Lp2,N_L,T_0p075NL_over_Lp2,1,,34.298114852305396,69.61532135978136,289.6624256631952,24.618921631862353,True,290.90053201256245,0.9957438842039871,0.4256115796012927,False
