data_profile,N,L,K,off_pct,active_pct,formula,formula_family,cases,T_min,T_p50,T_max,outside_dense_rate,u_g_mean,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate
gaussian,28,2,7,75.0,25.0,T_0p20K,K,5,1,1.0,1,0.0,36.99803212372665,0.8590492326309004,0.7420449971659052,0.8387378709079742,0.9894719466993308,14.09507673690996,0.2
gaussian,28,2,7,75.0,25.0,best_tested_T,best_tested,5,0,0.0,1,0.0,41.140311856452215,0.9646930707739095,0.9410443472267083,0.9626339233102106,0.994801239280691,3.530692922609049,0.2
gaussian,28,2,7,75.0,25.0,legacy_T100,legacy,5,7,7.0,7,0.0,20.023512495464026,0.47767645014838245,0.40014041483176516,0.42234027510867167,0.6518693293471153,52.23235498516176,0.0
gaussian,28,2,7,75.0,25.0,legacy_T25,legacy,5,7,7.0,7,0.0,20.023512495464026,0.47767645014838245,0.40014041483176516,0.42234027510867167,0.6518693293471153,52.23235498516176,0.0
gaussian,28,2,7,75.0,25.0,legacy_T50,legacy,5,7,7.0,7,0.0,20.023512495464026,0.47767645014838245,0.40014041483176516,0.42234027510867167,0.6518693293471153,52.23235498516176,0.0
gaussian,28,2,7,75.0,25.0,strong_weak,heuristic,5,11,11.0,11,1.0,12.899484122892739,0.3120612242483657,0.23307371330940213,0.29083177206520267,0.413273346457569,68.79387757516342,0.0
gaussian,28,2,14,50.0,50.0,T_0p025N,N,5,1,1.0,1,0.0,203.32485399261512,0.8725840150500247,0.7407547959661297,0.8633985493202134,0.9991487768407974,12.741598494997524,0.2
gaussian,28,2,14,50.0,50.0,T_0p05K,K,5,1,1.0,1,0.0,203.32485399261512,0.8725840150500247,0.7407547959661297,0.8633985493202134,0.9991487768407974,12.741598494997524,0.2
gaussian,28,2,14,50.0,50.0,T_0p05N,N,5,1,1.0,1,0.0,203.32485399261512,0.8725840150500247,0.7407547959661297,0.8633985493202134,0.9991487768407974,12.741598494997524,0.2
gaussian,28,2,14,50.0,50.0,T_0p05NL_over_Lp2,N_L,5,1,1.0,1,0.0,203.32485399261512,0.8725840150500247,0.7407547959661297,0.8633985493202134,0.9991487768407974,12.741598494997524,0.2
gaussian,28,2,14,50.0,50.0,T_0p075N,N,5,2,2.0,2,0.0,165.70342400074477,0.7034591708328267,0.5716289208855608,0.6787593339370044,0.8516199179426877,29.654082916717336,0.0
gaussian,28,2,14,50.0,50.0,T_0p075NL_over_Lp2,N_L,5,1,1.0,1,0.0,203.32485399261512,0.8725840150500247,0.7407547959661297,0.8633985493202134,0.9991487768407974,12.741598494997524,0.2
gaussian,28,2,14,50.0,50.0,T_0p10K,K,5,1,1.0,1,0.0,203.32485399261512,0.8725840150500247,0.7407547959661297,0.8633985493202134,0.9991487768407974,12.741598494997524,0.2
gaussian,28,2,14,50.0,50.0,T_0p10N,N,5,3,3.0,3,0.0,169.0995800176617,0.7792076257863135,0.6409435975479599,0.7838529453195111,0.9127645957663049,22.079237421368653,0.0
gaussian,28,2,14,50.0,50.0,T_0p10NL_over_Lp2,N_L,5,1,1.0,1,0.0,203.32485399261512,0.8725840150500247,0.7407547959661297,0.8633985493202134,0.9991487768407974,12.741598494997524,0.2
gaussian,28,2,14,50.0,50.0,T_0p125NL_over_Lp2,N_L,5,2,2.0,2,0.0,165.70342400074477,0.7034591708328267,0.5716289208855608,0.6787593339370044,0.8516199179426877,29.654082916717336,0.0
gaussian,28,2,14,50.0,50.0,T_0p15K,K,5,2,2.0,2,0.0,165.70342400074477,0.7034591708328267,0.5716289208855608,0.6787593339370044,0.8516199179426877,29.654082916717336,0.0
gaussian,28,2,14,50.0,50.0,T_0p15NL_over_Lp2,N_L,5,2,2.0,2,0.0,165.70342400074477,0.7034591708328267,0.5716289208855608,0.6787593339370044,0.8516199179426877,29.654082916717336,0.0
gaussian,28,2,14,50.0,50.0,T_0p20K,K,5,3,3.0,3,0.0,169.0995800176617,0.7792076257863135,0.6409435975479599,0.7838529453195111,0.9127645957663049,22.079237421368653,0.0
gaussian,28,2,14,50.0,50.0,best_tested_T,best_tested,5,0,0.0,1,0.0,224.6796275726468,0.9977611991415891,0.9935984660439646,0.999999999999999,1.0,0.2238800858410972,0.6
gaussian,28,2,14,50.0,50.0,legacy_T100,legacy,5,14,14.0,14,0.0,33.45461939789432,0.17593163067659667,0.06751546676789448,0.18152779912961736,0.2913282569532717,82.40683693234034,0.0
gaussian,28,2,14,50.0,50.0,legacy_T25,legacy,5,14,14.0,14,0.0,33.45461939789432,0.17593163067659667,0.06751546676789448,0.18152779912961736,0.2913282569532717,82.40683693234034,0.0
gaussian,28,2,14,50.0,50.0,legacy_T50,legacy,5,14,14.0,14,0.0,33.45461939789432,0.17593163067659667,0.06751546676789448,0.18152779912961736,0.2913282569532717,82.40683693234034,0.0
gaussian,28,2,14,50.0,50.0,strong_weak,heuristic,5,7,7.0,7,0.0,93.84769554788228,0.4395192999545875,0.323999481588809,0.4642292452271754,0.5065096707008903,56.04807000454125,0.0
