data_profile,N,L,K,off_pct,active_pct,T,samples,winner_rate,u_bf_mean,u_i_mean,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,elapsed_seconds_mean
lognormal,500,8,250,50.0,50.0,84,100,0.0,134.40738334631408,316.35063171461593,73059699008.54155,23449872.961420983,4537706327.720026,264121664218.11465,95.55595967416332,0.1674647043991286,0.06564906315685357,83.25352956008713,3.0021699494682252e-05
lognormal,500,8,250,50.0,50.0,85,100,0.0,133.83604765980195,313.55801630989595,70193358085.99324,23174476.009749494,4154080068.457839,279696971641.33704,95.41372864193109,0.16250616559423153,0.05994676669527987,83.74938344057684,2.999093645485118e-05
lognormal,500,8,250,50.0,50.0,86,100,0.0,133.33516805181625,313.3796049981985,66808336198.0612,21513213.246482033,4280821716.6449738,325178521822.11957,95.26265816291217,0.15719127620840706,0.05819106646475039,84.2808723791593,3.070053149713203e-05
lognormal,500,8,250,50.0,50.0,87,100,0.0,132.67348016562514,310.7280158250234,65399220415.96836,19923279.883194435,4160151853.4851494,313011649082.9777,95.08821052784137,0.15123401065644407,0.05430216935633649,84.87659893435558,3.0171140970196575e-05
lognormal,500,8,250,50.0,50.0,88,100,0.0,131.9624008484407,304.46792501892656,64648188154.91708,20391520.994679738,4203885240.2287364,309909504782.8663,94.92115024257966,0.14516028063230005,0.05289449589758921,85.48397193676999,3.0639029282610864e-05
lognormal,500,8,250,50.0,50.0,89,100,0.0,131.52968303106,303.6130769923034,69321633801.35187,18835847.342949882,3853222569.4991384,295809486431.9575,94.79459731591918,0.14082363847216517,0.04781913249075192,85.91763615278349,3.100772970356047e-05
lognormal,500,8,250,50.0,50.0,90,100,0.0,130.8081468760047,298.7354947949973,65902713878.60576,17676826.048902802,3667704608.4847975,268158604172.68814,94.62914237030498,0.13558135402485288,0.05075059951306781,86.44186459751471,3.040929907001555e-05
lognormal,500,8,250,50.0,50.0,91,100,0.0,130.15072453325377,296.7264530158664,61924434874.36893,17335151.946501736,3355150474.0048547,252172014971.46133,94.46962691048373,0.13121679024905084,0.046843660026986624,86.87832097509492,3.0746599077247086e-05
lognormal,500,8,250,50.0,50.0,92,100,0.0,129.50579390977728,293.1953297832474,58544676655.41263,15804320.219410656,3028540997.4119368,246044485821.5954,94.31537532760011,0.127639093410187,0.04441272181265742,87.2360906589813,3.026050981134176e-05
lognormal,500,8,250,50.0,50.0,93,100,0.0,128.76895890406527,290.335870631609,55487851871.32364,16785858.81193226,3002244331.9275627,231282192824.01904,94.13620201566602,0.12269732496992036,0.04133667358037214,87.73026750300797,3.0833930359221996e-05
lognormal,500,8,250,50.0,50.0,94,100,0.0,128.1173504525527,286.8512150405614,53180494210.018196,16736943.924613057,2925320215.312639,217638548532.39584,93.9868809269323,0.11894763592623434,0.04060604426320452,88.10523640737657,3.0661358032375574e-05
lognormal,500,8,250,50.0,50.0,95,100,0.0,127.60191254857946,285.23213126791575,51565212714.68115,16093381.430368328,2662384845.7117,208234168611.51532,93.83560071572244,0.11505070529796056,0.03784672152984168,88.49492947020396,3.010890068253502e-05
