data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
lognormal,42,79,1000,10,500,1.0,1.0,50.0,50.0,100,497.081384276742,2077.6005916003564,7.377382639899427e+16,168.6790230942927,2.0340785468361696e+17,0.3626891720270241,63.73108279729759,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,80,1000,10,500,1.0,1.0,50.0,50.0,100,655.3449037225633,3777.359343210732,1.0650862474278171e+18,180.27384777038014,1.4554208353040343e+18,0.7318063762673308,26.81936237326692,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,81,1000,10,500,1.0,1.0,50.0,50.0,100,256.27788163497206,521.5560816806411,100930690838174.56,140.04023245869712,119362229257736.56,0.8455831586408868,15.441684135911316,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,82,1000,10,500,1.0,1.0,50.0,50.0,100,536.6416787289608,2493.067542302698,1.2899991196280805e+17,171.10589413911032,2.3707148207770154e+17,0.5441393069813752,45.58606930186247,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,83,1000,10,500,1.0,1.0,50.0,50.0,100,329.770226004725,810.6527814300025,1353527087677224.5,151.31466951581243,2278476020063371.0,0.5940493012691787,40.59506987308213,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,84,1000,10,500,1.0,1.0,50.0,50.0,100,101.18562410725912,69.05810061588316,16848579606.802067,102.26563294232322,26069472993.636883,0.6462953666502779,35.370463334972214,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,85,1000,10,500,1.0,1.0,50.0,50.0,100,386.8188907858274,1177.0053059915558,6440440844718524.0,158.08915595601417,9476808025052406.0,0.6796002227430273,32.03997772569727,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,86,1000,10,500,1.0,1.0,50.0,50.0,100,253.79389748851224,503.50629147671157,104555850253503.97,140.1934833807891,139825208328883.16,0.7477610904578661,25.223890954213392,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,87,1000,10,500,1.0,1.0,50.0,50.0,100,440.740388289598,1709.3680898759933,2.1264275393935972e+16,163.27650588189152,3.4371568354887188e+16,0.6186588628828882,38.13411371171118,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,88,1000,10,500,1.0,1.0,50.0,50.0,100,374.3492612335561,1203.7865398570636,4365513471591496.5,156.4003533275265,7496964069642784.0,0.5823041742014784,41.76958257985216,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,89,1000,10,500,1.0,1.0,50.0,50.0,100,230.1107453926857,412.9166191798725,39091847603339.66,135.9208619703682,74500257766609.84,0.5247209711113264,47.52790288886736,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,90,1000,10,500,1.0,1.0,50.0,50.0,100,358.152577193342,898.3820203058597,3108826925683984.5,154.9259654471522,6813436924960272.0,0.4562788149245414,54.37211850754586,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,91,1000,10,500,1.0,1.0,50.0,50.0,100,467.8913908631165,1949.5522991795767,3.895243343382568e+16,165.90534594072022,6.310620998710998e+16,0.6172519858470675,38.27480141529325,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,92,1000,10,500,1.0,1.0,50.0,50.0,100,712.1362408669671,4382.432517799271,2.474047762664008e+18,183.9340807963473,2.0877723274333524e+19,0.11850179879074897,88.1498201209251,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,93,1000,10,500,1.0,1.0,50.0,50.0,100,663.7598992218872,3412.5729223793005,1.222133844687943e+18,180.87118771230823,2.301597246215797e+18,0.5309937899418898,46.90062100581102,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,94,1000,10,500,1.0,1.0,50.0,50.0,100,467.50836110277055,1673.6881167623694,3.793695008454087e+16,165.79062413144726,6.3639764847857384e+16,0.5961202115569748,40.387978844302516,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,95,1000,10,500,1.0,1.0,50.0,50.0,100,347.41632802254384,1172.2371832052825,2000920341407150.0,153.01229799292915,3068206706905413.5,0.6521465248426087,34.785347515739126,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,96,1000,10,500,1.0,1.0,50.0,50.0,100,217.4041514870755,386.3604434769723,23024495734386.797,133.6219012737393,35260428466173.9,0.6529840031999242,34.701599680007575,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,97,1000,10,500,1.0,1.0,50.0,50.0,100,337.11175578054264,1189.1469448605794,1503916783226305.0,151.77223805946122,1765460732801302.0,0.8518551306660905,14.814486933390947,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,98,1000,10,500,1.0,1.0,50.0,50.0,100,260.1223395017634,551.4466169098017,129616125869632.03,141.1265903656949,273388463058731.47,0.47410971340728036,52.58902865927196,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,99,1000,10,500,1.0,1.0,50.0,50.0,100,206.1871283245926,371.8619431820768,13678868101224.281,131.36050161877495,19629680372810.98,0.6968461962412208,30.315380375877922,False,legacy_T100,legacy,100,legacy_T100
lognormal,42,0,1000,10,500,1.0,1.0,50.0,50.0,25,241.9890602776022,422.01317076969696,68549571454334.35,138.36004744091255,187769876750446.4,0.36507225035589413,63.49277496441059,False,legacy_T25,legacy,25,legacy_T25
lognormal,42,1,1000,10,500,1.0,1.0,50.0,50.0,25,245.67939238112655,701.3657654086429,68267733819315.75,138.3421548647404,110646870149020.92,0.6169874821345755,38.301251786542444,False,legacy_T25,legacy,25,legacy_T25
lognormal,42,2,1000,10,500,1.0,1.0,50.0,50.0,25,350.993892864838,1422.7092551927428,2150574386176011.2,153.32554468953379,5571668084655647.0,0.3859839375749401,61.40160624250599,False,legacy_T25,legacy,25,legacy_T25
lognormal,42,3,1000,10,500,1.0,1.0,50.0,50.0,25,325.68412342897176,861.0484547597249,1084417455442958.4,150.35196499632852,2085668005528227.0,0.519937714232862,48.0062285767138,False,legacy_T25,legacy,25,legacy_T25
lognormal,42,4,1000,10,500,1.0,1.0,50.0,50.0,25,436.9312323307827,1690.752796311443,1.9252895945658756e+16,162.84496063643277,2.5019060247332304e+16,0.7695291411959259,23.047085880407415,False,legacy_T25,legacy,25,legacy_T25
lognormal,42,5,1000,10,500,1.0,1.0,50.0,50.0,25,507.1082007688435,2423.50038739869,8.618497642044475e+16,169.35431567143178,3.72691921610464e+17,0.23124991829182956,76.87500817081705,False,legacy_T25,legacy,25,legacy_T25
lognormal,42,6,1000,10,500,1.0,1.0,50.0,50.0,25,344.13919964165325,1280.190047412537,1834252372053878.0,152.63459089376494,4627774066927080.0,0.3963573730106173,60.36426269893826,False,legacy_T25,legacy,25,legacy_T25
