sigma,heuristic,selection_hash,active_count,turned_off_fraction,u_bf,u_i,u_g,log10_u_g,log2_u_g_per_active,min_channel_eig,max_channel_eig,sigma_over_min_channel_eig,elapsed_seconds,u_g_vs_min_sigma,u_g_vs_best_h12,bf_vs_h2,interference_score_vs_h2
0.1,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,318433166967849.06,14.503018296128895,0.09635596787715205,3678.655616391511,4981.216724666212,2.7183843889712244e-05,0.3937256250000001,1.0000942966423696,1.4647639735292792,1.2348881571436436,0.0004812323210574088
0.1,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,228605665852658.78,14.359086989917758,0.10148905210370086,3324.7200022519455,4629.860608076236,3.0077720810253682e-05,0.625076666,1.0001025748599537,1.0515655346902226,1.1381234986900328,0.00047510955294043826
0.1,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,177968369757398.1,14.25034282219388,0.0962166954935413,3176.11563639068,4020.849978203491,3.1484999744417194e-05,0.3867142500000007,1.000108973098724,0.818638519757882,1.0665974182019764,1.5320523491623699
0.3,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,217441219772581.72,14.33734187564217,0.09525523756540158,3255.161722445191,4654.310134074498,9.216131964547922e-05,0.012338207999999184,1.0003140979457352,1.0,1.1252899512015033,0.0004081079062869601
0.3,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,139323315141580.42,14.144023799769588,0.0939708600704202,3133.370888108417,3666.3522425976034,9.574353331057685e-05,0.22606095899999978,1.0003488032466794,0.6407401286991328,1.0,1.0
0.3,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,318493828668157.3,14.503101021596546,0.09635651749326235,3678.655616391511,4981.216724666212,8.155153166913673e-05,0.30085741700000135,1.0002848151774852,1.4647352926058128,1.2348881571436436,0.0004812323210574088
0.3,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,228653038580521.3,14.359176977113966,0.10148968812709505,3324.7200022519455,4629.860608076236,9.023316243076104e-05,0.5770906249999985,1.0003098207606043,1.0515625271954685,1.1381234986900328,0.00047510955294043826
0.3,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,178007549629566.4,14.2504384219321,0.09621734097211093,3176.11563639068,4020.849978203491,9.445499923325158e-05,0.3856457500000001,1.0003291478509782,0.8186467580330061,1.0665974182019764,1.5320523491623699
1.0,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,217601126743235.62,14.337661139817975,0.09525735871067219,3255.161722445191,4654.310134074498,0.0003072043988182641,0.012058374999998733,1.001049732142748,1.0,1.1252899512015033,0.0004081079062869601
1.0,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,139437096009195.12,14.144378329349248,0.09397321551396247,3133.370888108417,3666.3522425976034,0.00031914511103525614,0.2353264579999994,1.0011657559199276,0.6407921599308983,1.0,1.0
1.0,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,318706212616231.44,14.503390529362186,0.09635844094122308,3678.655616391511,4981.216724666212,0.0002718384388971224,0.33375591599999943,1.0009518436066838,1.464634937264353,1.2348881571436436,0.0004812323210574088
1.0,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,228818900840239.28,14.359491895084231,0.10149191394593124,3324.7200022519455,4629.860608076236,0.0003007772081025368,0.6318724170000003,1.0010354338918332,1.0515520037276296,1.1381234986900328,0.00047510955294043826
1.0,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,178144729954990.12,14.250772979169096,0.09621959986455995,3176.11563639068,4020.849978203491,0.00031484999744417193,0.43687462499999974,1.0011000448062959,0.8186755860193539,1.0665974182019764,1.5320523491623699
3.0,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,218058487201468.34,14.338572994806887,0.09526341694408444,3255.161722445191,4654.310134074498,0.0009216131964547923,0.013398875000000032,1.003153767958458,1.0,1.1252899512015033,0.0004081079062869601
3.0,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,139762567773489.27,14.145390871079146,0.09397994269560206,3133.370888108417,3666.3522425976034,0.0009574353331057685,0.29063354100000005,1.003502660475862,0.6409407382724801,1.0,1.0
3.0,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,319313606994145.56,14.504217425637975,0.09636393472116328,3678.655616391511,4981.216724666212,0.0008155153166913673,0.437001583999999,1.0028594704376097,1.4643484465666576,1.2348881571436436,0.0004812323210574088
3.0,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,229293287932213.88,14.360391341879234,0.10149827117482096,3324.7200022519455,4629.860608076236,0.0009023316243076104,0.7626472499999988,1.0031107794454728,1.051521960346196,1.1381234986900328,0.00047510955294043826
3.0,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,178537109167620.0,14.251728498497018,0.09622605142248807,3176.11563639068,4020.849978203491,0.0009445499923325158,0.49617908300000124,1.003305054448984,0.8187579005015576,1.0665974182019764,1.5320523491623699
10.0,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,219664897937222.0,14.341760662973602,0.09528459535296482,3255.161722445191,4654.310134074498,0.003072043988182641,0.0157094579999999,1.0105438815153374,1.0,1.1252899512015033,0.0004081079062869601
10.0,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,140906202365256.25,14.148930110169118,0.09400345689113708,3133.370888108417,3666.3522425976034,0.003191451110352562,0.3060123749999981,1.011714017591956,0.6414598039488576,1.0,1.0
10.0,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,321446300519464.6,14.507108431891792,0.09638314215095738,3678.655616391511,4981.216724666212,0.002718384388971224,0.43923583300000146,1.009557562384084,1.4633485073765893,1.2348881571436436,0.0004812323210574088
10.0,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,230959426418862.44,14.363535692316065,0.10152049523025987,3324.7200022519455,4629.860608076236,0.003007772081025368,0.768576791000001,1.0103997912219544,1.051417083875041,1.1381234986900328,0.00047510955294043826
