data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_T_over_N,best_tested_T_over_K,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
rayleigh,42,56,5000,4,1250,1.0,1.0,75.0,25.0,211,0.0422,0.1688,116213.51008500523,18445152.940686356,7.039668091969743e+17,178.47552183400055,210,6.952941039431764e+17,212,7.017856885682723e+17,0.49405762769755995,0.9522917983211354,2.0812018714233123,2.6432124821119594,1.9886401916586067,0.2650107797169903,4998,0.9996,0.353436906941858,0.20264691222432543,0.11268450176127863,0.02776126463140497
rayleigh,42,57,5000,4,1250,1.0,1.0,75.0,25.0,313,0.0626,0.2504,109118.65283931399,9016234.28752201,5.4910171230691955e+17,177.3965279800602,312,5.4837658692966925e+17,314,5.4789805615344486e+17,0.5055668003614449,1.0482436372422235,2.1532028603214695,2.7800598163619825,2.0279324400743226,1.182086064858182,4999,0.9998,0.35719429941741077,0.20620559655462523,0.1164978802130012,0.028815430870585846
rayleigh,42,58,5000,4,1250,1.0,1.0,75.0,25.0,293,0.0586,0.2344,104735.90345988587,12476095.031845124,4.655798752819817e+17,176.67994199642524,292,4.5973230733596064e+17,294,4.6484314479968403e+17,0.5036301857127529,1.0272295242723801,2.155473401216102,2.7632462223894105,2.1427057254595576,0.6693970029890162,4999,0.9998,0.35681757072543846,0.2054974998892811,0.1157256143662013,0.02855496255525428
rayleigh,42,59,5000,4,1250,1.0,1.0,75.0,25.0,158,0.0316,0.1264,108823.4693023079,12132186.742072769,5.421742954673545e+17,177.34138923791662,157,5.329362526545741e+17,159,5.408529199850431e+17,0.49890428394745046,1.0485586595305734,2.0821631427876417,2.7402413555175515,2.118061110214001,0.14029391731647944,4994,0.9988,0.354046739336747,0.20337156468481205,0.11417738649021221,0.029349486695173448
rayleigh,42,60,5000,4,1250,1.0,1.0,75.0,25.0,266,0.0532,0.2128,121724.66314154581,17781020.494374383,8.487420549062486e+17,179.28775721867027,265,8.454613686252732e+17,267,8.480361332999276e+17,0.4981293090595472,0.987297101658961,2.076010565462911,2.7397144025939104,1.8967084750475418,0.3114079886631931,4997,0.9994,0.3545126411844455,0.2038386692257355,0.11470779262609404,0.02831990471254389
rayleigh,42,61,5000,4,1250,1.0,1.0,75.0,25.0,189,0.0378,0.1512,124429.29387821715,23683751.43422814,9.24953256206957e+17,179.66119785620836,188,9.226214100078031e+17,190,9.225803908677551e+17,0.4973233834722158,0.9157761173765121,2.1402370084206948,2.71207352017674,1.822339907486737,0.12091722938377236,4997,0.9994,0.35545592822241323,0.20346540136852487,0.11352451500996935,0.02734600050151058
rayleigh,42,62,5000,4,1250,1.0,1.0,75.0,25.0,276,0.0552,0.2208,94386.51287814001,25785465.680609073,3.0222595488202125e+17,174.80331758408067,275,3.0084005291223866e+17,277,3.019295489497749e+17,0.4953010091821922,1.0158258825011839,2.0882203754783486,2.6798222930607625,2.434626510066346,0.25029054071435625,1,0.0002,0.35248411833239274,0.20241351285623965,0.11391213540229148,0.02835021191043198
rayleigh,42,63,5000,4,1250,1.0,1.0,75.0,25.0,185,0.037,0.148,99047.76401946283,17521148.65179736,3.703688846017932e+17,175.6863449363256,184,3.6503373685142656e+17,186,3.695011808978661e+17,0.4959021958629089,1.0236588020568642,2.0941666902160345,2.6833944880983656,2.338503610135137,0.3324603082674207,4998,0.9996,0.35313149587856757,0.20248955612416641,0.11329209330931408,0.028318958123836672
rayleigh,42,64,5000,4,1250,1.0,1.0,75.0,25.0,163,0.0326,0.1304,108478.09760331876,10737051.966500161,5.3536512163344685e+17,177.2865007403145,162,5.3066813823335315e+17,164,5.332486378117199e+17,0.505262260672234,1.0638294841587912,2.1284655150396072,2.733091310951681,2.116553975210907,0.3855001507392526,4999,0.9998,0.35798368581591017,0.2052601957179339,0.11517206987691167,0.02909632713151263
rayleigh,42,65,5000,4,1250,1.0,1.0,75.0,25.0,307,0.0614,0.2456,95815.6377611197,12144023.751562847,3.2318461004616486e+17,175.0945067162246,306,3.171465224964312e+17,308,3.224050485061535e+17,0.508987862451558,1.1316267337337182,2.1482092581254832,2.8661922437208047,2.3067177668003143,0.2428799478288366,4999,0.9998,0.35734754738197777,0.20733655109825644,0.11783981255617386,0.029584814264056982
