target_obj,exact_objective,sample,seed,N,L,K,algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,target_metric,target_direction,target_value,candidate_count
bf,bf,0,42,18,4,9,H3-threshold-Gen,9,True,17.259571976452683,43.75682344628309,302.724575772539,True,True,11.683866154307374,3 5 7 9 11 12 13 15 16,0.0035000000207219273,,,,u_bf,max,17.259571976452683,48620
bf,bf,0,42,18,4,9,Frame-BF,9,True,19.542943316120343,107.11915835292723,160.03886749010238,True,True,0.0,1 3 4 5 10 11 12 13 15,0.042420599987963215,,,,u_bf,max,19.542943316120343,48620
bf,bf,0,42,18,4,9,Frame-Int,9,True,8.475316997340279,2.3339682848766863,78.00280714314489,True,True,56.63234109496054,1 2 4 6 7 8 9 10 13,0.02808670001104474,,,,u_bf,max,8.475316997340279,48620
bf,bf,0,42,18,4,9,Frame-Gen,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,22.393536362083655,3 7 9 11 12 13 15 16 17,0.047183899994706735,,,,u_bf,max,15.166587198403537,48620
bf,bf,0,42,18,4,9,H3-Fast,9,True,8.782581038576158,3.519082082871492,53.97317948742462,True,True,55.06009050677802,1 2 4 5 6 7 8 14 16,0.0011873000185005367,,,,u_bf,max,8.782581038576158,48620
int,interference,0,42,18,4,9,Gurobi-BF,9,True,19.542943316120343,107.11915835292723,160.03886749010238,True,True,4489.572148303069,1 3 4 5 10 11 12 13 15,4.808675300038885,3.569397500017658,1.2392778000212274,0.02472479999414645,u_i,min,107.11915835292723,48620
int,interference,0,42,18,4,9,Gurobi-Int,9,True,8.475316997340279,2.3339682848766863,78.00280714314489,True,True,0.0,1 2 4 6 7 8 9 10 13,4.341916100005619,3.569397500017658,0.7725185999879614,0.02296319999732077,u_i,min,2.3339682848766863,48620
int,interference,0,42,18,4,9,Gurobi-Gen,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,756.3072265573287,3 7 9 11 12 13 15 16 17,4.284418000024743,3.569397500017658,0.7150205000070855,0.021309100004145876,u_i,min,19.985939088955206,48620
int,interference,0,42,18,4,9,H1,9,True,16.141245386083206,36.93971753570729,251.73631544023903,True,True,1482.7000638810725,0 3 5 7 9 11 12 13 15,0.0009000000136438757,,,,u_i,min,36.93971753570729,48620
int,interference,0,42,18,4,9,H2,9,True,9.65413120251897,3.4007105503002677,115.8678972922276,True,True,45.70508829685927,1 4 6 7 9 12 13 14 16,0.0008919000101741403,,,,u_i,min,3.4007105503002677,48620
int,interference,0,42,18,4,9,Coutino,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,756.3072265573287,3 7 9 11 12 13 15 16 17,0.0011075999937020242,,,,u_i,min,19.985939088955206,48620
int,interference,0,42,18,4,9,MISO-EE,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,756.3072265573287,3 7 9 11 12 13 15 16 17,0.002788799989502877,,,,u_i,min,19.985939088955206,48620
int,interference,0,42,18,4,9,Pareto-H2,9,True,9.65413120251897,3.4007105503002677,115.8678972922276,True,True,45.70508829685927,1 4 6 7 9 12 13 14 16,0.0024579999735578895,,,,u_i,min,3.4007105503002677,48620
int,interference,0,42,18,4,9,H3-threshold-BF,9,True,17.259571976452683,43.75682344628309,302.724575772539,True,True,1774.7822637442118,3 5 7 9 11 12 13 15 16,0.0005711999838240445,,,,u_i,min,43.75682344628309,48620
int,interference,0,42,18,4,9,H3-threshold-Int,9,True,9.65413120251897,3.4007105503002677,115.8678972922276,True,True,45.70508829685927,1 4 6 7 9 12 13 14 16,0.0019389000080991536,,,,u_i,min,3.4007105503002677,48620
int,interference,0,42,18,4,9,H3-threshold-Gen,9,True,17.259571976452683,43.75682344628309,302.724575772539,True,True,1774.7822637442118,3 5 7 9 11 12 13 15 16,0.00394110000343062,,,,u_i,min,43.75682344628309,48620
int,interference,0,42,18,4,9,Frame-BF,9,True,19.542943316120343,107.11915835292723,160.03886749010238,True,True,4489.572148303069,1 3 4 5 10 11 12 13 15,0.03729889998794533,,,,u_i,min,107.11915835292723,48620
int,interference,0,42,18,4,9,Frame-Int,9,True,8.475316997340279,2.3339682848766863,78.00280714314489,True,True,0.0,1 2 4 6 7 8 9 10 13,0.02816660000826232,,,,u_i,min,2.3339682848766863,48620
int,interference,0,42,18,4,9,Frame-Gen,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,756.3072265573287,3 7 9 11 12 13 15 16 17,0.0473311000096146,,,,u_i,min,19.985939088955206,48620
int,interference,0,42,18,4,9,H3-Fast,9,True,8.782581038576158,3.519082082871492,53.97317948742462,True,True,50.776773860807644,1 2 4 5 6 7 8 14 16,0.0011519999825395644,,,,u_i,min,3.519082082871492,48620
gen,general,0,42,18,4,9,Gurobi-BF,9,True,19.542943316120343,107.11915835292723,160.03886749010238,True,True,47.88117463863669,1 3 4 5 10 11 12 13 15,4.808675300038885,3.569397500017658,1.2392778000212274,0.02472479999414645,u_g,max,160.03886749010238,48620
gen,general,0,42,18,4,9,Gurobi-Int,9,True,8.475316997340279,2.3339682848766863,78.00280714314489,True,True,74.5973290929399,1 2 4 6 7 8 9 10 13,4.341916100005619,3.569397500017658,0.7725185999879614,0.02296319999732077,u_g,max,78.00280714314489,48620
gen,general,0,42,18,4,9,Gurobi-Gen,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,0.0,3 7 9 11 12 13 15 16 17,4.284418000024743,3.569397500017658,0.7150205000070855,0.021309100004145876,u_g,max,307.0653768201428,48620
gen,general,0,42,18,4,9,H1,9,True,16.141245386083206,36.93971753570729,251.73631544023903,True,True,18.01865842149687,0 3 5 7 9 11 12 13 15,0.0004883000219706446,,,,u_g,max,251.73631544023903,48620
gen,general,0,42,18,4,9,H2,9,True,9.65413120251897,3.4007105503002677,115.8678972922276,True,True,62.26604949990997,1 4 6 7 9 12 13 14 16,0.0008568000048398972,,,,u_g,max,115.8678972922276,48620
