data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
rician,42,93,2000,8,500,1.0,1.0,75.0,25.0,160,71652.2773772245,4295888807.201482,6.740434772673852e+20,208.2868791037558,8.340781313113984e+20,0.808129900501773,19.1870099498227,False,T_0p10NL_over_Lp2,N_L,160,T_0p10NL_over_Lp2
rician,42,94,2000,8,500,1.0,1.0,75.0,25.0,160,71221.74804457871,4242662850.5699906,7.535439482416321e+20,208.7710858634174,8.426639248338317e+20,0.8942401899906021,10.575981000939795,False,T_0p10NL_over_Lp2,N_L,160,T_0p10NL_over_Lp2
rician,42,95,2000,8,500,1.0,1.0,75.0,25.0,160,72659.94970946434,4410097187.661139,9.758164046367434e+20,209.8936811484545,1.1626512291351395e+21,0.8393027764333275,16.06972235666725,False,T_0p10NL_over_Lp2,N_L,160,T_0p10NL_over_Lp2
rician,42,96,2000,8,500,1.0,1.0,75.0,25.0,160,72118.79427072321,4360538153.431861,5.1337791147842653e+20,207.1043717884769,8.062302593991682e+20,0.6367633879941621,36.32366120058379,False,T_0p10NL_over_Lp2,N_L,160,T_0p10NL_over_Lp2
rician,42,97,2000,8,500,1.0,1.0,75.0,25.0,160,71606.39690980937,4292614534.271546,6.493795029964005e+20,208.1249857644267,8.184205436026932e+20,0.7934545486087472,20.65454513912528,False,T_0p10NL_over_Lp2,N_L,160,T_0p10NL_over_Lp2
rician,42,98,2000,8,500,1.0,1.0,75.0,25.0,160,60346.26912175977,3046534083.547641,1.9290325526864803e+20,202.85339556484126,2.5787930476907472e+20,0.7480369758301803,25.196302416981975,False,T_0p10NL_over_Lp2,N_L,160,T_0p10NL_over_Lp2
rician,42,99,2000,8,500,1.0,1.0,75.0,25.0,160,64692.36880750954,3510612959.421776,2.0262010239718343e+20,203.06682530496502,2.955565825608601e+20,0.6855543552492543,31.444564475074564,False,T_0p10NL_over_Lp2,N_L,160,T_0p10NL_over_Lp2
rician,42,0,2000,8,500,1.0,1.0,75.0,25.0,200,59218.16598913318,2932340694.2609835,1.6566163754736012e+20,202.1922194999808,2.1367090197945732e+20,0.7753121085401096,22.468789145989042,False,T_0p125NL_over_Lp2,N_L,200,T_0p125NL_over_Lp2
rician,42,1,2000,8,500,1.0,1.0,75.0,25.0,200,69422.66253609085,4026331538.4433804,6.953828227730696e+20,208.42223958612112,8.66511400938388e+20,0.8025085671348411,19.749143286515892,False,T_0p125NL_over_Lp2,N_L,200,T_0p125NL_over_Lp2
rician,42,2,2000,8,500,1.0,1.0,75.0,25.0,200,68888.84875453365,3953900189.0774283,1.0526192689838136e+21,210.22271315839674,1.3191718446545222e+21,0.7979394597066192,20.206054029338084,False,T_0p125NL_over_Lp2,N_L,200,T_0p125NL_over_Lp2
rician,42,3,2000,8,500,1.0,1.0,75.0,25.0,200,70762.59270560998,4176579195.8469105,1.0451007762969142e+21,210.19158170331704,1.1099775611236052e+21,0.9415512645489719,5.844873545102813,False,T_0p125NL_over_Lp2,N_L,200,T_0p125NL_over_Lp2
rician,42,4,2000,8,500,1.0,1.0,75.0,25.0,200,70391.02797251877,4132571635.1591587,9.847373736253374e+20,209.93320420961254,1.2967194272070597e+21,0.7594066634339819,24.05933365660181,False,T_0p125NL_over_Lp2,N_L,200,T_0p125NL_over_Lp2
rician,42,5,2000,8,500,1.0,1.0,75.0,25.0,200,68210.11138003542,3891124777.2868,5.049235123509732e+20,207.0322559459434,7.720657273642214e+20,0.6539903203251192,34.60096796748808,False,T_0p125NL_over_Lp2,N_L,200,T_0p125NL_over_Lp2
