N,L,K,off_pct,sample,seed,sigma,P,heuristic,active_count,u_bf,u_i,u_g,log2_u_g_per_active,u_bf_per_active,elapsed_seconds
1000,6,500,50,0,42,1.0,1.0,S-threshold-Int,500,8183.424768115974,591.3257286306471,6.418409358948794e+18,0.12495384302799586,16.36684953623195,0.790980399993714
1000,6,500,50,0,42,1.0,1.0,S-threshold-Gen,500,13489.48230525719,1212689.954260081,1.1436884115032431e+20,0.13326451190600594,26.97896461051438,0.8474405000160914
1000,6,500,50,0,42,1.0,1.0,Frame-BF,500,13489.48230525719,1212689.954260081,1.1436884115032431e+20,0.13326451190600594,26.97896461051438,0.022091499995440245
1000,6,500,50,0,42,1.0,1.0,Frame-Int,500,5500.525906290596,68.58559025079012,5.841787080296887e+17,0.11803837477858883,11.001051812581192,1.6041682999930345
1000,6,500,50,0,42,1.0,1.0,Frame-Gen,500,13473.047279383052,1107846.2354376093,1.1485289161629295e+20,0.1332766981544285,26.946094558766106,0.06611189999966882
1000,6,500,50,0,42,1.0,1.0,FrameOnly-BF,500,13489.48230525719,1212689.954260081,1.1436884115032431e+20,0.13326451190600594,26.97896461051438,0.018669199984287843
1000,6,500,50,0,42,1.0,1.0,FrameOnly-Int,500,8447.835026012413,316.492239754647,7.776134657267682e+18,0.12550751781980216,16.895670052024826,0.08950040000490844
1000,6,500,50,0,42,1.0,1.0,FrameOnly-Gen,500,13473.047279383052,1107846.2354376093,1.1485289161629295e+20,0.1332766981544285,26.946094558766106,0.07334220001939684
1000,6,500,50,0,42,1.0,1.0,N-H3-Fast,500,5845.208812283463,118.92183771170676,8.530770383000301e+17,0.1191309072901597,11.690417624566926,0.8339071999944281
1000,6,500,50,1,43,1.0,1.0,H1,500,7381.931007181339,471834.1306435857,2.9698748996047273e+18,0.12273021573892572,14.763862014362678,0.018887100013671443
1000,6,500,50,1,43,1.0,1.0,H2,500,6289.622140873456,295.072847051546,1.326883278335919e+18,0.120405494350018,12.579244281746913,0.181694900005823
1000,6,500,50,1,43,1.0,1.0,Coutino,500,10199.216214307746,611527.9427712634,2.169612965011209e+19,0.12846814301524376,20.398432428615493,0.6657608000095934
1000,6,500,50,1,43,1.0,1.0,MISO-EE,405,7410.928366888076,370842.0256912038,3.1562325664338657e+18,0.15173557832584555,18.29858856021747,0.9129316000035033
1000,6,500,50,1,43,1.0,1.0,Pareto-H2,480,7042.2166591660125,215.33759661763906,2.572667747188747e+18,0.12741243928554893,14.67128470659586,0.6210008999914862
1000,6,500,50,1,43,1.0,1.0,S-threshold-BF,500,11282.132323409294,1208911.674443014,3.718774135253684e+19,0.1300229218588958,22.56426464681859,0.07707830000435933
1000,6,500,50,1,43,1.0,1.0,S-threshold-Int,500,6289.622140873456,295.072847051546,1.326883278335919e+18,0.120405494350018,12.579244281746913,0.7624439999926835
1000,6,500,50,1,43,1.0,1.0,S-threshold-Gen,500,11282.132323409294,1208911.674443014,3.718774135253684e+19,0.1300229218588958,22.56426464681859,0.8203586000017822
1000,6,500,50,1,43,1.0,1.0,Frame-BF,500,11282.132323409294,1208911.674443014,3.718774135253684e+19,0.1300229218588958,22.56426464681859,0.01870650000637397
1000,6,500,50,1,43,1.0,1.0,Frame-Int,500,4315.475664134036,64.89991371240467,1.3708976582193338e+17,0.11385579697308658,8.630951328268072,1.659087499981979
1000,6,500,50,1,43,1.0,1.0,Frame-Gen,500,11377.753369352555,1226966.9638543576,3.915534730280033e+19,0.13017168629484874,22.755506738705108,0.06814429999212734
1000,6,500,50,1,43,1.0,1.0,FrameOnly-BF,500,11282.132323409294,1208911.674443014,3.718774135253684e+19,0.1300229218588958,22.56426464681859,0.018053800013149157
1000,6,500,50,1,43,1.0,1.0,FrameOnly-Int,500,6533.620530439574,134.37531793303788,1.663979745032243e+18,0.12105868716040379,13.067241060879148,0.09043609999935143
1000,6,500,50,1,43,1.0,1.0,FrameOnly-Gen,500,11377.753369352555,1226966.9638543576,3.915534730280033e+19,0.13017168629484874,22.755506738705108,0.06603100002394058
1000,6,500,50,1,43,1.0,1.0,N-H3-Fast,500,4247.475851452662,68.32475347816944,1.257131793095439e+17,0.11360582703527859,8.494951702905324,0.8449680999910925
1000,6,500,50,2,44,1.0,1.0,H1,500,6111.439045591264,243222.41856908612,9.977109315465522e+17,0.11958279898949391,12.22287809118253,0.019891600008122623
1000,6,500,50,2,44,1.0,1.0,H2,500,7064.913528355605,406.65130461379886,2.6522451408240435e+18,0.12240383966903799,14.12982705671121,0.18252540001412854
1000,6,500,50,2,44,1.0,1.0,Coutino,500,8814.338031682551,334424.43899854645,9.327969634514344e+18,0.12603253760018163,17.628676063365102,0.6600390000094194
1000,6,500,50,2,44,1.0,1.0,MISO-EE,437,7220.394443020763,231321.52112237923,2.811246564845413e+18,0.1402423700254009,16.522641746042936,0.9066439000016544
1000,6,500,50,2,44,1.0,1.0,Pareto-H2,489,7155.410468682099,349.5630502663553,2.8469743964707226e+18,0.12536632970675998,14.632741244748669,0.598242099978961
1000,6,500,50,2,44,1.0,1.0,S-threshold-BF,500,10141.77155149054,484496.12607389316,2.1336860749808116e+19,0.12841996346752546,20.283543102981078,0.0764404000074137
1000,6,500,50,2,44,1.0,1.0,S-threshold-Int,500,6584.232322641439,349.5824747066945,1.7372244627675223e+18,0.12118297976272895,13.168464645282878,0.7741529000049923
1000,6,500,50,2,44,1.0,1.0,S-threshold-Gen,500,10141.77155149054,484496.12607389316,2.1336860749808116e+19,0.12841996346752546,20.283543102981078,0.8188772000139579
1000,6,500,50,2,44,1.0,1.0,Frame-BF,500,10141.77155149054,484496.12607389316,2.1336860749808116e+19,0.12841996346752546,20.283543102981078,0.019562400004360825
1000,6,500,50,2,44,1.0,1.0,Frame-Int,500,4738.58884998686,69.34566469211131,2.4306542172482266e+17,0.11550824456901783,9.47717769997372,1.6040837000182364
1000,6,500,50,2,44,1.0,1.0,Frame-Gen,500,10133.393158787265,436305.4803839363,2.14257015683672e+19,0.12843195249585462,20.266786317574528,0.07405850000213832
1000,6,500,50,2,44,1.0,1.0,FrameOnly-BF,500,10141.77155149054,484496.12607389316,2.1336860749808116e+19,0.12841996346752546,20.283543102981078,0.018642300012288615
1000,6,500,50,2,44,1.0,1.0,FrameOnly-Int,500,7225.129551611354,290.25395184382796,3.0410226702883016e+18,0.12279852455883741,14.450259103222708,0.09125480000511743
1000,6,500,50,2,44,1.0,1.0,FrameOnly-Gen,500,10133.393158787265,436305.4803839363,2.14257015683672e+19,0.12843195249585462,20.266786317574528,0.08157869998831302
1000,6,500,50,2,44,1.0,1.0,N-H3-Fast,500,4681.374092406081,109.3071567453444,2.2553665275583494e+17,0.1152922790461435,9.362748184812162,0.8405148999881931
1000,6,500,50,3,45,1.0,1.0,H1,500,7986.428657119481,452523.89666960016,4.910473495259149e+18,0.12418113570385456,15.972857314238961,0.018726700014667585
1000,6,500,50,3,45,1.0,1.0,H2,500,8178.297048432715,373.3201864156872,6.422090357964851e+18,0.12495549734341614,16.35659409686543,0.18814270000439137
1000,6,500,50,3,45,1.0,1.0,Coutino,500,10650.282864345807,497374.54364781827,2.8973149912868897e+19,0.12930270068682032,21.300565728691613,0.6958483999769669
1000,6,500,50,3,45,1.0,1.0,MISO-EE,425,8382.045894044428,341489.43586024456,6.843467055252694e+18,0.1472221955770414,19.72246092716336,0.9177684999885969
1000,6,500,50,3,45,1.0,1.0,Pareto-H2,500,8178.297048432715,373.3201864156872,6.422090357964851e+18,0.12495549734341614,16.35659409686543,0.6082486999803223
1000,6,500,50,3,45,1.0,1.0,S-threshold-BF,500,11887.995092760684,692654.8919091411,5.539249070889955e+19,0.1311726484264518,23.77599018552137,0.07615300000179559
1000,6,500,50,3,45,1.0,1.0,S-threshold-Int,500,8178.297048432715,373.3201864156872,6.422090357964851e+18,0.12495549734341614,16.35659409686543,0.7710756000014953
1000,6,500,50,3,45,1.0,1.0,S-threshold-Gen,500,11887.995092760684,692654.8919091411,5.539249070889955e+19,0.1311726484264518,23.77599018552137,0.8206043999816757
1000,6,500,50,3,45,1.0,1.0,Frame-BF,500,11887.995092760684,692654.8919091411,5.539249070889955e+19,0.1311726484264518,23.77599018552137,0.02058989999932237
1000,6,500,50,3,45,1.0,1.0,Frame-Int,500,5928.179004183431,98.14136643987149,9.304461434698204e+17,0.11938140051803922,11.856358008366863,1.600983800017275
