K,sigma,heuristic,K_label,K_mode,K_value,active_pct,off_pct,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log10_u_g_mean,log10_u_g_std,u_g_vs_best_case_mean,u_bf_vs_best_case_mean,u_i_vs_best_case_mean,u_g_vs_best_h12_mean,log2_u_g_per_active_mean,min_channel_eig_mean,geom_channel_eig_mean,max_channel_eig_mean,condition_channel_eig_mean,sigma_over_geom_channel_eig_mean,elapsed_seconds_mean,elapsed_seconds_std,samples,selection_hashes
500,1e-08,H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,9893.066029616382,2189.2544494722342,264.7547242404893,114.81004352954436,47386731387901.94,40506612009754.93,13.530720960093689,0.39064493681679274,0.19206805673890648,0.6468496009859805,0.17850604999047806,0.687164620391789,0.08989616420283306,2276.462823292512,2468.4171421803726,2653.3644590426225,1.162639498334145,4.239206345727514e-12,0.10569708002731204,0.02202987691008894,10,10
500,1e-08,H3-Fast,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,6097.366325043381,1272.6799016453363,44.144625508692116,18.185201211418352,6718439245727.51,5722112170020.372,12.695470436055581,0.36147432083146613,0.027612390003073896,0.39940342248620014,1.0,0.10269894800814017,0.0843468798386899,1423.6769556197924,1521.6675434640283,1638.7571896653644,1.1549965635479587,6.8324712926427146e-12,0.4417912999982946,0.0818300277756359,10,10
500,1e-08,H3-threshold-BF,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605072697.5,116947740590525.02,14.283385888142035,0.24090266134540933,1.0,1.0,5.299372479297363e-05,4.038192230732916,0.0948967617438734,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-12,0.0343139800010249,0.005677062348951117,10,10
500,1e-08,H3-threshold-Gen,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605072697.5,116947740590525.02,14.283385888142035,0.24090266134540933,1.0,1.0,5.299372479297363e-05,4.038192230732916,0.0948967617438734,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-12,0.4370415600016713,0.08607509557716629,10,10
500,1e-08,H3-threshold-Int,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10187.243054014332,2361.1487412937513,223.00242040082813,101.50993602956392,55579501585469.43,56778512919973.586,13.582097139671623,0.3856279363999187,0.21649310804091257,0.6658338355455095,0.20800564112989997,0.8040174143950164,0.0902375001515289,2383.060685017599,2543.318415190969,2721.126119932518,1.1394766633577642,4.109684327549874e-12,0.4192026500008069,0.09323326435844834,10,10
500,1e-08,MISO-EE,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,429.6,32.31855332295815,11136.798616312526,2509.3703524571624,435771.3004382726,231871.1541068838,75483670290674.42,66853125160690.38,13.726599449430319,0.39335743690044045,0.2950848910801262,0.7267468952999291,0.00011462209991985601,1.0541884132635089,0.10649919912795647,2346.1142719793706,2764.539676313973,3231.3462109656552,1.3822219822687003,3.787380552885465e-12,0.4544783000019379,0.09817397936916143,10,10
500,1e-08,Pareto-H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,490.3,10.209472725529627,10674.477915907128,2008.608254123817,188.2411411255598,69.98697955427545,60813091905972.89,49893667420672.34,13.675490193261084,0.31229630395011393,0.25758588162587903,0.7013238401032036,0.24677146483811613,0.9891746216028265,0.09268747124042356,2464.0479327468934,2662.9197075686657,2866.6275276943816,1.161869528692819,3.8659044506946876e-12,0.3285793400136754,0.07804364024888374,10,10
500,1e-07,Coutino,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,13577.902990595685,1819.4708572460286,616518.4126055278,256973.52682728527,142313112134812.06,79828361711523.19,14.097166314537143,0.22951215226039742,0.6571604435151983,0.896327674124269,7.982983240700598e-05,2.68881123901154,0.09365954567712134,2866.8172532023273,3370.8616319481503,3928.622760589465,1.3737768074668766,3.013512225720629e-11,0.34763483999995515,0.08566689718659372,10,10
500,1e-07,H1,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10876.364746301622,2594.847546076466,626361.0653784412,253413.94663672097,69756104231385.21,64642912206647.74,13.673461847226879,0.42036639326902897,0.2656457171921448,0.7084110453407062,7.533856760010612e-05,0.9412407204755058,0.09084451412934683,2189.5999547781494,2689.8636477490036,3256.3476967549022,1.5031189424868292,3.9178703639333086e-11,0.016600939980708062,0.00539243118037086,10,10
500,1e-07,H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,9893.066029616382,2189.2544494722342,264.7547242404893,114.81004352954436,47386731394054.53,40506612013715.99,13.53072096016009,0.39064493680172885,0.19206805674784183,0.6468496009859805,0.17850604999047806,0.6871646203998615,0.08989616420327422,2276.462823292512,2468.4171421803726,2653.3644590426225,1.162639498334145,4.239206345727514e-11,0.11515316998120398,0.034452085533992434,10,10
500,1e-07,H3-Fast,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,6097.366325043381,1272.6799016453363,44.144625508692116,18.185201211418352,6718439247152.123,5722112170925.309,12.6954704361626,0.3614743208092635,0.027612390006837313,0.39940342248620014,1.0,0.10269894801881371,0.08434687983940091,1423.6769556197924,1521.6675434640283,1638.7571896653644,1.1549965635479587,6.832471292642715e-11,0.4467069700243883,0.09326983513648295,10,10
500,1e-07,H3-threshold-BF,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605092920.66,116947740598655.78,14.283385888184828,0.2409026613394069,1.0,1.0,5.299372479297363e-05,4.038192230543741,0.0948967617441577,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-11,0.035579230019357054,0.005871131972035282,10,10
500,1e-07,H3-threshold-Gen,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605092920.66,116947740598655.78,14.283385888184828,0.2409026613394069,1.0,1.0,5.299372479297363e-05,4.038192230543741,0.0948967617441577,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-11,0.4468806699849665,0.10300575922080675,10,10
500,1e-07,H3-threshold-Int,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10187.243054014332,2361.1487412937513,223.00242040082813,101.50993602956392,55579501592307.05,56778512925062.336,13.582097139735959,0.38562793638632037,0.21649310805007235,0.6658338355455095,0.20800564112989997,0.8040174143979201,0.09023750015195633,2383.060685017599,2543.318415190969,2721.126119932518,1.1394766633577642,4.1096843275498745e-11,0.42776899999007584,0.0846282000001862,10,10
500,1e-07,MISO-EE,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,429.6,32.31855332295815,11136.798616312526,2509.3703524571624,435771.3004382726,231871.1541068838,75483670299411.44,66853125166508.44,13.726599449489964,0.3933574368870028,0.2950848910899426,0.7267468952999291,0.00011462209991985601,1.0541884132613384,0.10649919912842705,2346.1142719793706,2764.539676313973,3231.3462109656552,1.3822219822687003,3.7873805528854655e-11,0.4724155900068581,0.10937553221131088,10,10
500,1e-07,Pareto-H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,490.3,10.209472725529627,10674.477915907128,2008.608254123817,188.2411411255598,69.98697955427545,60813091913463.06,49893667425180.54,13.675490193321647,0.31229630393974694,0.25758588163557816,0.7013238401032036,0.24677146483811613,0.9891746215987952,0.09268747124083421,2464.0479327468934,2662.9197075686657,2866.6275276943816,1.161869528692819,3.865904450694687e-11,0.3471590899862349,0.08109465406885243,10,10
500,1e-06,Coutino,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,13577.902990595685,1819.4708572460286,616518.4126055278,256973.52682728527,142313112280571.56,79828361771889.88,14.097166315011663,0.22951215219886661,0.6571604435830178,0.896327674124269,7.982983240700598e-05,2.68881123800472,0.09365954568027399,2866.8172532023273,3370.8616319481503,3928.622760589465,1.3737768074668766,3.0135122257206296e-10,0.3229538000072353,0.06725630468022478,10,10
500,1e-06,H1,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10876.364746301622,2594.847546076466,626361.0653784412,253413.94663672097,69756104313470.67,64642912264092.055,13.673461847846676,0.4203663931188853,0.2656457172897133,0.7084110453407062,7.533856760010612e-05,0.9412407204988549,0.09084451413346467,2189.5999547781494,2689.8636477490036,3256.3476967549022,1.5031189424868292,3.917870363933309e-10,0.015164239972364157,0.00454460029634967,10,10
500,1e-06,H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,9893.066029616382,2189.2544494722342,264.7547242404893,114.81004352954436,47386731455578.766,40506612053321.98,13.530720960824098,0.3906449366510783,0.19206805683719347,0.6468496009859805,0.17850604999047806,0.6871646204805713,0.0898961642076858,2276.462823292512,2468.4171421803726,2653.3644590426225,1.162639498334145,4.239206345727514e-10,0.1061491199885495,0.026730062818640633,10,10
