sigma,heuristic,selection_hash,active_count,turned_off_fraction,u_bf,u_i,u_g,log10_u_g,log2_u_g_per_active,min_channel_eig,geom_channel_eig,max_channel_eig,condition_channel_eig,sigma_over_min_channel_eig,sigma_over_geom_channel_eig,sigma_over_max_channel_eig,elapsed_seconds,sample,seed,N,L,K,K_mode,K_value,active_pct,off_pct,K_label,P,best_u_g_case,best_u_bf_case,best_u_i_case,u_g_vs_best_case,u_bf_vs_best_case,u_i_vs_best_case,best_h12_u_g,u_g_vs_best_h12,h2_u_bf,h2_u_i,bf_vs_h2,interference_score_vs_h2
1.0,H1,c86dc1eef030,750,0.25,19197.594381544033,1900033.1902977377,509551260543476.25,14.707187880297996,0.06514162748846511,3893.5239490151994,4750.1202646522925,5807.121079901297,1.4914820496661152,0.00025683674046821596,0.00021052098563512892,0.00017220236778961684,0.0315148999216035,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2052912106834445.2,27162.69290685121,112.01571277529001,0.24820899971660035,0.7067632965324233,5.8954608449622397e-05,509551260543476.25,1.0,16671.61795041635,191.90655741095543,1.1515135746656553,0.00010100168691310251
1.0,H2,eaf72ba6d7fe,750,0.25,16671.61795041635,191.90655741095543,300861570347822.1,14.478366717976881,0.06412812422470604,3923.7150990554765,4163.775306032079,4392.409750313034,1.119451754122103,0.0002548605020381632,0.00024016665802097814,0.0002276654631159429,0.18131060001906008,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2052912106834445.2,27162.69290685121,112.01571277529001,0.14655355645583162,0.6137689664124314,0.5836992455417541,509551260543476.25,0.5904441685159011,16671.61795041635,191.90655741095543,1.0,1.0
1.0,Coutino,6d86815794f4,750,0.25,23509.52278531593,2873808.5446707606,1144758795224787.0,15.058713988913357,0.06669862009685949,4842.737586856316,5815.714149884696,7159.220551769764,1.4783416246217056,0.00020649477326917365,0.00017194792835886308,0.00013968001024256745,0.4315241000149399,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2052912106834445.2,27162.69290685121,112.01571277529001,0.5576267933798613,0.8655078075630033,3.8978140343765714e-05,509551260543476.25,2.246601831587684,16671.61795041635,191.90655741095543,1.4101524432263526,6.677778092309949e-05
1.0,MISO-EE,f717ccfe41a2,639,0.361,19501.095273228966,2257708.5455566198,538929405375467.7,14.731531880467243,0.07658386484264945,3939.6157923991436,4817.167544487066,5987.253859036557,1.519755776841996,0.00025383185891612566,0.00020759086968947856,0.00016702147988776207,0.6550328999292105,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2052912106834445.2,27162.69290685121,112.01571277529001,0.2625194734744331,0.7179367428739082,4.9614779992637823e-05,509551260543476.25,1.0576549350513966,16671.61795041635,191.90655741095543,1.169718219984879,8.50005895529099e-05
1.0,Pareto-H2,eaf72ba6d7fe,750,0.25,16671.61795041635,191.90655741095543,300861570347822.1,14.478366717976881,0.06412812422470604,3923.7150990554765,4163.775306032079,4392.409750313034,1.119451754122103,0.0002548605020381632,0.00024016665802097814,0.0002276654631159429,0.5371394000248984,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2052912106834445.2,27162.69290685121,112.01571277529001,0.14655355645583162,0.6137689664124314,0.5836992455417541,509551260543476.25,0.5904441685159011,16671.61795041635,191.90655741095543,1.0,1.0
1.0,H3-threshold-BF,7f53f4ee3c53,750,0.25,27162.69290685121,3106639.409147769,2052912106834445.2,15.312370355929811,0.0678221243795782,5797.373241248682,6730.19281422814,8215.250898211452,1.417064342133333,0.00017249191286925188,0.00014858415317402555,0.00012172482768818547,0.025940799969248474,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2052912106834445.2,27162.69290685121,112.01571277529001,1.0,1.0,3.605687626489577e-05,509551260543476.25,4.02886277750516,16671.61795041635,191.90655741095543,1.6292775534826158,6.177303900989279e-05
1.0,H3-threshold-Int,eaf72ba6d7fe,750,0.25,16671.61795041635,191.90655741095543,300861570347822.1,14.478366717976881,0.06412812422470604,3923.7150990554765,4163.775306032079,4392.409750313034,1.119451754122103,0.0002548605020381632,0.00024016665802097814,0.0002276654631159429,0.292912199976854,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2052912106834445.2,27162.69290685121,112.01571277529001,0.14655355645583162,0.6137689664124314,0.5836992455417541,509551260543476.25,0.5904441685159011,16671.61795041635,191.90655741095543,1.0,1.0
1.0,H3-threshold-Gen,7f53f4ee3c53,750,0.25,27162.69290685121,3106639.409147769,2052912106834445.2,15.312370355929811,0.0678221243795782,5797.373241248682,6730.19281422814,8215.250898211452,1.417064342133333,0.00017249191286925188,0.00014858415317402555,0.00012172482768818547,0.328095700009726,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2052912106834445.2,27162.69290685121,112.01571277529001,1.0,1.0,3.605687626489577e-05,509551260543476.25,4.02886277750516,16671.61795041635,191.90655741095543,1.6292775534826158,6.177303900989279e-05
1.0,H3-Fast,34ca49b1d4f0,750,0.25,15498.911398770337,112.01571277529001,225476129029395.4,14.35310057025138,0.06357329071074917,3823.7661446168086,3874.0304779842504,4002.597012465759,1.0467682544082129,0.00026152226945359207,0.0002581290998310172,0.0002498377920349169,0.5908403000794351,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2052912106834445.2,27162.69290685121,112.01571277529001,0.10983233440864434,0.5705955389592858,1.0,509551260543476.25,0.4424994038654865,16671.61795041635,191.90655741095543,0.9296585037436799,1.7132110545592034
10.0,H1,c86dc1eef030,750,0.25,19197.594381544033,1900033.1902977377,513463299852253.5,14.710509407541375,0.0651563393213554,3893.5239490151994,4750.1202646522925,5807.121079901297,1.4914820496661152,0.0025683674046821595,0.002105209856351289,0.0017220236778961683,0.03317910002078861,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2064008778876188.0,27162.69290685121,112.01571277529001,0.24876992050965216,0.7067632965324233,5.8954608449622397e-05,513463299852253.5,1.0,16671.61795041635,191.90655741095543,1.1515135746656553,0.00010100168691310251
10.0,H2,eaf72ba6d7fe,750,0.25,16671.61795041635,191.90655741095543,303473234423054.3,14.482120393417974,0.06414475014458185,3923.7150990554765,4163.775306032079,4392.409750313034,1.119451754122103,0.002548605020381632,0.0024016665802097815,0.002276654631159429,0.18858989991713315,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2064008778876188.0,27162.69290685121,112.01571277529001,0.14703098045362456,0.6137689664124314,0.5836992455417541,513463299852253.5,0.5910319871164642,16671.61795041635,191.90655741095543,1.0,1.0
10.0,Coutino,6d86815794f4,750,0.25,23509.52278531593,2873808.5446707606,1151934021891786.0,15.061427605173218,0.06671063934764933,4842.737586856316,5815.714149884696,7159.220551769764,1.4783416246217056,0.0020649477326917364,0.0017194792835886308,0.0013968001024256744,0.4428623999701813,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2064008778876188.0,27162.69290685121,112.01571277529001,0.558105194939622,0.8655078075630033,3.8978140343765714e-05,513463299852253.5,2.243459312911457,16671.61795041635,191.90655741095543,1.4101524432263526,6.677778092309949e-05
10.0,MISO-EE,f717ccfe41a2,639,0.361,19501.095273228966,2257708.5455566198,543015493822820.75,14.734812221459485,0.07660091813983713,3939.6157923991436,4817.167544487066,5987.253859036557,1.519755776841996,0.0025383185891612566,0.002075908696894786,0.0016702147988776205,0.6683041000505909,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2064008778876188.0,27162.69290685121,112.01571277529001,0.26308778304638897,0.7179367428739082,4.9614779992637823e-05,513463299852253.5,1.057554637262431,16671.61795041635,191.90655741095543,1.169718219984879,8.50005895529099e-05
10.0,Pareto-H2,eaf72ba6d7fe,750,0.25,16671.61795041635,191.90655741095543,303473234423054.3,14.482120393417974,0.06414475014458185,3923.7150990554765,4163.775306032079,4392.409750313034,1.119451754122103,0.002548605020381632,0.0024016665802097815,0.002276654631159429,0.5384829000104219,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2064008778876188.0,27162.69290685121,112.01571277529001,0.14703098045362456,0.6137689664124314,0.5836992455417541,513463299852253.5,0.5910319871164642,16671.61795041635,191.90655741095543,1.0,1.0
10.0,H3-threshold-BF,7f53f4ee3c53,750,0.25,27162.69290685121,3106639.409147769,2064008778876188.0,15.31471154014964,0.06783249404042506,5797.373241248682,6730.19281422814,8215.250898211452,1.417064342133333,0.001724919128692519,0.0014858415317402555,0.0012172482768818547,0.02826759999152273,1,43,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,2064008778876188.0,27162.69290685121,112.01571277529001,1.0,1.0,3.605687626489577e-05,513463299852253.5,4.0197785887912465,16671.61795041635,191.90655741095543,1.6292775534826158,6.177303900989279e-05
