data_profile,off_pct,K,T,threshold_source,samples,winner_rate,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,u_g_vs_best_T_mean,u_g_vs_best_T_p05,u_g_gap_to_best_pct_mean,elapsed_seconds_mean,candidate_kind_mode
nakagami,25.0,750,159,mean_plus_1std,7,0.0,568344593.7668164,420800378.9046322,590192035.9104669,685423374.4316658,87.47693948114008,0.8246324513232601,0.8059564230755047,17.536754867673984,0.01854252428581406,power_window
nakagami,25.0,750,158,mean_plus_1std,14,0.0,502002863.6497027,377497790.80444264,496980075.9080206,643926340.1761354,86.92985337232598,0.8233261020196857,0.7882701002265302,17.66738979803143,0.018611789642558767,power_window
nakagami,25.0,750,11,gap_top3+gap_top2+gap_top1,15,0.0,534486565.60675925,356629074.03415185,508594087.340691,736956006.6912395,87.1186459214951,0.8162546655352186,0.7377933467680224,18.374533446478143,0.04054798566673223,power_window
nakagami,25.0,750,162,mean_plus_1std,7,0.0,567117118.5996399,422220479.9036136,519116059.88230383,784196546.6262472,87.42481662464327,0.8162145043059233,0.7818654451435204,18.37854956940767,0.017398098713913766,power_window
nakagami,25.0,750,160,mean_plus_1std,14,0.0,552613712.8025874,405452621.59887487,558539430.74428,720182709.0918891,87.32946070703144,0.812834451461219,0.7865032429061554,18.716554853878105,0.017610196356794665,power_window
nakagami,25.0,750,161,mean_plus_1std,10,0.0,531249531.41349125,380794434.77305496,529430357.02927625,744885242.8573693,87.13656983132391,0.8097800787347564,0.7775506636720502,19.02199212652436,0.017335921899939422,power_window
nakagami,25.0,750,9,gap_top2+gap_top3+gap_top1,33,0.0,499342117.82401717,322905931.1627971,516910758.7657215,644400408.5153749,86.88600430066433,0.809480016257133,0.6886996073641727,19.0519983742867,0.040950747575565896,power_window
nakagami,25.0,750,10,legacy+quantile_0.99+gap_top2+gap_top3+gap_top1,400,0.0,486802720.1238654,299965182.175938,481450889.8415425,683089543.407263,86.73748065352486,0.8030128521050429,0.7119315244715775,19.69871478949571,0.04138763785241281,power_window
nakagami,25.0,750,163,mean_plus_1std,1,0.0,421924197.9284607,421924197.9284607,421924197.9284607,421924197.9284607,86.25234433477272,0.8011688938551615,0.8011688938551615,19.883110614483847,0.01690156000040588,power_window
nakagami,25.0,750,164,mean_plus_1std,3,0.0,564297147.0360368,525643645.53240764,549813059.8937844,613089509.5392427,87.5038596271105,0.794626933516687,0.7645723554742572,20.5373066483313,0.017332964000767486,power_window
nakagami,25.0,750,165,mean_plus_1std,4,0.0,465060178.8709544,428210776.9017345,471875905.3051774,492367563.8322622,86.66737842421071,0.7907202368540226,0.7668079824153661,20.92797631459774,0.016788054498647398,power_window
nakagami,25.0,750,166,mean_plus_1std,1,0.0,583694227.103856,583694227.103856,583694227.103856,583694227.103856,87.66185398039751,0.7885872840288624,0.7885872840288624,21.141271597113764,0.016511223999259528,power_window
