data_profile,generator_seed,sample,off_pct,K,sigma,P,h3_fixed_active_count,h3_fixed_u_bf,h3_fixed_u_i,h3_fixed_u_g,best_threshold_u_g,T50_u_g,T75_u_g,T100_u_g,h3_fixed_vs_best_T,T50__vs_best_T,T50__vs_h3_fixed,T75__vs_best_T,T75__vs_h3_fixed,T100__vs_best_T,T100__vs_h3_fixed
nakagami,42,181,50.0,500,1.0,1.0,500,25580.290508554535,2787738.249827862,162107952.75514188,232692868.415002,229812102.7809443,231840189.15229496,226136345.13754696,0.6966605975479504,0.987619880000276,1.4176485414510602,0.9963356020813398,1.4301592562980612,0.9718232736477268,1.394973789343436
nakagami,42,181,25.0,750,1.0,1.0,750,49199.25163229302,9770871.453016758,600097698.8521894,655589606.0564799,645451166.995915,,635647963.1918869,0.9153557245391871,0.9845353877381463,1.0755768072940015,,,0.9695821247311309,1.0592407943034854
nakagami,42,182,50.0,500,1.0,1.0,500,23503.491190875066,456227.75415843725,137842912.94262618,200871477.59483287,189176410.08964512,200871477.59483287,197045003.77380824,0.6862244186835812,0.9417783567621419,1.372405777353133,1.0,1.457249221644357,0.9809506363629046,1.4294895513113794
nakagami,42,182,25.0,750,1.0,1.0,750,45178.59119396354,7583903.269633293,506469280.4027721,552744938.2883751,522113245.36179554,552744938.2883751,538049666.2436465,0.916280268384004,0.9445825898986367,1.0308882800287167,1.0,1.0913691307176658,0.9734140088369984,1.0623540006528331
nakagami,42,183,50.0,500,1.0,1.0,500,26822.11315897836,2021149.707400024,178839349.7229311,250953837.9598449,242331616.5021405,249991808.50900605,247661463.90704623,0.7126384325373305,0.9656422012598028,1.3550240306597823,0.9961665083161917,1.3978568413288728,0.9868805590718821,1.384826461797913
nakagami,42,183,25.0,750,1.0,1.0,750,50933.42545140098,3900617.296387911,646583586.4145879,693873324.7071984,666641728.7145493,,681945842.9648916,0.9318467267601533,0.9607542255581877,1.031021731329722,,,0.9828102892594408,1.054690928277956
nakagami,42,184,50.0,500,1.0,1.0,500,27545.01202920793,184628.95527362823,189615878.1757299,276894457.7500433,269615585.1936645,276568227.39770424,269078068.16678447,0.6847947760185903,0.9737124656971302,1.4219040503759577,0.9988218241889351,1.4585710334943032,0.9717712313681816,1.419069282359421
nakagami,42,184,25.0,750,1.0,1.0,750,53423.17513833163,781114.1122305393,712590708.394484,782599939.451459,760838900.8313997,,759005930.8556427,0.9105427594256575,0.9721939173221607,1.0677081413896374,,,0.9698517628146587,1.0651358794247197
nakagami,42,185,50.0,500,1.0,1.0,500,22846.917245451725,935876.3709364533,129996107.91848335,183682929.5703068,180257048.7365761,178073908.869558,173901190.73716438,0.7077201361203562,0.9813489427583448,1.386634197153117,0.9694635711991849,1.3698403107670178,0.9467466091921277,1.3377415179707732
nakagami,42,185,25.0,750,1.0,1.0,750,43058.9369643745,1299432.8725841045,462347564.1778249,503485340.57093096,494998950.65048736,,476724778.6865537,0.9182939937308651,0.9831447129904112,1.0706208683736123,,,0.9468493723093667,1.031096118207728
nakagami,42,186,50.0,500,1.0,1.0,500,25988.098017072414,3383518.7631545067,167160998.4642164,256584894.22879392,252683135.2917662,244029809.59927616,241312002.4197836,0.6514841762865463,0.9847934971045156,1.511615374478977,0.9510684965798395,1.4598489590352308,0.9404762628177493,1.44359033887585
nakagami,42,186,25.0,750,1.0,1.0,750,49575.0550084633,4529827.737628937,610932921.3058385,699925380.2519531,686944281.1014808,,655714611.487879,0.8728543621120298,0.9814535956021491,1.1244185034801724,,,0.9368350255449238,1.07330050259253
nakagami,42,187,50.0,500,1.0,1.0,500,21163.366979183484,472345.4497228265,111325205.6638581,158369041.49822912,154399049.45569423,158369041.49822912,153253902.81636542,0.7029480295560351,0.9749320195097646,1.3869190587610125,1.0,1.4225802732978365,0.9677011451640257,1.376632559558069
