data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,seed_rule,max_swaps,seed_T,fraction_exact_u_g,gap_to_exact_pct,is_exact_best,overlap_count,overlap_fraction,swap_distance_to_exact,rank_gap_mean,rank_gap_max,exact_max_row_power,local_max_row_power,local_exact_max_power_ratio,exact_scaled_trace,local_scaled_trace,local_exact_scaled_trace_ratio,exact_eig_min,local_eig_min,local_exact_eig_min_ratio,exact_eig_balance,local_eig_balance,local_exact_eig_balance_delta,u_g,exact_u_g,subset,exact_subset,swap_history,swaps_applied
gaussian,42,71,20,2,9,55.0,45.0,1.0,1.0,best_tested_T,2,0,0.9635989460549678,3.6401053945032236,False,7,0.7777777777777778,2,2.2222222222222223,3.0,0.6033816965030285,0.9999999999999998,1.6573257123900518,13.962430662561989,17.072245500224646,1.2227273254076831,4.517151330205716,2.585729731374808,0.5724248630069807,0.47824433468383637,0.17849217663055103,-0.29975215805328537,55.53046002776967,57.62818676287964,0 2 3 7 8 12 14 16 19,0 1 2 6 7 8 14 16 19,,0
gaussian,42,22,16,2,6,65.0,35.0,1.0,1.0,best_tested_T,2,2,0.965437812335831,3.4562187664168964,False,4,0.6666666666666666,2,1.8333333333333333,2.0,0.9999999999999998,0.6290613585021725,0.6290613585021726,8.725766161415617,8.34993403601483,0.9569284669737455,1.45650583544226,1.4974913569318795,1.0281396205166418,0.20036506743858196,0.21853394870459322,0.018168881266011266,19.61140772181268,20.31348624554471,1 2 5 8 13 14,1 2 5 6 8 9,,0
gaussian,42,22,16,2,6,60.0,40.0,1.0,1.0,best_tested_T,2,2,0.965437812335831,3.4562187664168964,False,4,0.6666666666666666,2,1.8333333333333333,2.0,0.9999999999999998,0.6290613585021725,0.6290613585021726,8.725766161415617,8.34993403601483,0.9569284669737455,1.45650583544226,1.4974913569318795,1.0281396205166418,0.20036506743858196,0.21853394870459322,0.018168881266011266,19.61140772181268,20.31348624554471,1 2 5 8 13 14,1 2 5 6 8 9,,0
gaussian,42,16,16,2,5,70.0,30.0,1.0,1.0,best_tested_T,2,3,0.9666378080582804,3.336219194171963,False,3,0.6,2,1.8,2.0,0.7503264171796413,0.6442608964840227,0.8586408284886168,7.970392047743991,6.519136416788708,0.8179191660508018,1.3455067137290937,2.334171887140866,1.7347902194197684,0.20309886826579576,0.5577518926635401,0.3546530243977443,17.287562970574395,17.88421974234645,0 5 8 12 13,3 5 8 11 12,,0
gaussian,42,99,20,2,5,75.0,25.0,1.0,1.0,best_tested_T,2,3,0.9684428566987076,3.1557143301292445,False,2,0.4,3,2.8,3.0,1.0000000000000002,0.4796921869768419,0.4796921869768418,6.000798127602019,5.653072323635139,0.9420534074680104,1.5915517397562757,1.7938619952547696,1.1271150980799876,0.36095776914246597,0.4648261801288287,0.10386841098636274,13.575963063411363,14.01834188719199,0 9 10 11 16,8 10 11 17 19,5>9@13.5759630634,1
gaussian,42,61,20,2,9,55.0,45.0,1.0,1.0,best_tested_T,2,4,0.9704427824891178,2.955721751088225,False,5,0.5555555555555556,4,3.2222222222222223,4.0,1.0000000000000002,0.5334494380753517,0.5334494380753516,16.051548458844426,15.738219658960467,0.9804798396436754,5.075352374173551,5.031492958142439,0.9913583505542797,0.4623962923969336,0.4699375540946624,0.0075412616977288405,70.60903965888204,72.75961131657324,1 3 6 9 13 15 17 18 19,0 3 5 6 8 9 12 15 17,,0
gaussian,42,73,16,2,7,55.0,45.0,1.0,1.0,best_tested_T,2,2,0.9737465915575946,2.6253408442405424,False,5,0.7142857142857143,2,1.8571428571428572,2.0,0.9999999999999998,0.3754475092548115,0.37544750925481163,6.771764118821108,6.2382349541858435,0.9212126773358216,0.6808439840914762,0.8036681387179226,1.1803998529712267,0.11178015292129553,0.14788080927269381,0.03610065635139828,11.605823151511135,11.918730450133422,1 2 5 7 8 12 14,1 5 6 8 10 12 14,,0
gaussian,42,30,20,2,5,75.0,25.0,1.0,1.0,best_tested_T,2,2,0.9746174413478137,2.5382558652186304,False,3,0.6,2,1.8,2.0,1.0000000000000002,0.6714364588440009,0.6714364588440008,8.195390581005183,8.156709572435386,0.9952801506911153,0.9490739940373341,0.8963786860783254,0.9444771342486751,0.13097329969604116,0.12346251157267735,-0.00751078812336381,15.664715432842005,16.072681206257734,2 5 7 12 19,0 2 12 15 19,,0
gaussian,42,12,16,2,7,55.0,45.0,1.0,1.0,best_tested_T,2,2,0.97537557078552,2.462442921448005,False,5,0.7142857142857143,2,1.5714285714285714,2.0,0.9999999999999998,0.697375306587948,0.6973753065879481,12.963810643309795,13.257056114938258,1.0226203143270838,2.466827136403229,2.2333184203210585,0.9053404623954968,0.23500343072656657,0.20259175990839925,-0.032411670818167315,38.876572569114444,39.85805440852404,0 4 6 7 10 12 15,0 6 10 11 12 13 15,,0
gaussian,42,95,16,2,8,50.0,50.0,1.0,1.0,best_tested_T,2,3,0.9767542971419857,2.3245702858014305,False,6,0.75,2,1.625,2.0,0.6750684506229857,0.5486765402276432,0.812771711848329,14.480270074676667,15.045152252568391,1.0390104725242382,5.26259675665559,4.339400160884814,0.8245739435378149,0.5709246330488752,0.40533351825470904,-0.16559111479416616,62.501694601613075,63.98916778200519,0 1 3 6 10 11 12 15,0 3 6 7 8 10 12 15,,0
gaussian,42,16,16,2,6,60.0,40.0,1.0,1.0,best_tested_T,2,2,0.9816994366778242,1.8300563322175778,False,4,0.6666666666666666,2,0.8333333333333334,1.0,0.7503264171796413,0.7025643914164127,0.9363450030951082,9.637725225647134,9.61434788166428,0.9975743919404712,2.698651046459628,2.5943071510086106,0.961334795179278,0.3889064991629203,0.3695572790168561,-0.019349220146064217,28.826489749576,29.363865020772472,0 5 8 11 12 13,3 5 6 8 11 12,,0
