data_profile,N,L,K,active_pct,seed_rule,max_swaps,cases,seed_T_mean,seed_T_p50,u_g_mean,u_g_p05,u_g_p50,u_g_p95,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate,near_99_rate,swaps_applied_mean,add_candidate_count_mean,evaluated_swap_count_mean,elapsed_seconds_mean,elapsed_seconds_p95
gaussian,8,2,4,50.0,T_0p025N,2,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,17.44,0.0006103899201843888,0.000915974733652547
gaussian,8,2,4,50.0,T_0p05N,0,100,0.0,0.0,9.807390436306354,4.511038549387773,9.232939135958322,16.698248796099207,0.9968791344575573,0.9810791727720185,1.0,1.0000000000000002,0.3120865542442762,0.88,0.93,0.0,4.0,0.0,0.0001234744570683688,0.0001941467111464589
gaussian,8,2,4,50.0,T_0p05N,1,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,16.0,0.0005643651878926903,0.000700896664056927
gaussian,8,2,4,50.0,T_0p05N,2,100,0.0,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.12,4.0,17.44,0.0006024116987828165,0.0008776229515206069
gaussian,8,2,4,50.0,best_tested_T,0,100,0.02,0.0,9.814853048610857,4.511038549387773,9.232939135958322,16.698248796099207,0.9980228418559477,0.9841627049943069,1.0,1.0000000000000002,0.1977158144052331,0.9,0.94,0.0,4.0,0.0,0.00015120246447622776,0.0002700972952879965
gaussian,8,2,4,50.0,best_tested_T,1,100,0.02,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.1,4.0,16.0,0.0005661691259592771,0.0007327885541599243
gaussian,8,2,4,50.0,best_tested_T,2,100,0.02,0.0,9.83795892208005,4.511038549387773,9.232939135958322,16.73133814123962,1.0,0.9999999999999999,1.0,1.0000000000000002,-9.992007221626409e-16,1.0,1.0,0.1,4.0,17.2,0.0006044509913772345,0.0008703742758370934
gaussian,12,2,3,25.0,T_0,0,100,0.0,0.0,6.275641215617509,3.7930035061168224,6.319204754451636,8.77429782239763,0.9933071835745482,0.9404660260840075,1.0,1.0,0.6692816425451834,0.85,0.89,0.0,8.0,0.0,0.00012400236912071705,0.00019953065784648059
gaussian,12,2,3,25.0,T_0,1,100,0.0,0.0,6.312211339343639,3.8236395602849886,6.381346792216769,8.78634752459727,1.0,0.9999999999999996,1.0,1.0000000000000002,2.4424906541753444e-15,1.0,1.0,0.15,8.0,24.0,0.0007761409040540456,0.0009473969519603997
gaussian,12,2,3,25.0,T_0,2,100,0.0,0.0,6.312211339343639,3.8236395602849886,6.381346792216769,8.78634752459727,1.0,0.9999999999999996,1.0,1.0000000000000002,2.4424906541753444e-15,1.0,1.0,0.15,8.0,27.15,0.0008671139122452587,0.0013401879637967794
gaussian,12,2,3,25.0,T_0p025N,0,100,0.0,0.0,6.275641215617509,3.7930035061168224,6.319204754451636,8.77429782239763,0.9933071835745482,0.9404660260840075,1.0,1.0,0.6692816425451834,0.85,0.89,0.0,8.0,0.0,0.0001272302179131657,0.00020378385670483112
gaussian,12,2,3,25.0,T_0p025N,1,100,0.0,0.0,6.312211339343639,3.8236395602849886,6.381346792216769,8.78634752459727,1.0,0.9999999999999996,1.0,1.0000000000000002,2.4424906541753444e-15,1.0,1.0,0.15,8.0,24.0,0.0007625813083723187,0.0009065324440598487
gaussian,12,2,3,25.0,T_0p025N,2,100,0.0,0.0,6.312211339343639,3.8236395602849886,6.381346792216769,8.78634752459727,1.0,0.9999999999999996,1.0,1.0000000000000002,2.4424906541753444e-15,1.0,1.0,0.15,8.0,27.15,0.0008601637755054981,0.001322753430576995
gaussian,12,2,3,25.0,T_0p05N,0,100,1.0,1.0,5.363797728832208,3.3105700520447954,5.433054502566121,7.482759751647201,0.8531846434836862,0.7042729131188434,0.8640435951158569,0.9906316731530469,14.68153565163138,0.05,0.06,0.0,9.0,0.0,0.00012468965258449316,0.00019609199371188878
gaussian,12,2,3,25.0,T_0p05N,1,100,1.0,1.0,6.3113555475787795,3.8236395602849877,6.381346792216769,8.78634752459727,0.9998029873665427,0.9999999999999996,1.0,1.0000000000000002,0.019701263345725195,0.97,0.99,0.95,9.0,27.0,0.0008378319209441543,0.000978243548888713
gaussian,12,2,3,25.0,T_0p05N,2,100,1.0,1.0,6.312211339343639,3.8236395602849877,6.381346792216769,8.78634752459727,1.0,0.9999999999999996,1.0,1.0000000000000002,1.5543122344752192e-15,1.0,1.0,0.98,9.0,49.8,0.0014752628293354065,0.0018057662993669508
gaussian,12,2,3,25.0,best_tested_T,0,100,0.06,0.0,6.29226350350902,3.7930035061168224,6.381346792216769,8.77429782239763,0.9965369695941113,0.9758672015079008,1.0,1.0000000000000002,0.3463030405888685,0.9,0.94,0.0,8.06,0.0,0.0001552301028277725,0.0002947357774246484
gaussian,12,2,3,25.0,best_tested_T,1,100,0.06,0.0,6.312211339343639,3.8236395602849886,6.381346792216769,8.78634752459727,1.0,0.9999999999999996,1.0,1.0000000000000002,2.1094237467877974e-15,1.0,1.0,0.1,8.06,24.18,0.0007773518201429397,0.0009853605122771114
gaussian,12,2,3,25.0,best_tested_T,2,100,0.06,0.0,6.312211339343639,3.8236395602849886,6.381346792216769,8.78634752459727,1.0,0.9999999999999996,1.0,1.0000000000000002,2.1094237467877974e-15,1.0,1.0,0.1,8.06,26.31,0.0008455084345769138,0.0013296218879986555
gaussian,12,2,4,30.0,T_0,0,100,0.0,0.0,10.444198915432665,4.809309718346535,10.57704933531732,16.7711423927844,0.9793215452360832,0.8791918073710492,1.0,1.0000000000000002,2.0678454763916894,0.69,0.72,0.0,8.0,0.0,0.0001347328699193895,0.0002218260895460844
