data_profile,N,L,K,off_pct,active_pct,formula,formula_family,cases,T_min,T_p50,T_max,outside_dense_rate,u_g_mean,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate
gaussian,16,2,4,75.0,25.0,T_0p05NL_over_Lp2,N_L,100,0,0.0,0,0.0,11.186978913418159,0.9811964081981647,0.9066750529985022,1.0,1.0000000000000004,1.8803591801835264,0.67
gaussian,16,2,4,75.0,25.0,T_0p075N,N,100,1,1.0,1,0.0,9.430229152352402,0.8393289989660286,0.674783488846381,0.83749497758192,1.0,16.067100103397134,0.14
gaussian,16,2,4,75.0,25.0,T_0p075NL_over_Lp2,N_L,100,1,1.0,1,0.0,9.430229152352402,0.8393289989660286,0.674783488846381,0.83749497758192,1.0,16.067100103397134,0.14
gaussian,16,2,4,75.0,25.0,T_0p10K,K,100,0,0.0,0,0.0,11.186978913418159,0.9811964081981647,0.9066750529985022,1.0,1.0000000000000004,1.8803591801835264,0.67
gaussian,16,2,4,75.0,25.0,T_0p10N,N,100,2,2.0,2,0.0,8.223372079199242,0.7399772022519653,0.5163703604303426,0.7334820416534471,0.9446958732533347,26.002279774803473,0.01
gaussian,16,2,4,75.0,25.0,T_0p10NL_over_Lp2,N_L,100,1,1.0,1,0.0,9.430229152352402,0.8393289989660286,0.674783488846381,0.83749497758192,1.0,16.067100103397134,0.14
gaussian,16,2,4,75.0,25.0,T_0p125NL_over_Lp2,N_L,100,1,1.0,1,0.0,9.430229152352402,0.8393289989660286,0.674783488846381,0.83749497758192,1.0,16.067100103397134,0.14
gaussian,16,2,4,75.0,25.0,T_0p15K,K,100,1,1.0,1,0.0,9.430229152352402,0.8393289989660286,0.674783488846381,0.83749497758192,1.0,16.067100103397134,0.14
gaussian,16,2,4,75.0,25.0,T_0p15NL_over_Lp2,N_L,100,1,1.0,1,0.0,9.430229152352402,0.8393289989660286,0.674783488846381,0.83749497758192,1.0,16.067100103397134,0.14
gaussian,16,2,4,75.0,25.0,T_0p20K,K,100,1,1.0,1,0.0,9.430229152352402,0.8393289989660286,0.674783488846381,0.83749497758192,1.0,16.067100103397134,0.14
gaussian,16,2,4,75.0,25.0,best_tested_T,best_tested,100,0,0.0,2,0.0,11.298315893909297,0.9936330169100933,0.9535387319649727,1.0,1.0000000000000004,0.6366983089906697,0.82
gaussian,16,2,4,75.0,25.0,legacy_T100,legacy,100,4,4.0,4,0.0,6.457759764563723,0.5885229549380733,0.3387531353687822,0.5854575646012654,0.843172974369959,41.147704506192675,0.0
gaussian,16,2,4,75.0,25.0,legacy_T25,legacy,100,4,4.0,4,0.0,6.457759764563723,0.5885229549380733,0.3387531353687822,0.5854575646012654,0.843172974369959,41.147704506192675,0.0
gaussian,16,2,4,75.0,25.0,legacy_T50,legacy,100,4,4.0,4,0.0,6.457759764563723,0.5885229549380733,0.3387531353687822,0.5854575646012654,0.843172974369959,41.147704506192675,0.0
gaussian,16,2,4,75.0,25.0,strong_weak,heuristic,100,6,6.0,6,1.0,5.175567115793883,0.474968050394701,0.2900890070772562,0.45956762268850027,0.7229742359430096,52.50319496052989,0.0
gaussian,16,2,8,50.0,50.0,T_0p025N,N,100,0,0.0,0,0.0,49.79457638001525,0.9343612119652309,0.6861553830782026,0.9848752563081358,1.0000000000000004,6.5638788034769115,0.38
