data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,formula,formula_family,formula_label,formula_T,rule_note,u_bf,u_i,u_g,u_g_db,exact_completed,exact_u_g,fraction_exact_u_g,gap_to_exact_pct,is_exact_best
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,legacy_T25,legacy,legacy_T25,12,,5.37772854088659,2.5347402675180075,11.77956089696486,10.711291016922173,True,60.94763234504479,0.19327347829160701,80.6726521708393,False
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,legacy_T50,legacy,legacy_T50,12,,5.37772854088659,2.5347402675180075,11.77956089696486,10.711291016922173,True,60.94763234504479,0.19327347829160701,80.6726521708393,False
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,legacy_T100,legacy,legacy_T100,12,,5.37772854088659,2.5347402675180075,11.77956089696486,10.711291016922173,True,60.94763234504479,0.19327347829160701,80.6726521708393,False
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,T_0p05K,K,T_0p05K,1,,18.973924842453776,110.87699117462147,52.19071218784596,17.17593223223371,True,60.94763234504479,0.8563205850618939,14.36794149381061,False
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,T_0p15K,K,T_0p15K,2,,17.484326175903885,77.96520931098249,55.45136836059446,17.43912267601915,True,60.94763234504479,0.9098198933580528,9.018010664194719,False
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,T_0p05NL_over_Lp2,N_L,T_0p05NL_over_Lp2,1,,18.973924842453776,110.87699117462147,52.19071218784596,17.17593223223371,True,60.94763234504479,0.8563205850618939,14.36794149381061,False
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,T_0p075NL_over_Lp2,N_L,T_0p075NL_over_Lp2,1,,18.973924842453776,110.87699117462147,52.19071218784596,17.17593223223371,True,60.94763234504479,0.8563205850618939,14.36794149381061,False
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,T_0p10NL_over_Lp2,N_L,T_0p10NL_over_Lp2,1,,18.973924842453776,110.87699117462147,52.19071218784596,17.17593223223371,True,60.94763234504479,0.8563205850618939,14.36794149381061,False
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,T_0p125NL_over_Lp2,N_L,T_0p125NL_over_Lp2,2,,17.484326175903885,77.96520931098249,55.45136836059446,17.43912267601915,True,60.94763234504479,0.9098198933580528,9.018010664194719,False
gaussian,42,74,24,2,12,50.0,50.0,1.0,1.0,T_0p15NL_over_Lp2,N_L,T_0p15NL_over_Lp2,2,,17.484326175903885,77.96520931098249,55.45136836059446,17.43912267601915,True,60.94763234504479,0.9098198933580528,9.018010664194719,False
