data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,exact_completed,exact_timed_out,exact_candidate_count,exact_evaluated_count,exact_elapsed_seconds,exact_subset,exact_window_T,exact_is_threshold_window,exact_u_bf,exact_u_i,exact_u_g,exact_u_g_db,best_tested_T,best_tested_u_bf,best_tested_u_i,best_tested_u_g,best_tested_u_g_db,best_tested_subset,best_tested_fraction_exact_u_g,best_tested_gap_to_exact_pct
gaussian,42,18,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.0002058319514617324,3 6,1.0,True,2.48919273076676,2.3642673778317347,3.4959186632649004,5.435613196985911,1,2.48919273076676,2.364267377831734,3.4959186632649004,5.435613196985911,3 6,1.0,0.0
gaussian,42,18,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.0002429200103506446,1 3 5 6,0.0,True,4.605039836641474,3.7820884262145675,9.012539102811738,9.548471620102621,0,4.605039836641474,3.7820884262145675,9.012539102811738,9.548471620102621,1 3 5 6,1.0,0.0
gaussian,42,19,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.00020967400632798672,0 3,,False,2.4988316720829147,2.496444823743891,3.6005009444665,5.563629291790242,0,2.08171982632113,1.0059931491287637,3.554714983149859,5.508047847542466,3 7,0.9872834469361804,1.271655306381958
gaussian,42,19,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.0002836399944499135,0 3 5 7,0.0,True,4.825116590389256,0.29633167100951496,11.383741960256687,10.562850428644627,0,4.825116590389257,0.29633167100951496,11.383741960256692,10.562850428644628,0 3 5 7,1.0000000000000004,-4.440892098500626e-14
gaussian,42,20,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.00030612898990511894,6 7,0.0,True,2.9392925614786276,4.20704164078583,3.9396742828149645,5.954603175048813,0,2.9392925614786276,4.20704164078583,3.9396742828149645,5.954603175048813,6 7,1.0,0.0
gaussian,42,20,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.0004482640069909394,3 5 6 7,0.0,True,4.582848384024736,3.0719821273811156,8.652804930939507,9.371569130792427,0,4.582848384024736,3.0719821273811174,8.652804930939507,9.371569130792427,3 5 6 7,1.0,0.0
gaussian,42,21,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.00027868099277839065,2 6,,False,2.266608477374266,2.5159930801979256,3.287072386696048,5.168092680598737,0,1.7385082453920453,0.754790630014241,3.106817326168092,4.923157184723942,1 2,0.9451624304784062,5.48375695215938
gaussian,42,21,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.000211490027140826,1 2 3 6,,False,4.7593571175405645,6.025363398153835,8.303304082325074,9.192509428802097,0,5.647007802231097,12.65304668626298,8.285753128785135,9.183319894976895,1 2 4 6,0.9978862687231582,0.21137312768417793
gaussian,42,22,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.00015330902533605695,1 2,0.0,True,3.7021326307269335,6.515349792672621,4.704075209931346,6.724742567324214,0,3.7021326307269335,6.515349792672621,4.704075209931346,6.724742567324214,1 2,1.0,0.0
gaussian,42,22,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.00021100102458149195,0 1 2 6,0.0,True,8.07408999290463,31.547475458316853,9.573106112931173,9.810528728696188,0,8.074089992904632,31.54747545831686,9.573106112931173,9.810528728696188,0 1 2 6,1.0,0.0
gaussian,42,23,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.0001607129815965891,1 5,0.0,True,2.2004219339855333,2.2293518261539536,3.264972770508493,5.138795636609492,0,2.2004219339855333,2.2293518261539536,3.264972770508493,5.138795636609492,1 5,1.0,0.0
gaussian,42,23,8,2,4,50.0,50.0,1.0,1.0,True,False,70,70,0.00023048801813274622,1 2 5 7,0.0,True,4.017579355551935,4.176310234221031,6.9573855618035125,8.424460715945111,0,4.017579355551935,4.176310234221031,6.9573855618035125,8.424460715945111,1 2 5 7,1.0,0.0
gaussian,42,24,8,2,2,75.0,25.0,1.0,1.0,True,False,28,28,0.00021253700833767653,0 2,,False,2.751162710129665,3.179515327308313,3.769902316851343,5.763300972079008,0,2.2509110998643074,1.9902411055148037,3.51487326645256,5.459096705585232,0 5,0.9323512842073358,6.764871579266418
