target_obj,exact_objective,sample,seed,N,L,K,algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,target_metric,target_direction,target_value,candidate_count
bf,bf,0,42,22,5,11,H3-threshold-Gen,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,4.996001012026047,0 2 3 4 6 7 9 11 13 14 19,0.0023870420000093873,,,,u_bf,max,20.702091211883562,2440759
bf,bf,0,42,22,5,11,H3-Fast,11,True,8.273546340498774,4.1189030206606265,88.97908061793608,True,True,62.03185561715116,2 4 5 6 8 11 15 17 18 20 21,0.0005850420000115264,,,,u_bf,max,8.273546340498774,2440759
int,interference,0,42,22,5,11,Gurobi-BF,11,True,21.790757686425525,103.87074561066655,630.847909360996,True,True,17042.40243208218,0 1 2 6 7 9 11 13 14 16 19,114.848318374,92.531656166,22.316662207999997,0.9040030419999994,u_i,min,103.87074561066655,2440759
int,interference,0,42,22,5,11,Gurobi-Int,5,True,2.482976521298363,0.6059287548650205,5.980446930438769,True,True,0.0,1 3 12 18 21,114.01772945700002,92.531656166,21.48607329100001,0.9695032499999741,u_i,min,0.6059287548650205,2440759
int,interference,0,42,22,5,11,Gurobi-Gen,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,8842.314751282243,0 2 3 4 6 7 9 11 13 14 19,114.31147895699999,92.531656166,21.779822790999987,0.8833395000000053,u_i,min,54.18405642855555,2440759
int,interference,0,42,22,5,11,H1,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,8842.314751282243,0 2 3 4 6 7 9 11 13 14 19,0.0002861250000023574,,,,u_i,min,54.18405642855555,2440759
int,interference,0,42,22,5,11,H2,11,True,9.749801410632728,8.18815199349757,123.19802937080989,True,True,1251.3390687856695,0 3 8 11 12 13 16 17 18 19 20,0.0005530410000176289,,,,u_i,min,8.18815199349757,2440759
int,interference,0,42,22,5,11,Coutino,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,8842.314751282243,0 2 3 4 6 7 9 11 13 14 19,0.0008430420000138383,,,,u_i,min,54.18405642855555,2440759
int,interference,0,42,22,5,11,MISO-EE,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,8842.314751282243,0 2 3 4 6 7 9 11 13 14 19,0.0017224160000068878,,,,u_i,min,54.18405642855555,2440759
int,interference,0,42,22,5,11,Pareto-H2,11,True,9.749801410632728,8.18815199349757,123.19802937080989,True,True,1251.3390687856695,0 3 8 11 12 13 16 17 18 19 20,0.0018759589999888249,,,,u_i,min,8.18815199349757,2440759
int,interference,0,42,22,5,11,H3-threshold-BF,11,True,20.702091211883562,54.18405642855555,1103.060155188115,True,True,8842.314751282243,0 2 3 4 6 7 9 11 13 14 19,0.000425707999994529,,,,u_i,min,54.18405642855555,2440759
