K,sigma,metric,metric_label,heuristic,win_share,winner_hits,samples,win_fraction,winner_rate
500,100.0,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,100.0,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,300.0,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,300.0,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,1000.0,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,1000.0,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,3000.0,u_bf,BF gain,H3-threshold-BF,16.0,30.0,30,0.5333333333333333,1.0
500,3000.0,u_bf,BF gain,H3-threshold-Gen,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,10000.0,u_bf,BF gain,H3-threshold-BF,15.0,30.0,30,0.5,1.0
500,10000.0,u_bf,BF gain,H3-threshold-Gen,15.0,30.0,30,0.5,1.0
500,30000.0,u_bf,BF gain,H3-threshold-BF,15.0,30.0,30,0.5,1.0
500,30000.0,u_bf,BF gain,H3-threshold-Gen,15.0,30.0,30,0.5,1.0
500,100000.0,u_bf,BF gain,H3-threshold-BF,15.0,30.0,30,0.5,1.0
500,100000.0,u_bf,BF gain,H3-threshold-Gen,15.0,30.0,30,0.5,1.0
500,0.001,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.001,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,0.003,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.003,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,0.01,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.01,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,0.03,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.03,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,0.1,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.1,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,0.3,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,0.3,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,1.0,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,1.0,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,3.0,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,3.0,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,10.0,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,10.0,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,30.0,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,30.0,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,100.0,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,100.0,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,300.0,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,300.0,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,1000.0,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,1000.0,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,3000.0,u_g,General objective,H3-threshold-BF,14.0,28.0,30,0.4666666666666667,0.9333333333333333
500,3000.0,u_g,General objective,H3-threshold-Gen,16.0,30.0,30,0.5333333333333333,1.0
500,10000.0,u_g,General objective,H3-threshold-BF,15.0,30.0,30,0.5,1.0
500,10000.0,u_g,General objective,H3-threshold-Gen,15.0,30.0,30,0.5,1.0
500,30000.0,u_g,General objective,H3-threshold-BF,15.0,30.0,30,0.5,1.0
500,30000.0,u_g,General objective,H3-threshold-Gen,15.0,30.0,30,0.5,1.0
500,100000.0,u_g,General objective,H3-threshold-BF,15.0,30.0,30,0.5,1.0
500,100000.0,u_g,General objective,H3-threshold-Gen,15.0,30.0,30,0.5,1.0
500,0.001,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,0.003,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,0.01,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,0.03,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,0.1,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,0.3,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,1.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,3.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,10.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,30.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,100.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,300.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,1000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,3000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,10000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,30000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
500,100000.0,u_i,Interference,H3-Fast,30.0,30.0,30,1.0,1.0
