K,sigma,heuristic,K_label,K_mode,K_value,active_pct,off_pct,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log10_u_g_mean,log10_u_g_std,u_g_vs_best_case_mean,u_bf_vs_best_case_mean,u_i_vs_best_case_mean,u_g_vs_best_h12_mean,log2_u_g_per_active_mean,min_channel_eig_mean,geom_channel_eig_mean,max_channel_eig_mean,condition_channel_eig_mean,sigma_over_geom_channel_eig_mean,elapsed_seconds_mean,elapsed_seconds_std,samples,selection_hashes
250,0.03,H3-Fast,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,1594.8368470435423,266.3632317016296,12.176549827492757,4.303598995660407,28657711922.31782,16525983737.584019,10.368248075500937,0.31730441442055357,0.009938210255333712,0.3044392764849662,1.0,0.03496342181345446,0.13777029830707352,352.40739558579605,396.82977981119683,445.21680275830215,1.2753848790123352,7.808548032661707e-05,0.3053195305333586,0.006296843813653,30,30
250,0.03,H3-threshold-BF,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,5232.245253091185,522.4931288401209,231135.03290104654,113976.7194986114,2872814342594.4985,1204183273007.8167,12.424152887393813,0.17380822305343352,0.9977310431093578,1.0,6.690796185880934e-05,3.5235759770086905,0.16508857012723777,994.778117668013,1282.7465366410918,1661.9818459404885,1.6850703342104094,2.3614623839219304e-05,0.04712932919998027,0.00038545775178468124,30,30
250,0.03,H3-threshold-Gen,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,5230.346914376297,523.7628180740321,216118.17550398616,100044.15921524946,2882267882215.0933,1223320045280.9631,12.425151213592017,0.17452847535655344,1.0,0.9996120126257962,6.952207704006663e-05,3.5301171124017725,0.1651018355986205,1001.8713989727083,1283.541633558118,1650.010373290632,1.6594510722654867,2.3601902847490532e-05,0.5336138944333558,0.0033517832631582483,30,30
250,0.03,H3-threshold-Int,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3693.843271574291,705.2317539234651,179.84098532157174,71.2357712376808,871390382977.7917,649741580753.6028,11.823971727079245,0.3374407832458943,0.2782662059825915,0.7017283247427425,0.07440199889567299,0.9121766805788399,0.15711353549335352,829.7441231734805,919.9219903225688,1023.3575494737586,1.2329244323697002,3.382139237688135e-05,0.5214421458333478,0.0026178037494091326,30,30
250,0.03,MISO-EE,K<=250 (25% active),active_pct,25.0,25.0,75.0,223.63333333333333,14.923906610058474,3935.1980319593463,711.9926788638365,80231.65013947921,50492.085922521976,1079112196935.651,839389511091.6376,11.92541925211008,0.311367238670987,0.33344927067245694,0.7466018957073451,0.0002176077342903151,1.059840988997781,0.17769294174423936,798.0502363686504,972.9851050683094,1174.583387841051,1.478665809563924,3.180422333332066e-05,0.38229049856663416,0.007498264963558614,30,30
250,0.03,Pareto-H2,K<=250 (25% active),active_pct,25.0,25.0,75.0,241.7,10.80596897632236,3620.882765873476,608.4897498542264,158.27044291878119,83.53813726436768,765304176720.7405,516033180618.61316,11.792219429903865,0.29694587307032294,0.24841205451768839,0.6887006317263195,0.08949955409461574,0.8065563697167064,0.16229140845410325,781.3759273717435,899.6556989484908,1016.9612129049186,1.313318412919629,3.430071729970685e-05,0.18807617363332882,0.002889919632545914,30,30
250,0.1,Coutino,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,4657.077442171898,577.7280371158982,102796.27701963083,55703.21046210285,1932443474531.2625,1063167436840.8405,12.233890660235215,0.2115552967431893,0.6665112507375338,0.8899658732958714,0.00015805085959329096,2.3627618567347857,0.16256042037606183,952.6889321006857,1152.3531661072172,1381.4044650669166,1.4570657946141272,8.803247815815492e-05,0.29805812499996875,0.003076829236045791,30,30
250,0.1,H1,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3880.1913135877644,733.7230706239754,152193.64486767334,85854.7597611144,993987425715.7932,793707524376.3436,11.879863022857025,0.3288348447124107,0.3036307139932971,0.7355167019532723,0.0001061034637586277,0.96340555404545,0.15785620295616898,716.926758660192,949.3598819942607,1231.8681974212807,1.735017781587885,0.00010904019338776034,0.005516411199969744,5.961548229847722e-05,30,30
250,0.1,H2,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3486.6166175033295,634.7798506206374,208.60621874437203,85.30219860083348,684710505524.4731,524055882704.5416,11.727911646292792,0.31485732040706615,0.21650258294467203,0.662323330149888,0.06588002691910431,0.6924470712635444,0.15583711676870685,787.261158177514,868.5612899431052,963.7987150346038,1.226198061971126,0.00011884361013718524,0.06732440986665705,0.0005113312980913716,30,30
250,0.1,H3-Fast,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,1594.8368470435423,266.3632317016296,12.176549827492757,4.303598995660407,28676686119.33962,16534436881.343489,10.368566138544132,0.3172399878245147,0.009942799681799303,0.3044392764849662,1.0,0.03497676710626578,0.13777452463731002,352.40739558579605,396.82977981119683,445.21680275830215,1.2753848790123352,0.00026028493442202663,0.3045537666000214,0.0067173849448561584,30,30
250,0.1,H3-threshold-BF,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,5232.245253091185,522.4931288401209,231135.03290104654,113976.7194986114,2873434935838.826,1204374670176.837,12.424250518139951,0.17379839038896713,0.9977313663172188,1.0,6.690796185880934e-05,3.5232485477096263,0.16508986741651185,994.778117668013,1282.7465366410918,1661.9818459404885,1.6850703342104094,7.871541279739769e-05,0.047224179100026596,0.0004357927770486015,30,30
250,0.1,H3-threshold-Gen,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,5230.346914376297,523.7628180740321,216118.17550398616,100044.15921524946,2882889235600.7153,1223513078890.507,12.42524870116752,0.17451862963545084,1.0,0.9996120126257962,6.952207704006663e-05,3.52978807827161,0.16510313098548432,1001.8713989727083,1283.541633558118,1650.010373290632,1.6594510722654867,7.867300949163511e-05,0.533468713966672,0.002306859736067498,30,30
250,0.1,H3-threshold-Int,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3693.843271574291,705.2317539234651,179.84098532157174,71.2357712376808,871632464440.4888,649876629062.4927,11.824109296524563,0.33741356196118544,0.2782868978211786,0.7017283247427425,0.07440199889567299,0.9121733127639834,0.15711536347657515,829.7441231734805,919.9219903225688,1023.3575494737586,1.2329244323697002,0.00011273797458957185,0.5215965569333477,0.0039048656796055545,30,30
250,0.1,MISO-EE,K<=250 (25% active),active_pct,25.0,25.0,75.0,223.63333333333333,14.923906610058474,3935.2508017057935,711.9361391597379,80323.08360307734,50453.46662597799,1079398540033.4337,839550582932.7344,11.925549615355461,0.3113440963716472,0.333471311181178,0.7466131807048744,0.00021742721557873178,1.0598336177017034,0.17769490481874162,798.0148278973122,972.9851042753386,1174.7520557801693,1.4790052266849592,0.00010601407790481989,0.3810530319999753,0.0042993557111190624,30,30
250,0.1,Pareto-H2,K<=250 (25% active),active_pct,25.0,25.0,75.0,241.7,10.80596897632236,3620.882765873476,608.4897498542264,158.27044291878119,83.53813726436768,765526334817.6392,516143700481.0466,11.792359339913101,0.2969215231397472,0.24843332753220856,0.6887006317263195,0.08949955409461574,0.8065647572472093,0.16229334525001382,781.3759273717435,899.6556989484908,1016.9612129049186,1.313318412919629,0.00011433572433231245,0.1873717723000065,0.0011917311043307735,30,30
250,0.3,Coutino,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,4657.077442171898,577.7280371158982,102796.27701963083,55703.21046210285,1933738005314.065,1063679455364.5277,12.234199711704816,0.21151804255163648,0.6665497714713123,0.8899658732958714,0.00015805085959329096,2.3622595176344934,0.1625645269631004,952.6889321006857,1152.3531661072172,1381.4044650669166,1.4570657946141272,0.00026409743447441996,0.298581459666667,0.005067355418153591,30,30
250,0.3,H1,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3880.1913135877644,733.7230706239754,152193.64486767334,85854.7597611144,994762370402.1486,794156293115.9297,11.880250324392744,0.3287618326214851,0.3036961463247323,0.7355167019532723,0.0001061034637586277,0.963414554604903,0.1578613493075798,716.926758660192,949.3598819942607,1231.8681974212807,1.735017781587885,0.00032712058016333667,0.00549905136668159,5.7118187328615515e-05,30,30
