data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_T_over_N,best_tested_T_over_K,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
nakagami,42,84,500,2,125,1.0,1.0,75.0,25.0,15,0.03,0.12,2831.8564607818407,365369.6924393813,1822983.8246131716,62.60782815164901,14,1800721.478378876,16,1795967.0973475724,0.518973941566594,1.0308945253600355,2.1735278303053893,2.9075822211187297,1.6971718237460096,0.5224440718355128,499,0.998,0.3616395689710822,0.20784069652746973,0.11683057843533712,0.029638266510432002
nakagami,42,85,500,2,125,1.0,1.0,75.0,25.0,11,0.022,0.088,2809.555990358324,43008.69633050511,1914178.296098221,62.81982387675539,10,1907787.7740794597,12,1887727.775839806,0.482099576517019,0.8884522395332481,2.138326333266287,2.6188071954093806,1.678317923311523,0.29677005605401696,498,0.996,0.34988594467926115,0.19990030375983997,0.11047542121184879,0.02687487693900393
nakagami,42,86,500,2,125,1.0,1.0,75.0,25.0,23,0.046,0.184,2648.0079225601658,35270.19499386458,1733056.7484251866,62.38812783789743,22,1695250.9762301333,24,1706236.4741954033,0.4928464016313254,0.9141603475074169,2.007944072866075,2.5999898208708174,1.7029610939786044,0.15492678242042818,1,0.002,0.3502491553833015,0.20228401253440628,0.1136644311077927,0.027785018249919757
nakagami,42,87,500,2,125,1.0,1.0,75.0,25.0,23,0.046,0.184,2721.214660239148,264007.78753737174,1719995.7376795658,62.355273706839796,22,1717612.4544873177,24,1702115.7960277617,0.553448502362694,1.423448654168721,2.236058605997559,3.435915176040164,1.7019392707596392,0.22928503031035463,497,0.994,0.3754070572888374,0.221456811363607,0.1278921993019468,0.03218313786878823
nakagami,42,88,500,2,125,1.0,1.0,75.0,25.0,9,0.018,0.072,3274.7982127871414,54120.48451703853,2649689.2485801135,64.23194943544205,8,2558497.290768548,10,2613975.6335466425,0.49124304631072246,0.7751357215431184,2.0742228845971606,2.575600531431395,1.4542122840869618,0.25015802606804804,497,0.994,0.35392741020365753,0.200653905229383,0.11042163374569998,0.026051555620653123
nakagami,42,89,500,2,125,1.0,1.0,75.0,25.0,18,0.036,0.144,2853.161922705191,45564.66970416522,2014401.4175130774,63.04146018372351,17,2005830.0584299746,19,1990511.52748506,0.48361718928230707,0.9364316653676444,2.0113905523721933,2.605598342320773,1.6990494739716515,0.6392956696438445,499,0.998,0.34966355585763625,0.1995845330537645,0.11148559524302067,0.027938206277148984
nakagami,42,90,500,2,125,1.0,1.0,75.0,25.0,27,0.054,0.216,2811.844814698094,25422.879539769,1964763.3822803528,62.93310255496408,26,1963868.055033627,28,1940406.2058083746,0.5122592093257071,0.9751528673642178,2.168653091907423,2.741394200238399,1.5614303890917793,0.1955198404972358,497,0.994,0.36044868900451404,0.20847264957493872,0.11799292580804646,0.02804157880685953
nakagami,42,91,500,2,125,1.0,1.0,75.0,25.0,18,0.036,0.144,3091.765704307708,186383.78935495132,2284100.6127667585,63.587152303124356,17,2199737.1558915614,19,2247289.03036252,0.5103928715582443,0.916383411310043,2.1481990082954496,2.6287237963168097,1.5022578066617482,0.7361443920165356,499,0.998,0.36214568834229516,0.208234469954592,0.11407997443121667,0.027178593296063046
nakagami,42,92,500,2,125,1.0,1.0,75.0,25.0,13,0.026,0.104,2496.831275246766,111386.61912219122,1497353.0857171358,61.753242219178716,12,1366065.7308107237,14,1493066.96200548,0.49096339156048396,1.050068949996061,2.064725219325465,2.6219462312414823,1.888207764325049,0.2454481610804926,499,0.998,0.3504652247073179,0.20123141754351614,0.1133269702955397,0.028996565633394956
nakagami,42,93,500,2,125,1.0,1.0,75.0,25.0,12,0.024,0.096,3082.6545680382274,62961.10608546851,2341357.6270672195,63.69467754405534,11,2313769.3576766104,13,2294647.087055757,0.5247163095226727,0.9991886775441332,2.3118258506351115,2.811904168181347,1.4722954460514663,0.20186756358016122,499,0.998,0.36897162749672247,0.21194231534265723,0.11750837184266154,0.02823848172545617
nakagami,42,94,500,2,125,1.0,1.0,75.0,25.0,29,0.058,0.232,2519.325870869319,145558.01443141882,1515657.6431767133,61.80601113914591,28,1475591.6854261975,30,1504188.9759829787,0.5144599037573863,1.229804963178727,2.1676827584987337,2.7454555767234705,1.8450534352402557,0.7294291777235915,499,0.998,0.3617383288056418,0.20809017069032204,0.11859149469174471,0.0315029314875616
nakagami,42,95,500,2,125,1.0,1.0,75.0,25.0,19,0.038,0.152,3387.9179756805943,162431.50121039676,2790625.218011113,64.45701514496889,18,2757983.9899158627,20,2765580.2914563697,0.47712942944769254,0.7646600551510292,2.030246933167802,2.551145216429729,1.4154490222071388,0.33215311533155534,499,0.998,0.3467890299441562,0.19720600676664063,0.10955132812694486,0.025533825005300794
nakagami,42,96,500,2,125,1.0,1.0,75.0,25.0,42,0.084,0.336,3062.2235489396553,140563.71200035585,2275937.3776199752,63.57160308281803,41,2229898.4656624957,43,2255355.168286453,0.488551421400854,0.9188974880983527,2.0757123166772087,2.7198784285378643,1.5205816952803461,0.2062070398252449,499,0.998,0.34993754806663796,0.20110995294578335,0.11362828358212662,0.027273012982713195
nakagami,42,97,500,2,125,1.0,1.0,75.0,25.0,18,0.036,0.144,2718.67836892968,11321.485648195785,1844861.532637537,62.65963775444594,17,1830922.0573992648,19,1832873.2557196093,0.5053738400646001,0.9873569498279505,2.1715888738394797,2.8452588692810785,1.6753865716388767,0.29563641066186985,492,0.984,0.3592115375027257,0.20649412737919098,0.11514791994336568,0.028355064745582175
