source_dir,data_profile,generator_seed,sample,N,L,K,actual_active_pct,sigma,P,best_tested_T,best_fraction_exact,best_gap_pct,best_is_exact_match,exact_is_threshold_window,exact_window_T,overlap_count,overlap_frac,swap_count,exact_rank_min,exact_rank_max,exact_rank_span,exact_rank_gaps,best_rank_min,best_rank_max,best_rank_span,exact_ranks,best_ranks,exact_only_ranks,best_only_ranks,exact_subset,best_tested_subset,exact_u_g,best_u_g,exact_max_power,best_max_power,max_power_ratio_exact_over_best,exact_mean_power,best_mean_power,mean_power_ratio_exact_over_best,exact_scaled_trace,best_scaled_trace,scaled_trace_ratio_exact_over_best,exact_eig_min,best_eig_min,eig_min_ratio_exact_over_best,exact_eig_max,best_eig_max,eig_max_ratio_exact_over_best,exact_eig_balance,best_eig_balance,eig_balance_delta_exact_minus_best
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,16,2,6,37.5,1.0,1.0,0,0.9931706275552338,0.6829372444766224,False,False,,5,0.8333333333333334,1,0,6,7,1,0,5,6,0 1 2 3 4 6,0 1 2 3 4 5,6,5,1 3 7 10 11 12,1 7 10 11 12 13,28.168119531846195,27.975748952494524,1.0000000000000004,1.0000000000000004,1.0,0.7015067574042687,0.7127753200553436,0.9841905824542299,9.250081622172644,10.065284664936836,0.9190084463677404,2.76145164108654,2.1314314544046624,1.2955854786603263,6.488629981086104,7.9338532105321775,0.8178409417094405,0.42558315840724087,0.2686502255392362,0.1569329328680047
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,16,2,7,43.75,1.0,1.0,0,1.0,0.0,True,True,0.0,7,1.0,0,0,6,7,0,0,6,7,0 1 2 3 4 5 6,0 1 2 3 4 5 6,,,1 3 7 10 11 12 13,1 3 7 10 11 12 13,42.185710328605346,42.185710328605346,1.0000000000000004,1.0000000000000004,1.0,0.6784551491886398,0.6784551491886398,1.0,11.693404250605212,11.693404250605212,1.0,3.6806874291341143,3.6806874291341143,1.0,8.012716821471098,8.012716821471098,1.0,0.45935573553170406,0.45935573553170406,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,16,2,8,50.0,1.0,1.0,0,1.0,0.0,True,True,0.0,8,1.0,0,0,7,8,0,0,7,8,0 1 2 3 4 5 6 7,0 1 2 3 4 5 6 7,,,1 3 4 7 10 11 12 13,1 3 4 7 10 11 12 13,59.284068167095484,59.284068167095484,1.0000000000000004,1.0000000000000004,1.0,0.6524599238231512,0.6524599238231512,1.0,13.924449559655722,13.924449559655722,1.0,4.934182552109368,4.934182552109368,1.0,8.990267007546354,8.990267007546354,1.0,0.5488360410172086,0.5488360410172086,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,20,2,5,25.0,1.0,1.0,1,0.9716254259851504,2.837457401484955,False,False,,4,0.8,1,0,5,6,1,1,5,5,0 1 2 3 5,1 2 3 4 5,0,4,1 5 7 10 16,1 5 7 10 11,16.843549799348978,16.365621248894545,0.9999999999999999,0.7279027379605332,1.3738099169702804,0.7076891601854769,0.6140655154106004,1.1524652377072082,6.362257135314646,7.254928979755763,0.8769565013066236,2.382200348146206,1.3807321168111168,1.7253168222435789,3.98005678716844,5.874196862944647,0.6775490982052816,0.5985342610754536,0.23505036501602306,0.36348389605943054
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,20,2,6,30.0,1.0,1.0,0,0.9796554638115278,2.0344536188472206,False,False,,5,0.8333333333333334,1,1,7,7,1,0,5,6,1 2 3 4 5 7,0 1 2 3 4 5,7,0,0 1 5 7 10 11,1 5 7 10 11 16,26.582278274315183,26.041474151991338,0.7279027379605332,0.9999999999999999,0.7279027379605333,0.5916310051292509,0.6783879295088336,0.8721131072564978,9.22171347103017,8.411623905294087,1.096305965989068,2.397389990302992,3.1767327844916053,0.7546715927781955,6.824323480727177,5.234891120802482,1.3036228114866777,0.3513007548768093,0.6068383680164543,-0.255537613139645
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,20,2,7,35.0,1.0,1.0,1,1.0000000000000004,-4.440892098500626e-14,True,True,1.0,7,1.0,0,1,7,7,0,1,7,7,1 2 3 4 5 6 7,1 2 3 4 5 6 7,,,0 1 5 7 10 11 17,0 1 5 7 10 11 17,41.478865343655634,41.478865343655634,0.7279027379605332,0.7279027379605332,1.0,0.576037217238592,0.576037217238592,1.0,11.586651430129372,11.586651430129372,1.0,3.632212824144017,3.632212824144017,1.0,7.954438605985354,7.954438605985354,1.0,0.4566271743440124,0.4566271743440124,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,20,2,8,40.0,1.0,1.0,1,0.9894046680522894,1.0595331947710562,False,False,,7,0.875,1,1,9,9,1,1,8,8,1 2 3 4 5 6 7 9,1 2 3 4 5 6 7 8,9,8,0 1 3 5 7 10 11 17,0 1 4 5 7 10 11 17,57.59832387644436,56.98805051534164,0.7279027379605332,0.7279027379605332,1.0,0.5504453319014173,0.5539026401169409,0.9937582745321566,13.512015962786343,14.019050625186871,0.963832453711981,5.1568407196628,4.332877181491158,1.1901654498058207,8.355175243123544,9.686173443695715,0.8625878208449327,0.6172031788210512,0.4473259958308127,0.16987718299023857
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,20,2,9,45.0,1.0,1.0,1,1.0,0.0,True,True,1.0,9,1.0,0,1,9,9,0,1,9,9,1 2 3 4 5 6 7 8 9,1 2 3 4 5 6 7 8 9,,,0 1 3 4 5 7 10 11 17,0 1 3 4 5 7 10 11 17,77.84991813740808,77.84991813740808,0.7279027379605332,0.7279027379605332,1.0,0.533613695052969,0.533613695052969,1.0,16.09704097447891,16.09704097447891,1.0,6.042079640719407,6.042079640719407,1.0,10.054961333759504,10.054961333759504,1.0,0.6009053083509274,0.6009053083509274,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,20,2,10,50.0,1.0,1.0,1,1.0000000000000009,-8.881784197001252e-14,True,True,1.0,10,1.0,0,1,10,10,0,1,10,10,1 2 3 4 5 6 7 8 9 10,1 2 3 4 5 6 7 8 9 10,,,0 1 3 4 5 7 10 11 15 17,0 1 3 4 5 7 10 11 15 17,95.04175282256689,95.04175282256689,0.7279027379605332,0.7279027379605332,1.0,0.5104704820685546,0.5104704820685546,1.0,18.404859653741937,18.404859653741937,1.0,6.194470128061905,6.194470128061905,1.0,12.210389525680036,12.210389525680036,1.0,0.5073114264728517,0.5073114264728517,0.0
threshold_exact_gaussian_L2_N8_12_16_20_24_Kpct25_to_50_s100,gaussian,42,44,24,2,6,25.0,1.0,1.0,1,0.9999999999999992,7.771561172376096e-14,True,True,1.0,6,1.0,0,1,6,6,0,1,6,6,1 2 3 4 5 6,1 2 3 4 5 6,,,1 4 5 8 16 21,1 4 5 8 16 21,47.63218130272825,47.63218130272825,0.805274516955649,0.805274516955649,1.0,0.7327849423266164,0.7327849423266164,1.0,12.284100493768083,12.284100493768083,1.0,4.304470200657987,4.304470200657987,1.0,7.9796302931100955,7.9796302931100955,1.0,0.5394322847732211,0.5394322847732211,0.0
