data_profile,N,L,K,off_pct,active_pct,T,samples,winner_rate,u_bf_mean,u_i_mean,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,elapsed_seconds_mean
rician,500,6,125,75.0,25.0,10,100,0.0,4597.736227615742,16855509.362100832,15371765000.613682,4829409808.372223,12637419960.845825,32135052976.022064,101.07450981220478,0.5511200366147537,0.26334932812467765,44.88799633852463,3.053350024856627e-05
rician,500,6,125,75.0,25.0,11,100,0.0,4606.418700522032,16907165.974869788,15833994475.62,4826627428.906516,13173339543.67949,32898688930.760937,101.23039137643065,0.5686306345756567,0.2725333706818332,43.136936542434334,3.0048108892515303e-05
rician,500,6,125,75.0,25.0,12,100,0.0,4614.4315553524375,16956537.202942263,16136644109.488186,4998997317.885787,13666785148.34644,32024791512.63463,101.3337238015825,0.5794319599245925,0.3024809295177367,42.05680400754075,3.034991881577298e-05
rician,500,6,125,75.0,25.0,13,100,0.0,4618.390806630295,16982584.404113185,16432447747.439753,5216532091.268302,13968569842.236603,31816970130.096912,101.41899846651481,0.5905653960441622,0.328626687095626,40.94346039558378,2.973527938593179e-05
rician,500,6,125,75.0,25.0,14,100,0.01,4622.023463175007,17003670.542046398,16768919180.713747,5458397638.982632,14640915511.875673,33304441679.283394,101.53479893029251,0.60584520952892,0.3383662381698042,39.415479047108,2.986730920383707e-05
rician,500,6,125,75.0,25.0,15,100,0.0,4627.202737626352,17036614.334054284,17112805821.925766,5452626166.660749,15119490116.977898,33731282745.859203,101.62364890283425,0.6178596046851554,0.34845168390789033,38.21403953148445,3.0025839514564723e-05
rician,500,6,125,75.0,25.0,16,100,0.0,4629.149307394485,17046684.214785933,17395364619.398796,5617254000.515426,15766300525.09416,33900467243.644466,101.69716621669778,0.6275360097621481,0.3605992776612589,37.246399023785195,2.9804389050696045e-05
rician,500,6,125,75.0,25.0,17,100,0.0,4625.3944443628725,17010964.26172236,17799534851.603,5621267676.400267,16045889022.960043,34830936451.943695,101.78841994656638,0.6405288485276591,0.3636530497279428,35.947115147234086,2.979734999826178e-05
rician,500,6,125,75.0,25.0,18,100,0.01,4620.809239708758,16972142.98576118,18103576583.537094,5433153749.10162,16255240724.683224,34982824429.56126,101.85958868247279,0.650579335144577,0.3717629575703118,34.9420664855423,3.056843183003366e-05
rician,500,6,125,75.0,25.0,19,100,0.01,4620.818757032403,16969035.190708738,18378925007.21515,5523993450.999735,16311492511.508476,36008387095.021805,101.91298636542484,0.6576791608597425,0.3688449853411998,34.23208391402575,2.954603114631027e-05
rician,500,6,125,75.0,25.0,20,100,0.0,4615.544437876413,16925238.175183333,18388666429.333523,5489080069.385062,16382395371.549183,36451075489.8076,101.92289111288717,0.6595423910481264,0.3756167282315306,34.04576089518735,2.981842902954668e-05
rician,500,6,125,75.0,25.0,21,100,0.01,4614.60622356662,16911781.346999697,18789436422.289944,5903139288.890441,17220067628.1547,36733956181.86097,102.0053701974899,0.6713409571907301,0.3694927810346461,32.86590428092699,2.9924520931672304e-05
rician,500,6,125,75.0,25.0,22,100,0.02,4612.053307018764,16888120.20696126,19029187163.35942,5907769756.206897,17217158447.357426,39242318959.91868,102.05150420399931,0.6785798043623454,0.3785785718437572,32.142019563765466,2.992803987581283e-05
rician,500,6,125,75.0,25.0,23,100,0.0,4613.856476448775,16900744.875973903,19141752088.49104,6030727949.918762,17226618923.526684,37870573152.44434,102.08168032795382,0.6815532442711187,0.37016860514269145,31.84467557288812,2.9955282516311855e-05
rician,500,6,125,75.0,25.0,24,100,0.0,4607.868333350381,16854313.974782497,19276710388.57588,6317449374.834561,17917223542.75746,37655937038.893425,102.12212173280687,0.6873779755392113,0.369643473702298,31.26220244607888,3.040427021915093e-05
