target_obj,exact_objective,target_metric,target_direction,algorithm,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,target_value_mean,target_value_std,objective_gap_pct_mean,objective_gap_pct_std,elapsed_seconds_mean,elapsed_seconds_std,enumeration_seconds_mean,gurobi_model_seconds_mean,direct_scan_seconds_mean,samples
gen,general,u_g,max,H3-threshold-Int,11.0,0.0,8.799082716923516,4.068893685795942,4.392689217830321,1.9506053819974323,148.6176838687292,163.5654024015946,148.6176838687292,163.5654024015946,79.26580602495291,8.765675466635031,0.0023955333357055983,0.00023162878304429854,0.0,0.0,0.0,3
gen,general,u_g,max,MISO-EE,11.0,0.0,17.35108965231788,3.8761203445204475,53.24676866038637,17.916578094085118,578.913179086517,486.0163733427229,578.913179086517,486.0163733427229,0.9893779105627231,1.7136528089809728,0.003347533337849503,3.0011704452015284e-05,0.0,0.0,0.0,3
gen,general,u_g,max,Pareto-H2,11.0,0.0,8.519077110697973,1.3009840241494286,5.927615437064941,2.375773937185182,86.01911092008929,42.16795268671299,86.01911092008929,42.16795268671299,80.76213347927896,8.039357802604854,0.0033255000016652048,0.0003024166753090027,0.0,0.0,0.0,3
int,interference,u_i,min,Coutino,11.0,0.0,17.35108965231788,3.8761203445204475,53.24676866038637,17.916578094085118,578.913179086517,486.0163733427229,53.24676866038637,17.916578094085118,1886.21137176452,667.7899424929151,0.001834999993055438,0.0005607436262212838,0.0,0.0,0.0,3
int,interference,u_i,min,Frame-BF,11.0,0.0,19.02373426136505,3.8524697360073223,91.6501359963401,33.72381580687174,391.2124163392361,243.6265762041532,91.6501359963401,33.72381580687174,3251.0006603042566,1040.4441786818993,0.05103783333712878,0.0033430427791439677,0.0,0.0,0.0,3
int,interference,u_i,min,Frame-Gen,11.0,0.0,17.826495390281906,3.106127514504382,57.39540177140964,12.001899221881448,580.3729065533191,484.0558523422386,57.39540177140964,12.001899221881448,2096.252733105175,662.9451498226648,0.0778865666652564,0.015292619379638224,0.0,0.0,0.0,3
int,interference,u_i,min,Frame-Int,11.0,0.0,5.849767860606544,1.0618731044339205,2.759501801296933,0.885950284304612,31.87960047340002,12.042055939817146,2.759501801296933,0.885950284304612,0.0,0.0,0.04911593334206069,0.0032765090248774906,0.0,0.0,0.0,3
int,interference,u_i,min,Gurobi-BF,11.0,0.0,19.02373426136505,3.8524697360073223,91.6501359963401,33.72381580687174,391.2124163392361,243.6265762041532,91.6501359963401,33.72381580687174,3251.0006603042566,1040.4441786818993,66.63811619999858,1.0211849934750543,54.93539296666859,11.702723233329985,0.34958923333518516,3
int,interference,u_i,min,Gurobi-Gen,11.0,0.0,17.826495390281906,3.106127514504382,57.39540177140964,12.001899221881448,580.3729065533191,484.0558523422386,57.39540177140964,12.001899221881448,2096.252733105175,662.9451498226648,66.345660200003,1.406892096905511,54.93539296666859,11.410267233334404,0.3472581000047891,3
int,interference,u_i,min,Gurobi-Int,11.0,0.0,5.849767860606544,1.0618731044339205,2.759501801296933,0.885950284304612,31.87960047340002,12.042055939817146,2.759501801296933,0.885950284304612,0.0,0.0,66.34514393334393,1.167777306710022,54.93539296666859,11.409750966675347,0.3731720000020384,3
int,interference,u_i,min,H1,11.0,0.0,16.796604153704024,4.82619788765381,48.525447409442506,25.148059159039427,552.6358029128756,500.2624041731703,48.525447409442506,25.148059159039427,1648.4230149383045,867.3953042810044,0.0007432000032470872,0.0002766200775135528,0.0,0.0,0.0,3
int,interference,u_i,min,H2,11.0,0.0,8.519077110697973,1.3009840241494286,5.927615437064941,2.375773937185182,86.01911092008929,42.16795268671299,5.927615437064941,2.375773937185182,121.57994072369291,88.71511442993669,0.0013602333298573892,0.0005781323320202596,0.0,0.0,0.0,3
int,interference,u_i,min,H3-Fast,11.0,0.0,8.42339130043665,0.24713659852979605,6.022222227746055,1.8941988875152507,79.80377039605956,28.320303397927493,6.022222227746055,1.8941988875152507,148.30351434977015,145.34988743597768,0.001076466665836051,0.00024314286027208188,0.0,0.0,0.0,3
int,interference,u_i,min,H3-threshold-BF,11.0,0.0,18.029817701706488,3.4687728925773293,63.42697380678431,19.372015160660524,576.1525528501428,488.1726766768181,63.42697380678431,19.372015160660524,2342.0090500915135,935.4564649073386,0.0007627666636835784,6.942630761289972e-05,0.0,0.0,0.0,3
int,interference,u_i,min,H3-threshold-Gen,11.0,0.0,18.029817701706488,3.4687728925773293,63.42697380678431,19.372015160660524,576.1525528501428,488.1726766768181,63.42697380678431,19.372015160660524,2342.0090500915135,935.4564649073386,0.004360033325307692,0.0003049473828100085,0.0,0.0,0.0,3
int,interference,u_i,min,H3-threshold-Int,11.0,0.0,8.799082716923516,4.068893685795942,4.392689217830321,1.9506053819974323,148.6176838687292,163.5654024015946,4.392689217830321,1.9506053819974323,56.16066581167169,22.366422771670873,0.0030825333281730614,0.0006026269338401825,0.0,0.0,0.0,3
int,interference,u_i,min,MISO-EE,11.0,0.0,17.35108965231788,3.8761203445204475,53.24676866038637,17.916578094085118,578.913179086517,486.0163733427229,53.24676866038637,17.916578094085118,1886.21137176452,667.7899424929151,0.004182100004982203,0.0007004278768297836,0.0,0.0,0.0,3
int,interference,u_i,min,Pareto-H2,11.0,0.0,8.519077110697973,1.3009840241494286,5.927615437064941,2.375773937185182,86.01911092008929,42.16795268671299,5.927615437064941,2.375773937185182,121.57994072369291,88.71511442993669,0.0036880333403435848,0.0007962118899138255,0.0,0.0,0.0,3
