data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
nakagami,42,22,500,4,125,1.0,1.0,75.0,25.0,188,1380.4802763758985,51086.74357103384,11468011479.55088,100.59488119006144,28316824278.210625,0.4049893224917649,59.50106775082351,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,23,500,4,125,1.0,1.0,75.0,25.0,188,1514.738311969676,36888.54762735793,17687686131.906284,102.47671023080915,48037105242.78308,0.3682088261253756,63.17911738746245,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,24,500,4,125,1.0,1.0,75.0,25.0,188,1333.5991286932103,10050.393926460318,11863871680.6319,100.74226440726422,28842601651.88269,0.41133153741897244,58.866846258102754,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,25,500,4,125,1.0,1.0,75.0,25.0,188,1509.4927534877536,21475.683048123803,18669604947.894455,102.71135128299122,45734769218.52495,0.40821469675925026,59.17853032407498,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,26,500,4,125,1.0,1.0,75.0,25.0,188,1474.810569558875,33096.534022401225,16324297038.12183,102.12834488627793,44761906777.05213,0.3646917259228717,63.530827407712835,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,27,500,4,125,1.0,1.0,75.0,25.0,188,1568.0787000939338,81465.30947528445,16884126278.006823,102.27478591624781,53106136472.201614,0.31793173820590037,68.20682617940996,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,28,500,4,125,1.0,1.0,75.0,25.0,188,1406.2498727486625,19387.491478266948,14116739393.530617,101.49734397358705,43952661506.45651,0.32118053627894433,67.88194637210556,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,29,500,4,125,1.0,1.0,75.0,25.0,188,1484.0167508519658,34695.62323066441,16307833988.482174,102.1239628174424,51544472412.72312,0.3163837599869736,68.36162400130263,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,30,500,4,125,1.0,1.0,75.0,25.0,188,1612.5614752186934,55020.63683497248,22190615305.63681,103.46169344599646,53383075048.688896,0.4156863441343066,58.43136558656934,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,31,500,4,125,1.0,1.0,75.0,25.0,188,1417.093207346402,23924.998503652274,14409541269.524086,101.5865015518696,37711554887.77661,0.3820988371443318,61.79011628556682,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,32,500,4,125,1.0,1.0,75.0,25.0,188,1427.0202541044468,43410.93088991146,13232773523.399614,101.21650879687708,42469549707.19354,0.3115826189501188,68.84173810498812,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,33,500,4,125,1.0,1.0,75.0,25.0,188,1554.293243250618,104643.18949035271,16893980061.67601,102.27731977291329,47043580757.55831,0.3591133963364751,64.08866036635249,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,34,500,4,125,1.0,1.0,75.0,25.0,188,1627.1948332411857,41631.975266997055,23901576520.53362,103.78426547458083,74891711830.69965,0.3191484870123622,68.08515129876378,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,35,500,4,125,1.0,1.0,75.0,25.0,188,1381.8556588337312,26638.277433625586,12920729526.73294,101.11287035368817,45552215263.30949,0.2836465680548379,71.63534319451621,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,36,500,4,125,1.0,1.0,75.0,25.0,188,1599.2952693314946,77359.16285360955,20076897368.77716,103.02696598924663,62809480156.36485,0.31964756464781297,68.0352435352187,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,37,500,4,125,1.0,1.0,75.0,25.0,188,1404.2406556988371,46665.84191143729,12330755767.265326,100.90989695857212,33080962000.826565,0.37274477589125815,62.72552241087419,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,38,500,4,125,1.0,1.0,75.0,25.0,188,1276.4833357965333,22442.574030838656,9382973020.116577,99.72340467553357,23007929994.784782,0.40781474136280055,59.21852586371994,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,39,500,4,125,1.0,1.0,75.0,25.0,188,1451.5167369311823,14592.48028375676,16265601414.997862,102.11270125803308,43745204553.31882,0.37182593111829076,62.81740688817092,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,40,500,4,125,1.0,1.0,75.0,25.0,188,1419.3605310525297,50981.57707060117,12956211894.963167,101.12478042152335,37745365100.96369,0.3432530553170455,65.67469446829546,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,41,500,4,125,1.0,1.0,75.0,25.0,188,1616.3576398128002,60435.77554707205,21186502797.772694,103.26059274739296,70029725542.78206,0.3025358536473142,69.74641463526858,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,42,500,4,125,1.0,1.0,75.0,25.0,188,1506.913103937443,82634.96186040844,15027881052.269058,101.76897748904814,54388867431.53387,0.2763043571588717,72.36956428411283,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,43,500,4,125,1.0,1.0,75.0,25.0,188,1536.8677223935513,42794.6970629132,18635068953.393486,102.70331004067208,55182742966.83615,0.3376974023308851,66.23025976691149,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,44,500,4,125,1.0,1.0,75.0,25.0,188,1602.7243674810459,36457.83237904543,22950695800.77405,103.6079585666439,60487446132.68898,0.37942907608345694,62.05709239165431,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
