N,L,K,off_pct,sample,seed,sigma,P,heuristic,active_count,u_bf,u_i,u_g,log2_u_g_per_active,u_bf_per_active,elapsed_seconds
1000,1,750,25,1,43,1.0,1.0,N-H3-Fast,750,14185.083959299074,0.0,14186.083959299074,0.018389585027686704,18.91344527906543,7.989999721758068e-05
1000,1,750,25,2,44,1.0,1.0,H1,750,20830.79733887966,0.0,20831.79733887966,0.019128666264061126,27.774396451839547,0.027158200013218448
1000,1,750,25,2,44,1.0,1.0,H2,750,12824.685571592066,0.0,12825.685571592077,0.018195664431794413,17.099580762122756,0.07517070000176318
1000,1,750,25,2,44,1.0,1.0,Coutino,750,29298.9691640776,0.0,29299.96916407759,0.019784815367832335,39.06529221877013,0.12686479999683797
1000,1,750,25,2,44,1.0,1.0,MISO-EE,486,21893.98438580487,0.0,21894.984385804884,0.02966731028908734,45.04935058807586,0.23393139999825507
1000,1,750,25,2,44,1.0,1.0,Pareto-H2,750,20830.79733887966,0.0,20831.79733887966,0.019128666264061126,27.774396451839547,0.21804609999526292
1000,1,750,25,2,44,1.0,1.0,S-threshold-BF,750,28978.278160054044,0.0,28979.27816005406,0.019763645385392933,38.63770421340539,0.006764199992176145
1000,1,750,25,2,44,1.0,1.0,S-threshold-Int,750,20830.79733887966,0.0,20831.79733887966,0.019128666264061126,27.774396451839547,0.12909820000641048
1000,1,750,25,2,44,1.0,1.0,S-threshold-Gen,750,28978.278160054044,0.0,28979.27816005406,0.019763645385392933,38.63770421340539,0.14518570000655018
1000,1,750,25,2,44,1.0,1.0,Frame-BF,750,29452.164900402237,0.0,29453.164900402233,0.019794846729664257,39.269553200536315,0.023788999998942018
1000,1,750,25,2,44,1.0,1.0,Frame-Int,750,20830.79733887966,0.0,20831.79733887966,0.019128666264061126,27.774396451839547,0.1496810000098776
1000,1,750,25,2,44,1.0,1.0,Frame-Gen,750,29452.164900402237,0.0,29453.164900402233,0.019794846729664257,39.269553200536315,0.03550369999720715
1000,1,750,25,2,44,1.0,1.0,N-H3-Fast,750,12185.851629007006,0.0,12186.85162900701,0.018097383793957623,16.24780217200934,7.54999928176403e-05
1000,1,750,25,3,45,1.0,1.0,H1,750,22173.589257185882,0.0,22174.589257185882,0.019248826348126052,29.564785676247844,0.02664510000613518
1000,1,750,25,3,45,1.0,1.0,H2,750,13539.657317487583,0.0,13540.657317487576,0.01830001353910805,18.05287642331678,0.07483759999740869
1000,1,750,25,3,45,1.0,1.0,Coutino,750,28019.241368054172,0.0,28020.241368054172,0.019698909017112083,37.358988490738895,0.125468499987619
1000,1,750,25,3,45,1.0,1.0,MISO-EE,550,23292.76724384834,0.0,23293.76724384833,0.026377557020906245,42.35048589790607,0.27624169999035075
1000,1,750,25,3,45,1.0,1.0,Pareto-H2,750,22173.589257185882,0.0,22174.589257185882,0.019248826348126052,29.564785676247844,0.214204099989729
1000,1,750,25,3,45,1.0,1.0,S-threshold-BF,750,31226.233540407025,0.0,31227.233540407033,0.019907356192553044,41.63497805387603,0.006654600001638755
1000,1,750,25,3,45,1.0,1.0,S-threshold-Int,750,22173.589257185882,0.0,22174.589257185882,0.019248826348126052,29.564785676247844,0.12662890000501648
1000,1,750,25,3,45,1.0,1.0,S-threshold-Gen,750,31226.233540407025,0.0,31227.233540407033,0.019907356192553044,41.63497805387603,0.14848209999036044
1000,1,750,25,3,45,1.0,1.0,Frame-BF,750,31226.233540407025,0.0,31227.233540407033,0.019907356192553044,41.63497805387603,0.021993700007442385
1000,1,750,25,3,45,1.0,1.0,Frame-Int,750,22173.589257185882,0.0,22174.589257185882,0.019248826348126052,29.564785676247844,0.14334899999084882
1000,1,750,25,3,45,1.0,1.0,Frame-Gen,750,31226.233540407025,0.0,31227.233540407033,0.019907356192553044,41.63497805387603,0.032431600004201755
1000,1,750,25,3,45,1.0,1.0,N-H3-Fast,750,12773.20939495199,0.0,12774.209394952,0.01818792851204932,17.030945859935986,9.860002319328487e-05
1000,1,750,25,4,46,1.0,1.0,H1,750,12504.097169279072,0.0,12505.097169279072,0.01814697152985546,16.672129559038762,0.026203300018096343
1000,1,750,25,4,46,1.0,1.0,H2,693,8639.75005718221,0.0,8640.750057182215,0.01887004449510468,12.467171799685728,0.07812770002055913
1000,1,750,25,4,46,1.0,1.0,Coutino,750,19226.76521746587,0.0,19227.76521746585,0.01897453796276609,25.635686956621157,0.13293369999155402
1000,1,750,25,4,46,1.0,1.0,MISO-EE,439,13141.161552518248,0.0,13142.161552518239,0.03116609330637398,29.93430877566799,0.24249909998616204
1000,1,750,25,4,46,1.0,1.0,Pareto-H2,750,11793.805136486333,0.0,11794.805136486331,0.018034485284494424,15.725073515315112,0.21739869998418726
1000,1,750,25,4,46,1.0,1.0,S-threshold-BF,750,23965.74952558619,0.0,23966.749525586187,0.0193983288496685,31.95433270078159,0.00665389999630861
1000,1,750,25,4,46,1.0,1.0,S-threshold-Int,750,12504.097169279072,0.0,12505.097169279072,0.01814697152985546,16.672129559038762,0.13391589999082498
1000,1,750,25,4,46,1.0,1.0,S-threshold-Gen,750,23965.74952558619,0.0,23966.749525586187,0.0193983288496685,31.95433270078159,0.14750279998406768
1000,1,750,25,4,46,1.0,1.0,Frame-BF,750,23985.426713713416,0.0,23986.426713713394,0.01939990751094043,31.980568951617887,0.024875100003555417
1000,1,750,25,4,46,1.0,1.0,Frame-Int,750,12504.097169279072,0.0,12505.097169279072,0.01814697152985546,16.672129559038762,0.14634269999805838
1000,1,750,25,4,46,1.0,1.0,Frame-Gen,750,23985.426713713416,0.0,23986.426713713394,0.01939990751094043,31.980568951617887,0.03556009999010712
1000,1,750,25,4,46,1.0,1.0,N-H3-Fast,750,7316.9150884636265,0.0,7317.915088463631,0.017116289280662896,9.755886784618168,7.569999434053898e-05
1000,1,750,25,5,47,1.0,1.0,H1,750,24016.22442473078,0.0,24017.2244247308,0.019402375751584523,32.02163256630771,0.026194200007012114
1000,1,750,25,5,47,1.0,1.0,H2,750,14388.948767780485,0.0,14389.948767780486,0.01841703178032165,19.185265023707313,0.09831339999800548
1000,1,750,25,5,47,1.0,1.0,Coutino,750,30703.22569500095,0.0,30704.22569500093,0.019874866134577247,40.93763426000127,0.13465459999861196
1000,1,750,25,5,47,1.0,1.0,MISO-EE,552,25251.481238830827,0.0,25252.48123883083,0.026493002771006385,45.74543702686744,0.25011279998579994
1000,1,750,25,5,47,1.0,1.0,Pareto-H2,750,24016.22442473078,0.0,24017.2244247308,0.019402375751584523,32.02163256630771,0.21679959999164566
1000,1,750,25,5,47,1.0,1.0,S-threshold-BF,750,33918.30170965991,0.0,33919.3017096599,0.020066425132349942,45.224402279546545,0.006315800012089312
1000,1,750,25,5,47,1.0,1.0,S-threshold-Int,750,24016.22442473078,0.0,24017.2244247308,0.019402375751584523,32.02163256630771,0.12412390002282336
1000,1,750,25,5,47,1.0,1.0,S-threshold-Gen,750,33918.30170965991,0.0,33919.3017096599,0.020066425132349942,45.224402279546545,0.13963310001417994
1000,1,750,25,5,47,1.0,1.0,Frame-BF,750,33932.44238687268,0.0,33933.44238687265,0.020067226895460404,45.24325651583024,0.025008800002979115
1000,1,750,25,5,47,1.0,1.0,Frame-Int,750,24016.22442473078,0.0,24017.2244247308,0.019402375751584523,32.02163256630771,0.14567840000381693
1000,1,750,25,5,47,1.0,1.0,Frame-Gen,750,33932.44238687268,0.0,33933.44238687265,0.020067226895460404,45.24325651583024,0.03575899999123067
1000,1,750,25,5,47,1.0,1.0,N-H3-Fast,750,14970.135016204287,0.0,14971.135016204276,0.0184931946414014,19.960180021605716,7.700000423938036e-05
1000,1,750,25,6,48,1.0,1.0,H1,750,8137.641518682419,0.0,8138.641518682418,0.017320763051022252,10.850188691576559,0.02700240002013743
1000,1,750,25,6,48,1.0,1.0,H2,750,5746.979946914455,0.0,5747.979946914457,0.01665178575107846,7.662639929219273,0.07623259999672882
1000,1,750,25,6,48,1.0,1.0,Coutino,750,12024.556894170273,0.0,12025.55689417027,0.018071754780233425,16.032742525560366,0.1221928000159096
1000,1,750,25,6,48,1.0,1.0,MISO-EE,453,8548.677301426116,0.0,8549.677301426116,0.02883367384697991,18.871252321028955,0.23165039997547865
1000,1,750,25,6,48,1.0,1.0,Pareto-H2,750,7632.882584963197,0.0,7633.882584963199,0.017197601708822906,10.177176779950928,0.2136191999888979
1000,1,750,25,6,48,1.0,1.0,S-threshold-BF,750,18532.170724866974,0.0,18533.170724866963,0.018903762804998413,24.7095609664893,0.007039000018266961
1000,1,750,25,6,48,1.0,1.0,S-threshold-Int,750,8137.641518682419,0.0,8138.641518682418,0.017320763051022252,10.850188691576559,0.12469509997754358
1000,1,750,25,6,48,1.0,1.0,S-threshold-Gen,750,18532.170724866974,0.0,18533.170724866963,0.018903762804998413,24.7095609664893,0.1413163999968674
1000,1,750,25,6,48,1.0,1.0,Frame-BF,750,18911.951497018305,0.0,18912.951497018315,0.01894278253727414,25.21593532935774,0.02377839997643605
1000,1,750,25,6,48,1.0,1.0,Frame-Int,750,8137.641518682419,0.0,8138.641518682418,0.017320763051022252,10.850188691576559,0.1669374999764841
1000,1,750,25,6,48,1.0,1.0,Frame-Gen,750,18911.951497018305,0.0,18912.951497018315,0.01894278253727414,25.21593532935774,0.0404061000153888
1000,1,750,25,6,48,1.0,1.0,N-H3-Fast,750,4951.517241740991,0.0,4952.51724174099,0.01636526170986391,6.602022988987988,0.00010529998689889908
1000,1,750,25,7,49,1.0,1.0,H1,750,16115.232911841662,0.0,16116.232911841655,0.018634969253509194,21.486977215788883,0.026204400026472285
1000,1,750,25,7,49,1.0,1.0,H2,750,9234.262930581073,0.0,9235.262930581077,0.017563916427194105,12.312350574108098,0.07665299999644049
1000,1,750,25,7,49,1.0,1.0,Coutino,750,22459.108841686786,0.0,22460.108841686793,0.01927343639814004,29.945478455582382,0.12684579999768175
1000,1,750,25,7,49,1.0,1.0,MISO-EE,486,16928.433506646954,0.0,16929.433506646965,0.028903798514555382,34.83216770915011,0.23475999999209307
1000,1,750,25,7,49,1.0,1.0,Pareto-H2,750,16115.232911841662,0.0,16116.232911841655,0.018634969253509194,21.486977215788883,0.2087961999932304
1000,1,750,25,7,49,1.0,1.0,S-threshold-BF,750,24408.32739573714,0.0,24409.32739573714,0.019433526561925703,32.544436527649516,0.0063293999992311
1000,1,750,25,7,49,1.0,1.0,S-threshold-Int,750,16115.232911841662,0.0,16116.232911841655,0.018634969253509194,21.486977215788883,0.12376489999587648
1000,1,750,25,7,49,1.0,1.0,S-threshold-Gen,750,24408.32739573714,0.0,24409.32739573714,0.019433526561925703,32.544436527649516,0.1495897999848239
1000,1,750,25,7,49,1.0,1.0,Frame-BF,750,24856.661388375152,0.0,24857.661388375134,0.019468537271213046,33.1422151845002,0.024422099988441914
1000,1,750,25,7,49,1.0,1.0,Frame-Int,750,16115.232911841662,0.0,16116.232911841655,0.018634969253509194,21.486977215788883,0.14136370000778697
1000,1,750,25,7,49,1.0,1.0,Frame-Gen,750,24856.661388375152,0.0,24857.661388375134,0.019468537271213046,33.1422151845002,0.03799389998312108
1000,1,750,25,7,49,1.0,1.0,N-H3-Fast,750,9487.839041528086,0.0,9488.839041528092,0.017616021158823044,12.650452055370781,7.979999645613134e-05
1000,1,750,25,8,50,1.0,1.0,H1,750,16838.961205613003,0.0,16839.961205613,0.018719468259208796,22.45194827415067,0.026158900000154972
1000,1,750,25,8,50,1.0,1.0,H2,711,11061.981256376033,0.0,11062.981256376024,0.018893744860086,15.558342132737037,0.07719649997306988
1000,1,750,25,8,50,1.0,1.0,Coutino,750,22897.848017915254,0.0,22898.84801791526,0.019310649868565743,30.530464023887006,0.12643289999687113
1000,1,750,25,8,50,1.0,1.0,MISO-EE,513,17696.141209825284,0.0,17697.141209825277,0.02750726843316346,34.49540196847034,0.24036460000206716
1000,1,750,25,8,50,1.0,1.0,Pareto-H2,750,16838.961205613003,0.0,16839.961205613,0.018719468259208796,22.45194827415067,0.21215249999659136
1000,1,750,25,8,50,1.0,1.0,S-threshold-BF,750,26759.564262643664,0.0,26760.564262643675,0.019610427887926586,35.67941901685822,0.006245099997613579
1000,1,750,25,8,50,1.0,1.0,S-threshold-Int,750,16838.961205613003,0.0,16839.961205613,0.018719468259208796,22.45194827415067,0.12927529998705722
1000,1,750,25,8,50,1.0,1.0,S-threshold-Gen,750,26759.564262643664,0.0,26760.564262643675,0.019610427887926586,35.67941901685822,0.15786380000645295
1000,1,750,25,8,50,1.0,1.0,Frame-BF,750,26882.693753177497,0.0,26883.693753177493,0.019619258338697775,35.84359167090333,0.03125910001108423
1000,1,750,25,8,50,1.0,1.0,Frame-Int,750,16838.961205613003,0.0,16839.961205613,0.018719468259208796,22.45194827415067,0.14577360000112094
1000,1,750,25,8,50,1.0,1.0,Frame-Gen,750,26882.693753177497,0.0,26883.693753177493,0.019619258338697775,35.84359167090333,0.03572939999867231
1000,1,750,25,8,50,1.0,1.0,N-H3-Fast,750,9975.269751450502,0.0,9976.269751450493,0.0177123796797807,13.300359668600668,7.51999905332923e-05
1000,1,750,25,9,51,1.0,1.0,H1,750,18184.549829597265,0.0,18185.549829597257,0.01886733990007176,24.24606643946302,0.0265400999924168
1000,1,750,25,9,51,1.0,1.0,H2,750,11233.449276472156,0.0,11234.449276472153,0.01794085571133296,14.977932368629542,0.08038359999773093
1000,1,750,25,9,51,1.0,1.0,Coutino,750,19089.110409142948,0.0,19090.110409142944,0.01896071710167301,25.452147212190596,0.13084930001059547
1000,1,750,25,9,51,1.0,1.0,MISO-EE,750,19089.110409142948,0.0,19090.110409142944,0.01896071710167301,25.452147212190596,0.23320190000231378
1000,1,750,25,9,51,1.0,1.0,Pareto-H2,750,18184.549829597265,0.0,18185.549829597257,0.01886733990007176,24.24606643946302,0.22254940000129864
1000,1,750,25,9,51,1.0,1.0,S-threshold-BF,750,27925.475324684747,0.0,27926.475324684765,0.01969246117099801,37.233967099579665,0.006370699993567541
1000,1,750,25,9,51,1.0,1.0,S-threshold-Int,750,18184.549829597265,0.0,18185.549829597257,0.01886733990007176,24.24606643946302,0.12359050000668503
1000,1,750,25,9,51,1.0,1.0,S-threshold-Gen,750,27925.475324684747,0.0,27926.475324684765,0.01969246117099801,37.233967099579665,0.13929570000618696
1000,1,750,25,9,51,1.0,1.0,Frame-BF,750,27953.205306675867,0.0,27954.205306675867,0.019694370282117596,37.270940408901154,0.022078199981478974
1000,1,750,25,9,51,1.0,1.0,Frame-Int,750,18184.549829597265,0.0,18185.549829597257,0.01886733990007176,24.24606643946302,0.14304250001441687
1000,1,750,25,9,51,1.0,1.0,Frame-Gen,750,27953.205306675867,0.0,27954.205306675867,0.019694370282117596,37.270940408901154,0.03216669999528676
1000,1,750,25,9,51,1.0,1.0,N-H3-Fast,750,11923.850007052615,0.0,11924.850007052622,0.018055577999215883,15.898466676070154,7.219999679364264e-05
