N,L,K,off_pct,heuristic,active_count_mean,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log2_u_g_per_active_mean,log2_u_g_per_active_std,u_bf_per_active_mean,u_bf_per_active_std,elapsed_seconds_mean,elapsed_seconds_std,samples
1000,6,500,50,S-threshold-BF,500.0,12129.729833482095,1162.8129595023252,967785.7332624979,334452.47248938243,6.759569371864726e+19,3.5179002854229037e+19,0.1313526580614956,0.0016573418137248454,24.259459666964194,2.3256259190046507,0.07489285000192467,0.0015915882182372582,10
1000,6,500,50,S-threshold-Gen,500.0,12129.729833482095,1162.8129595023252,967785.7332624979,334452.47248938243,6.759569371864726e+19,3.5179002854229037e+19,0.1313526580614956,0.0016573418137248454,24.259459666964194,2.3256259190046507,0.7724962599982973,0.013254084825565683,10
1000,6,500,50,S-threshold-Int,500.0,7823.740498618989,1150.2567518792325,451.78590144077316,148.91292630451204,6.341401258395961e+18,4.845739542580717e+18,0.12399981238887436,0.002617545005485609,15.647480997237977,2.3005135037584648,0.740388280004845,0.015516529657598534,10
1000,6,750,25,Coutino,750.0,18074.894535816427,2087.3607144623197,1283078.8784555197,340505.7652908242,8.368468521018411e+20,6.323381683384302e+20,0.09225207140303236,0.0013257135855771515,24.09985938108857,2.7831476192830915,0.7020031099993502,0.017274101575095884,10
1000,6,750,25,Frame-BF,750.0,21018.25295738753,1978.0618277151889,1927552.3605451726,515114.3576239268,1.9093444914137085e+21,9.951311292675294e+20,0.09399514317609535,0.0011038024978479199,28.0243372765167,2.6374157702869185,0.033103700005449356,0.0014356782402013249,10
1000,6,750,25,Frame-Gen,750.0,21025.962047234952,1968.075213311182,1892719.6494909488,468217.785345627,1.91635130611197e+21,9.976798052774307e+20,0.0940026058703354,0.0011032788700360014,28.034616062979932,2.6241002844149093,0.06807432000350673,0.0073501396613616056,10
1000,6,750,25,Frame-Int,750.0,11548.06385486293,1669.066019504428,190.56491932794452,54.0863352461406,6.4904534950814654e+19,4.705329205157948e+19,0.08716670080813496,0.001720028489975859,15.397418473150575,2.2254213593392373,1.2346385200013175,0.031564433446694774,10
1000,6,750,25,H1,750.0,14998.083031215774,2638.9116644001374,1019495.3806467757,327233.48106221674,3.2058821530510905e+20,2.7389722495008902e+20,0.08997643137501643,0.002129381678375667,19.997444041621034,3.51854888586685,0.028232320002280174,0.0017383952949925011,10
1000,6,750,25,H2,750.0,13209.181150234497,1877.402762964832,421.04590469673275,122.90283827587588,1.451212451363374e+20,1.0961990021156608e+20,0.08872279749024911,0.0016739415351099626,17.612241533645992,2.5032036839531098,0.229827620004653,0.015409448193632533,10
1000,6,750,25,MISO-EE,658.5,15349.911841221925,2351.7762049283083,976041.9698006414,293666.3577387814,3.473641138846031e+20,2.8320974381702096e+20,0.10313925404634057,0.0053164376845982915,23.251236901178647,2.7933788712462815,0.9578109800000675,0.015334557608194424,10
