data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_T_over_N,best_tested_T_over_K,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
twdp,42,90,2000,10,500,1.0,1.0,75.0,25.0,89,0.0445,0.178,14972.081826855565,1536443.7697047512,3.929240055805186e+31,315.94308562720374,88,3.875550531747642e+31,90,3.9230160050498186e+31,0.223804921761156,0.20306601647398836,1.374473813498351,1.559255619880932,1.3466004521856323,0.20301625959478264,1999,0.9995,0.26384921984442716,0.14039996195730642,0.07407068828129369,0.016526248670773833
twdp,42,91,2000,10,500,1.0,1.0,75.0,25.0,80,0.04,0.16,14612.521597968695,1353026.08210375,3.1932957189850053e+31,315.04239138763853,79,3.180686951683552e+31,81,3.170361114214184e+31,0.2367846845896175,0.2798685911871219,1.425385293782297,1.5945972312149725,1.3258635372374628,0.08086979336932276,1999,0.9995,0.2691528150506188,0.14389173557823445,0.07605516245271927,0.01684770335818183
twdp,42,92,2000,10,500,1.0,1.0,75.0,25.0,116,0.058,0.232,14554.176552012566,1523099.133126864,2.9131921099976043e+31,314.64369125053634,115,2.8816507482412567e+31,117,2.9019821386085656e+31,0.23007322487619913,0.2843365032202904,1.3986998658864338,1.6009102244516136,1.3752589922805398,0.2519273542195719,1999,0.9995,0.2664347242865145,0.14213087703033303,0.07523794728404468,0.01682704921730758
twdp,42,93,2000,10,500,1.0,1.0,75.0,25.0,103,0.0515,0.206,15635.160250249064,1773776.4558959622,6.071159880054586e+31,317.8327166988682,102,5.992074949180493e+31,104,6.010635409478926e+31,0.2300536182127593,0.20890839109502476,1.4083365844587927,1.5737382209145583,1.272919580352834,0.09104250832823224,1999,0.9995,0.2667203106427901,0.14212917476997597,0.07493717268226295,0.0164102216603431
twdp,42,94,2000,10,500,1.0,1.0,75.0,25.0,97,0.0485,0.194,14218.663453590985,1180826.4348858884,2.502189516707304e+31,313.98320200218785,96,2.4709032892237025e+31,98,2.4856088628679735e+31,0.2313400387950137,0.2031513290159048,1.3974595679042272,1.582804721654981,1.406996549291998,0.21744242044243745,1999,0.9995,0.2661385783181008,0.14196942600533397,0.07512080654187107,0.01689382853652972
twdp,42,95,2000,10,500,1.0,1.0,75.0,25.0,58,0.029,0.116,14440.85310686685,1435357.751348971,2.759545110399197e+31,314.40837497889345,57,2.7160538901854936e+31,59,2.7414184686795473e+31,0.22652187777916097,0.2306175273937343,1.4086390690732706,1.561527273656728,1.3565285040882624,0.25571249680323804,1999,0.9995,0.26573583643213283,0.14205338966964765,0.07473331834920544,0.01633658371304596
twdp,42,96,2000,10,500,1.0,1.0,75.0,25.0,147,0.0735,0.294,14066.219781493013,1517628.3474755439,2.077996401370231e+31,313.1764479111991,146,2.051512951050009e+31,148,2.0585068508603916e+31,0.23567404886352208,0.3174782719937838,1.4209578588938145,1.6390278317966342,1.3840548864372657,0.13051607923795716,1998,0.999,0.2680645157848981,0.14404584526263395,0.07658356528692403,0.017187024427741508
twdp,42,97,2000,10,500,1.0,1.0,75.0,25.0,114,0.057,0.228,14255.531529040089,1294057.3146302367,2.5274235723919743e+31,314.02678031685286,113,2.504313971508606e+31,115,2.5262597107457877e+31,0.22611104584812136,0.08186468778215797,1.376681554215027,1.5231426574859406,1.4262858724853555,0.11545622501492114,1999,0.9995,0.26361635625556706,0.13961591507684448,0.07338913412519645,0.016170173077808738
twdp,42,98,2000,10,500,1.0,1.0,75.0,25.0,72,0.036,0.144,14482.70073261929,1285734.3560244958,2.971545531716549e+31,314.7298238915312,71,2.9519541339331714e+31,73,2.9437955880325483e+31,0.2329090891871257,0.33912220404249105,1.4189351107456112,1.6267124529724746,1.3403540886808543,0.03632277527291887,1,0.0005,0.268012508595281,0.14384981183673826,0.07640616761767519,0.017054244716470837
twdp,42,99,2000,10,500,1.0,1.0,75.0,25.0,40,0.02,0.08,14157.287845718505,1447046.528865378,2.23015956858775e+31,313.4833593806066,39,2.2068288441283875e+31,41,2.20058214368668e+31,0.22992714940778913,0.2363749501837449,1.4148620938731518,1.555523283076048,1.3927256986012169,0.12278561825130385,1999,0.9995,0.2667766709147712,0.14207419363453208,0.07472029906725516,0.016556662596804647
twdp,42,0,2000,10,1000,1.0,1.0,50.0,50.0,121,0.0605,0.121,50982.27156846161,8013556.614246311,1.0153660213400546e+37,370.06622625888144,120,1.0136603742766305e+37,122,1.009827931099751e+37,0.22794396453282392,0.24744973316833707,1.4117080604872052,1.558189271605361,1.30049877444207,0.04127860973215866,3,0.0015,0.2659722693603327,0.1422671495916549,0.07503424382708085,0.01655445238341062
twdp,42,1,2000,10,1000,1.0,1.0,50.0,50.0,82,0.041,0.082,46181.82781796202,7468193.400055072,3.6981036022342116e+36,365.6797907373726,81,3.65674381487058e+36,83,3.692148637097718e+36,0.23196531109514368,0.337398033429934,1.4159562191916826,1.5952256784601162,1.4293302855802619,0.11209874280860666,2,0.001,0.2682089720261517,0.14327154013502003,0.07547909768294911,0.016869691229138884
twdp,42,2,2000,10,1000,1.0,1.0,50.0,50.0,121,0.0605,0.121,51260.91424922251,9489981.578090707,1.0418729006768256e+37,370.1781474209072,120,1.031330126476815e+37,122,1.0339705009465137e+37,0.2334189579373732,0.23553899101619677,1.4049050138691062,1.5965388417574204,1.3086100104010745,0.06731858948529834,1999,0.9995,0.26780062046341874,0.14300057906006475,0.07570460438917008,0.016565739743804174
twdp,42,3,2000,10,1000,1.0,1.0,50.0,50.0,115,0.0575,0.115,51875.59573019251,10007134.516848555,1.1778739883768026e+37,370.71098831130314,114,1.1570665571815782e+37,116,1.175497542862425e+37,0.23237678577991894,0.2500606670040349,1.396242406699524,1.6031727803944782,1.2919978726657566,0.20063819131896143,1999,0.9995,0.2671821973734708,0.14274036791600692,0.07551963377004477,0.0169573898940475
twdp,42,4,2000,10,1000,1.0,1.0,50.0,50.0,130,0.065,0.13,48054.786351868,7008185.808459159,5.615368394047347e+36,367.49378253251746,129,5.592211156140329e+36,131,5.584123120958454e+36,0.23305367865490628,0.19411316674973186,1.3877162640458638,1.5595878667821093,1.4083047732112435,0.2290647806386099,1999,0.9995,0.26611447151788187,0.14233804485633106,0.07539645671770374,0.016848490377662086
twdp,42,5,2000,10,1000,1.0,1.0,50.0,50.0,110,0.055,0.11,47170.46248817495,7758852.490872051,4.5651586358231855e+36,366.59455873538576,109,4.483207384974868e+36,111,4.543456194118687e+36,0.23157430462068818,0.3209097132350021,1.4161956541444598,1.6121563057762447,1.4080803847003276,0.051349639445520144,1,0.0005,0.267564516885788,0.1430580784741573,0.07589620069119682,0.01698809567992614
twdp,42,6,2000,10,1000,1.0,1.0,50.0,50.0,145,0.0725,0.145,53177.76545582162,11568925.769716311,1.4646202809862485e+37,371.65725043633574,144,1.4451272839171349e+37,146,1.4610862511433642e+37,0.2321290111557359,0.17888100334622684,1.4067709419759846,1.572002833504195,1.2523892159029488,0.15191105137935024,1998,0.999,0.2667164789944964,0.14262098321700362,0.07536703314871074,0.016416868826501927
twdp,42,7,2000,10,1000,1.0,1.0,50.0,50.0,169,0.0845,0.169,46960.266848836116,7305282.058207065,4.405891019827654e+36,366.44033750628455,168,4.393797294317188e+36,170,4.380390879693401e+36,0.22794380617311744,0.3044574004788522,1.4063564414729255,1.5972350634975085,1.4230508501176615,0.15500885424648692,1999,0.9995,0.2662731563040265,0.1422269872025632,0.0753260329238957,0.016851596191836068
